,year,prim_or_gen,county,eligible,registered,dem,rep,ind,lib,np
0,2004,gen,Alameda,955460,742258,410234,132260,12161,15342,157370
1,2004,gen,Alpine,965,827,286,303,27,14,190
2,2004,gen,Amador,25240,20475,7230,9561,596,159,2544
3,2004,gen,Butte,154305,123318,42901,50821,3345,2605,21293
4,2004,gen,Calaveras,33381,27332,9480,12305,731,344,3924
5,2004,gen,Colusa,10994,8053,2960,3781,197,24,1020
6,2004,gen,Contra Costa,666026,504505,243567,153564,9039,4779,85892
7,2004,gen,Del Norte,16932,12860,4809,5015,388,127,2260
8,2004,gen,El Dorado,119947,105687,32886,49411,2722,1191,17607
9,2004,gen,Fresno,497537,352197,140400,164073,5889,1780,37588
10,2004,gen,Glenn,16710,11938,3990,5726,306,43,1748
11,2004,gen,Humboldt,97610,84924,35245,24791,2030,4877,16523
12,2004,gen,Imperial,78693,54780,30334,14872,979,132,7769
13,2004,gen,Inyo,13335,10709,3496,4970,291,109,1664
14,2004,gen,Kern,422433,295106,105639,143620,7251,796,35089
15,2004,gen,Kings,71162,51695,20266,24369,978,127,5245
16,2004,gen,Lake,46504,33427,14717,10934,989,489,5853
17,2004,gen,Lassen,16375,14821,4484,6794,620,71,2634
18,2004,gen,Los Angeles,5656610,3972738,2016280,1071615,67091,27858,706049
19,2004,gen,Madera,74632,49997,17452,24748,1029,249,5970
20,2004,gen,Marin,174327,152658,78208,35794,2690,3726,30444
21,2004,gen,Mariposa,13748,11235,3654,5340,307,156,1485
22,2004,gen,Mendocino,61717,50713,23419,12904,1322,2525,9493
23,2004,gen,Merced,127979,99036,45149,42236,1684,312,9060
24,2004,gen,Modoc,6915,5525,1784,2738,169,27,748
25,2004,gen,Mono,9457,6972,2208,2724,218,147,1574
26,2004,gen,Monterey,228973,156233,75757,49406,2976,1378,25177
27,2004,gen,Napa,88230,69251,31819,22212,1636,1010,11357
28,2004,gen,Nevada,72742,65411,20906,28625,1563,1715,11619
29,2004,gen,Orange,1808058,1495824,452694,724260,29159,8484,258857
30,2004,gen,Placer,211077,183202,53049,94955,3606,1422,28235
31,2004,gen,Plumas,16129,14225,4811,6208,462,137,2452
32,2004,gen,Riverside,1095533,769328,266238,361803,16567,2971,109947
33,2004,gen,Sacramento,876713,650701,279400,229595,14518,6262,110683
34,2004,gen,San Benito,34110,26477,11903,9147,592,188,4299
35,2004,gen,San Bernardino,1135368,727138,281237,310411,17562,3040,103524
36,2004,gen,San Diego,1966240,1513300,524386,605974,34203,11164,310415
37,2004,gen,San Francisco,571538,486822,262982,56288,8388,14697,137719
38,2004,gen,San Joaquin,381812,276939,116729,121497,4437,977,29135
39,2004,gen,San Luis Obispo,185569,162459,57903,68547,3553,2420,26463
40,2004,gen,San Mateo,458990,368410,180702,94418,6726,4098,78367
