"","County","Candidate","Party","Votes","PercentageOfTotalVotes","TotalCountyVotes","Year"
"1","Adams","Bush","R",2087,45.5179934569248,4585,1992
"2","Adams","Clinton","D",1449,31.6030534351145,4585,1992
"3","Adams","Perot","IC",1010,22.0283533260633,4585,1992
"4","Adams","Gritz","PP",16,0.34896401308615,4585,1992
"5","Adams","Marrou","L",12,0.261723009814613,4585,1992
"6","Adams","Hagelin","NL",3,0.0654307524536532,4585,1992
"7","Adams","Daniels","IC",3,0.0654307524536532,4585,1992
"8","Adams","Fulani",NA,2,0.0436205016357688,4585,1992
"9","Adams","Phillips","WT",2,0.0436205016357688,4585,1992
"10","Adams","LaRouche","IC",1,0.0218102508178844,4585,1992
"11","Adams","Warren","SW",0,0,4585,1992
"12","Asotin","Clinton","D",3239,42.6408636124276,7596,1992
"13","Asotin","Bush","R",2425,31.9246972090574,7596,1992
"14","Asotin","Perot","IC",1849,24.3417588204318,7596,1992
"15","Asotin","Marrou","L",37,0.487098472880463,7596,1992
"16","Asotin","Gritz","PP",23,0.302790942601369,7596,1992
"17","Asotin","Phillips","WT",8,0.105318588730911,7596,1992
"18","Asotin","Fulani",NA,6,0.0789889415481833,7596,1992
"19","Asotin","Daniels","IC",6,0.0789889415481833,7596,1992
"20","Asotin","Hagelin","NL",3,0.0394944707740916,7596,1992
"21","Asotin","LaRouche","IC",0,0,7596,1992
"22","Asotin","Warren","SW",0,0,7596,1992
"23","Benton","Bush","R",22883,43.5021482072925,52602,1992
"24","Benton","Clinton","D",16459,31.2896848028592,52602,1992
"25","Benton","Perot","IC",12878,24.4819588608798,52602,1992
"26","Benton","Marrou","L",162,0.30797308087145,52602,1992
"27","Benton","Gritz","PP",89,0.169195087639253,52602,1992
"28","Benton","Phillips","WT",50,0.0950534200220524,52602,1992
"29","Benton","Hagelin","NL",28,0.0532299152123493,52602,1992
"30","Benton","Fulani",NA,21,0.039922436409262,52602,1992
"31","Benton","LaRouche","IC",13,0.0247138892057336,52602,1992
"32","Benton","Daniels","IC",12,0.0228128208052926,52602,1992
"33","Benton","Warren","SW",7,0.0133074788030873,52602,1992
"34","Chelan","Bush","R",10716,45.646617822457,23476,1992
"35","Chelan","Clinton","D",7860,33.4810018742546,23476,1992
"36","Chelan","Perot","IC",4606,19.6200374850912,23476,1992
"37","Chelan","Gritz","PP",117,0.498381325609133,23476,1992
"38","Chelan","Marrou","L",95,0.404668597716817,23476,1992
"39","Chelan","Hagelin","NL",33,0.140569091838473,23476,1992
"40","Chelan","Phillips","WT",27,0.115011075140569,23476,1992
"41","Chelan","Fulani",NA,8,0.0340773555972057,23476,1992
"42","Chelan","LaRouche","IC",5,0.0212983472482535,23476,1992
"43","Chelan","Warren","SW",5,0.0212983472482535,23476,1992
"44","Chelan","Daniels","IC",4,0.0170386777986028,23476,1992
"45","Clallam","Clinton","D",10820,37.7358490566038,28673,1992
"46","Clallam","Bush","R",9765,34.0564293935061,28673,1992
"47","Clallam","Perot","IC",7775,27.1161022564782,28673,1992
"48","Clallam","Marrou","L",130,0.453388204931469,28673,1992
"49","Clallam","Gritz","PP",51,0.177867680396192,28673,1992
"50","Clallam","Phillips","WT",45,0.156942070937816,28673,1992
"51","Clallam","Hagelin","NL",33,0.115090852021065,28673,1992
"52","Clallam","Fulani",NA,16,0.0558016252223346,28673,1992
"53","Clallam","LaRouche","IC",15,0.0523140236459387,28673,1992
"54","Clallam","Daniels","IC",12,0.0418512189167509,28673,1992
"55","Clallam","Warren","SW",11,0.038363617340355,28673,1992
"56","Clark","Clinton","D",42648,40.0315386348277,106536,1992
"57","Clark","Bush","R",36906,34.641811218743,106536,1992
"58","Clark","Perot","IC",26163,24.5578959225051,106536,1992
"59","Clark","Marrou","L",289,0.271269805511752,106536,1992
"60","Clark","Gritz","PP",225,0.211196215363821,106536,1992
"61","Clark","Phillips","WT",97,0.0910490350679583,106536,1992
"62","Clark","Hagelin","NL",69,0.0647668393782384,106536,1992
"63","Clark","Fulani",NA,49,0.0459938424570098,106536,1992
"64","Clark","LaRouche","IC",38,0.0356686941503342,106536,1992
"65","Clark","Daniels","IC",37,0.0347300443042727,106536,1992
"66","Clark","Warren","SW",15,0.0140797476909214,106536,1992
"67","Columbia","Bush","R",761,39.7596656217346,1914,1992
"68","Columbia","Clinton","D",668,34.9007314524556,1914,1992
"69","Columbia","Perot","IC",466,24.3469174503657,1914,1992
"70","Columbia","Marrou","L",7,0.365726227795193,1914,1992
"71","Columbia","Phillips","WT",4,0.208986415882968,1914,1992
"72","Columbia","LaRouche","IC",4,0.208986415882968,1914,1992
"73","Columbia","Gritz","PP",3,0.156739811912226,1914,1992
"74","Columbia","Warren","SW",1,0.0522466039707419,1914,1992
"75","Columbia","Fulani",NA,0,0,1914,1992
"76","Columbia","Daniels","IC",0,0,1914,1992
"77","Columbia","Hagelin","NL",0,0,1914,1992
"78","Cowlitz","Clinton","D",15052,43.5923426684816,34529,1992
"79","Cowlitz","Bush","R",10000,28.9611630803093,34529,1992
"80","Cowlitz","Perot","IC",9246,26.777491384054,34529,1992
"81","Cowlitz","Gritz","PP",105,0.304092212343248,34529,1992
"82","Cowlitz","Marrou","L",67,0.194039792638072,34529,1992
"83","Cowlitz","Phillips","WT",16,0.0463378609284949,34529,1992
"84","Cowlitz","Fulani",NA,14,0.040545628312433,34529,1992
"85","Cowlitz","LaRouche","IC",10,0.0289611630803093,34529,1992
"86","Cowlitz","Hagelin","NL",7,0.0202728141562165,34529,1992
"87","Cowlitz","Warren","SW",6,0.0173766978481856,34529,1992
"88","Cowlitz","Daniels","IC",6,0.0173766978481856,34529,1992
"89","Douglas","Bush","R",4920,44.5329471397538,11048,1992
"90","Douglas","Clinton","D",3731,33.7708182476466,11048,1992
"91","Douglas","Perot","IC",2315,20.954018826937,11048,1992
"92","Douglas","Gritz","PP",34,0.307748008689356,11048,1992
"93","Douglas","Marrou","L",15,0.135771180304127,11048,1992
"94","Douglas","Hagelin","NL",11,0.0995655322230268,11048,1992
"95","Douglas","Phillips","WT",8,0.0724112961622013,11048,1992
"96","Douglas","LaRouche","IC",7,0.0633598841419261,11048,1992
"97","Douglas","Fulani",NA,3,0.0271542360608255,11048,1992
"98","Douglas","Warren","SW",2,0.0181028240405503,11048,1992
"99","Douglas","Daniels","IC",2,0.0181028240405503,11048,1992
"100","Ferry","Clinton","D",963,37.6613218615565,2557,1992
"101","Ferry","Bush","R",773,30.2307391474384,2557,1992
"102","Ferry","Perot","IC",762,29.800547516621,2557,1992
"103","Ferry","Gritz","PP",25,0.977708251857646,2557,1992
"104","Ferry","Phillips","WT",14,0.547516621040282,2557,1992
"105","Ferry","Marrou","L",10,0.391083300743058,2557,1992
"106","Ferry","Daniels","IC",3,0.117324990222917,2557,1992
"107","Ferry","Fulani",NA,3,0.117324990222917,2557,1992
"108","Ferry","LaRouche","IC",2,0.0782166601486116,2557,1992
"109","Ferry","Hagelin","NL",2,0.0782166601486116,2557,1992
"110","Ferry","Warren","SW",0,0,2557,1992
"111","Franklin","Bush","R",4486,41.0167321934717,10937,1992
"112","Franklin","Clinton","D",3743,34.2232787784584,10937,1992
"113","Franklin","Perot","IC",2597,23.7450854896224,10937,1992
"114","Franklin","Gritz","PP",46,0.420590655572826,10937,1992
"115","Franklin","Phillips","WT",22,0.201152052665265,10937,1992
"116","Franklin","Marrou","L",21,0.192008777544116,10937,1992
"117","Franklin","LaRouche","IC",6,0.0548596507268904,10937,1992
"118","Franklin","Daniels","IC",5,0.045716375605742,10937,1992
"119","Franklin","Hagelin","NL",5,0.045716375605742,10937,1992
"120","Franklin","Fulani",NA,4,0.0365731004845936,10937,1992
"121","Franklin","Warren","SW",2,0.0182865502422968,10937,1992
"122","Garfield","Bush","R",620,46.9341408024224,1321,1992
"123","Garfield","Clinton","D",473,35.8062074186223,1321,1992
"124","Garfield","Perot","IC",222,16.8054504163512,1321,1992
"125","Garfield","Gritz","PP",4,0.302800908402725,1321,1992
"126","Garfield","Marrou","L",1,0.0757002271006813,1321,1992
"127","Garfield","Warren","SW",1,0.0757002271006813,1321,1992
"128","Garfield","Fulani",NA,0,0,1321,1992
"129","Garfield","Daniels","IC",0,0,1321,1992
"130","Garfield","Phillips","WT",0,0,1321,1992
"131","Garfield","Hagelin","NL",0,0,1321,1992
"132","Garfield","LaRouche","IC",0,0,1321,1992
"133","Grant","Bush","R",9503,43.3511244924958,21921,1992
"134","Grant","Clinton","D",7278,33.2010400985356,21921,1992
"135","Grant","Perot","IC",4898,22.3438711737603,21921,1992
"136","Grant","Gritz","PP",111,0.506363760777337,21921,1992
"137","Grant","Marrou","L",59,0.269148305278044,21921,1992
"138","Grant","Phillips","WT",27,0.123169563432325,21921,1992
"139","Grant","Hagelin","NL",19,0.0866748779708955,21921,1992
"140","Grant","LaRouche","IC",12,0.0547420281921445,21921,1992
"141","Grant","Fulani",NA,9,0.0410565211441084,21921,1992
"142","Grant","Warren","SW",3,0.0136855070480361,21921,1992
"143","Grant","Daniels","IC",2,0.00912367136535742,21921,1992
"144","Grays Harbor","Clinton","D",12599,46.2552316616492,27238,1992
"145","Grays Harbor","Perot","IC",7460,27.3882076510757,27238,1992
"146","Grays Harbor","Bush","R",6904,25.3469417725237,27238,1992
"147","Grays Harbor","Gritz","PP",82,0.301050003671341,27238,1992
"148","Grays Harbor","Marrou","L",59,0.216609148983038,27238,1992
"149","Grays Harbor","Phillips","WT",48,0.17622439239298,27238,1992
"150","Grays Harbor","Fulani",NA,27,0.0991262207210515,27238,1992
"151","Grays Harbor","Hagelin","NL",22,0.080769513180116,27238,1992
"152","Grays Harbor","LaRouche","IC",21,0.0770981716719289,27238,1992
"153","Grays Harbor","Daniels","IC",10,0.0367134150818709,27238,1992
"154","Grays Harbor","Warren","SW",6,0.0220280490491225,27238,1992
"155","Island","Clinton","D",9555,35.1700530035336,27168,1992
"156","Island","Bush","R",9526,35.0633097762073,27168,1992
"157","Island","Perot","IC",7889,29.0378386336867,27168,1992
"158","Island","Marrou","L",74,0.272379269729093,27168,1992
"159","Island","Hagelin","NL",35,0.128828032979976,27168,1992
"160","Island","Gritz","PP",35,0.128828032979976,27168,1992
"161","Island","Phillips","WT",23,0.084658421672556,27168,1992
"162","Island","Fulani",NA,14,0.0515312131919906,27168,1992
"163","Island","LaRouche","IC",8,0.0294464075382803,27168,1992
"164","Island","Daniels","IC",6,0.0220848056537102,27168,1992
"165","Island","Warren","SW",3,0.0110424028268551,27168,1992
"166","Jefferson","Clinton","D",6148,47.5042497295627,12942,1992
"167","Jefferson","Bush","R",3467,26.7887498068305,12942,1992
"168","Jefferson","Perot","IC",3168,24.4784422809458,12942,1992
"169","Jefferson","Marrou","L",68,0.525421109565755,12942,1992
