,Gray Davis*,Bill Simon,Reinhold Gulke,Peter Miguel Camejo,Gary David Copeland,Iris Adam,Anselmo A. Chavez,Will B. King,Rob Marinko,Nick Jesson,James F. Stewart,Nick Hoogoian,Jim Mallon,F. Nan Bailey,Debbie Jo Terzoli,Votes not Cast in Race
,DEM,REP,AI,GRN,LIB,NL,(W/I),(W/I),(W/I),(W/I),(W/I),(W/I),(W/I),(W/I),(W/I),
Alameda,"216,058","76,407","3,622","37,919","6,558","3,319",2,0,1,3,1,2,0,8,1,"2,533"
  Percent,62.9% ,22.3% ,1.0% ,11.0% ,1.9% ,0.9% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.7% 
,,,,,,,,,,,,,,,,
Alpine,229,247,17,40,15,12,0,0,0,0,0,0,0,0,0,22
  Percent,40.9% ,44.2% ,3.0% ,7.2% ,2.6% ,2.1% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,3.8% 
,,,,,,,,,,,,,,,,
Amador,"4,437","6,997",338,740,246,220,0,0,0,0,0,0,0,0,0,494
  Percent,34.2% ,54.0% ,2.6% ,5.8% ,1.8% ,1.6% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,3.7% 
,,,,,,,,,,,,,,,,
Butte,"19,437","32,706","1,497","5,963","1,050",802,0,0,0,0,0,0,0,0,2,"1,054"
  Percent,31.6% ,53.3% ,2.4% ,9.7% ,1.7% ,1.3% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,1.7% 
,,,,,,,,,,,,,,,,
Calaveras,"5,052","8,104",489,875,434,240,0,0,0,0,0,0,0,0,0,359
  Percent,33.3% ,53.4% ,3.2% ,5.8% ,2.8% ,1.5% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,2.3% 
,,,,,,,,,,,,,,,,
Colusa,"1,243","2,996",118,131,48,39,0,0,0,0,0,0,0,0,0,100
  Percent,27.2% ,65.5% ,2.6% ,2.9% ,1.0% ,0.8% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,2.1% 
,,,,,,,,,,,,,,,,
Contra Costa,"140,975","94,487","3,905","16,676","5,894","2,931",0,0,1,0,1,0,0,0,0,"9,217"
  Percent,53.3% ,35.7% ,1.4% ,6.3% ,2.2% ,1.1% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,3.4% 
,,,,,,,,,,,,,,,,
Del Norte,"2,922","3,093",239,207,165,124,0,0,0,0,0,0,0,0,0,213
  Percent,43.3% ,45.9% ,3.6% ,3.0% ,2.4% ,1.8% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,3.1% 
,,,,,,,,,,,,,,,,
El Dorado,"16,402","32,898","1,203","3,418","1,072",736,0,0,0,0,0,0,0,0,0,"1,331"
  Percent,29.5% ,59.1% ,2.1% ,6.1% ,1.9% ,1.3% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,2.3% 
,,,,,,,,,,,,,,,,
Fresno,"59,019","85,910","2,214","3,508","3,560","1,260",0,0,0,0,0,0,0,0,0,"4,257"
  Percent,38.0% ,55.3% ,1.4% ,2.2% ,2.3% ,0.8% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,2.7% 
,,,,,,,,,,,,,,,,
Glenn,"1,685","4,268",200,187,96,81,0,0,0,0,0,0,0,0,0,150
  Percent,25.9% ,65.5% ,3.1% ,2.9% ,1.4% ,1.2% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,2.2% 
,,,,,,,,,,,,,,,,
Humboldt,"19,499","16,118",547,"5,170",961,612,0,0,0,0,0,0,0,0,0,979
  Percent,45.5% ,37.6% ,1.2% ,12.1% ,2.2% ,1.4% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,2.2% 
,,,,,,,,,,,,,,,,
Imperial,"11,644","8,789",360,546,258,252,0,0,0,0,0,0,0,0,0,614
  Percent,53.3% ,40.3% ,1.7% ,2.5% ,1.1% ,1.1% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,2.7% 
,,,,,,,,,,,,,,,,
Inyo,"2,114","3,567",159,210,142,96,0,0,0,0,0,0,0,0,0,171
  Percent,33.7% ,56.8% ,2.5% ,3.3% ,2.2% ,1.5% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,2.6% 
,,,,,,,,,,,,,,,,
Kern,"46,250","82,660","3,002","1,965","1,839","1,568",0,1,2,0,1,0,0,0,0,"2,736"
  Percent,33.7% ,60.3% ,2.2% ,1.4% ,1.3% ,1.1% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,2.0% 
,,,,,,,,,,,,,,,,
Kings,"7,776","12,212",491,298,246,192,0,0,0,0,0,0,0,0,0,591
  Percent,36.7% ,57.6% ,2.3% ,1.4% ,1.1% ,0.9% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,2.7% 
,,,,,,,,,,,,,,,,
Lake,"7,424","6,459",451,965,336,258,0,0,0,0,0,0,0,0,0,394
