,Phil Angelides,Arnold Schwarzenegger*,Edward C. Noonan,Peter Miguel Camejo,Art Olivier,Janice Jordan,"Donald ""Dr. Don"" Etkes","James
Harris",Vibert Greene,"Robert C. Newman, II",Elisha Shapiro,Dealphria Christina Tarver
,DEM,REP,AI,GRN,LIB,PF,IND (W/I),IND (W/I),IND (W/I),REP (W/I),IND (W/I),IND (W/I)
,,,,,,,,,,,,
Alameda,"229,217","148,322","2,231","18,236","3,784","3,569",0,8,6,5,0,0
  Percent,56.6%,36.6%,0.5%,4.5%,1.0%,0.8%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,
Alpine,218,295,3,14,8,6,0,0,0,0,0,0
  Percent,40.1%,54.3%,0.5%,2.6%,1.4%,1.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,
Amador,"3,354","10,755",172,390,148,100,0,0,0,0,0,0
  Percent,22.5%,72.1%,1.2%,2.7%,0.9%,0.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,
Butte,"18,672","45,591",593,"2,912",856,640,0,0,0,4,0,0
  Percent,27.0%,65.9%,0.8%,4.2%,1.2%,0.9%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,
Calaveras,"4,268","12,691",199,490,238,130,0,0,0,0,0,0
  Percent,23.7%,70.5%,1.1%,2.7%,1.3%,0.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,
Colusa,"1,104","3,665",30,94,46,30,0,0,0,0,0,0
  Percent,22.3%,73.8%,0.6%,1.8%,0.9%,0.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,
Contra Costa,"128,578","158,565","1,932","8,529","2,725","2,169",10,3,1,0,0,1
  Percent,42.5%,52.5%,0.6%,2.8%,0.9%,0.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,
Del Norte,"2,531","3,639",125,133,121,85,0,0,0,0,0,0
  Percent,38.2%,54.9%,1.8%,2.1%,1.8%,1.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,
El Dorado,"14,535","49,771",500,"1,911",752,365,0,0,0,1,2,0
  Percent,21.5%,73.4%,0.7%,2.8%,1.1%,0.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,
Fresno,"53,605","116,534","1,031","2,324","1,449","1,418",0,0,0,2,0,0
  Percent,30.4%,66.1%,0.5%,1.4%,0.8%,0.8%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,
Glenn,"1,421","5,775",71,110,102,70,0,0,0,0,0,0
  Percent,18.9%,76.6%,0.9%,1.4%,1.3%,0.9%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,
Humboldt,"20,070","23,282",419,"3,241",702,572,0,0,0,0,0,0
  Percent,41.6%,48.3%,0.8%,6.8%,1.4%,1.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,
Imperial,"10,024","10,363",239,706,273,569,0,0,0,0,0,0
  Percent,45.3%,46.8%,1.0%,3.2%,1.2%,2.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,
Inyo,"1,892","4,180",92,132,130,66,0,0,0,0,0,0
  Percent,29.2%,64.4%,1.4%,2.0%,2.0%,1.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
