,Jerry                                        Brown,Meg                                                       Whitman,Chelene                         Nightingale,Laura                                                 Wells,Dale F.                                           Ogden,Carlos                                                     Alvarez,Hugh                                                     Bagley,Rakesh                             Kumar                                        Christian,Jacob                                          Vangelisti,Anselmo A.                                              Chavez,Nadia B.                                               Smalley,Lea                                                   Sherman,Rowan                                                      Millar,Cassandra A.                                                        Lieurance,Votes not Cast
,DEM,REP,AI,GRN,LIB,PF,NP (W/I),NP (W/I),IND (W/I),DEM (W/I),DEM (W/I),IND (W/I),NP (W/I),LIB (W/I),
Alameda,"340,190","103,947","3,694","6,323","3,646","3,207",0,6,0,0,1,5,0,2,"7,462"
  Percent,73.8%,22.6%,0.9%,1.4%,0.7%,0.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1.6%
,,,,,,,,,,,,,,,
Alpine,319,228,1,4,7,5,0,0,0,0,0,0,0,0,2
  Percent,56.6%,40.5%,0.1%,0.7%,1.3%,0.8%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.4%
,,,,,,,,,,,,,,,
Amador,"6,750","8,511",431,192,267,102,0,0,0,0,0,0,0,0,313
  Percent,41.6%,52.4%,2.7%,1.1%,1.6%,0.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1.9%
,,,,,,,,,,,,,,,
Butte,"32,789","37,557","2,190","1,359","1,518",639,0,0,0,0,0,0,0,0,"1,382"
  Percent,43.2%,49.4%,2.9%,1.7%,2.0%,0.8%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1.8%
,,,,,,,,,,,,,,,
Calaveras,"7,737","10,655",617,271,373,154,0,0,0,0,0,0,0,0,310
  Percent,39.1%,53.8%,3.2%,1.3%,1.9%,0.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1.5%
,,,,,,,,,,,,,,,
Colusa,"1,878","3,063",107,70,59,50,0,0,0,0,0,0,0,0,85
  Percent,36.0%,58.6%,2.1%,1.3%,1.1%,0.9%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1.6%
,,,,,,,,,,,,,,,
Contra Costa,"211,125","123,606","3,880","3,971","3,360","2,209",0,0,0,0,0,0,0,0,"4,536"
  Percent,60.7%,35.6%,1.1%,1.1%,0.9%,0.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1.3%
,,,,,,,,,,,,,,,
Del Norte,"4,093","3,373",288,207,145,84,0,0,0,0,0,0,0,0,154
  Percent,50.0%,41.2%,3.6%,2.5%,1.7%,1.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1.8%
,,,,,,,,,,,,,,,
El Dorado,"29,826","43,417","1,643",886,"1,234",361,0,0,0,0,0,0,0,0,"1,243"
  Percent,38.6%,56.2%,2.2%,1.1%,1.5%,0.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1.6%
,,,,,,,,,,,,,,,
Fresno,"85,743","104,780","3,565","2,532","1,891","2,141",0,0,0,0,0,0,0,0,"3,599"
  Percent,42.8%,52.3%,1.8%,1.2%,0.9%,1.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1.8%
,,,,,,,,,,,,,,,
Glenn,"2,407","4,841",282,131,171,98,0,0,0,0,0,0,0,0,188
  Percent,30.4%,61.1%,3.6%,1.6%,2.1%,1.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2.3%
,,,,,,,,,,,,,,,
Humboldt,"28,464","18,277",597,"2,030",857,370,0,0,0,0,0,0,0,1,"1,196"
  Percent,56.3%,36.2%,1.1%,4.1%,1.6%,0.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2.3%
,,,,,,,,,,,,,,,
Imperial,"16,019","9,118",360,269,245,860,0,0,0,0,0,0,0,0,520
  Percent,59.7%,33.9%,1.3%,1.0%,0.9%,3.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1.9%
,,,,,,,,,,,,,,,
Inyo,"3,008","3,406",277,114,112,49,0,0,0,0,0,0,0,0,158
  Percent,43.2%,48.9%,4.0%,1.6%,1.6%,0.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2.2%
,,,,,,,,,,,,,,,
Kern,"63,347","96,249","5,263","2,248","3,262","2,292",0,0,0,0,0,0,1,2,"3,179"
  Percent,36.7%,55.8%,3.1%,1.3%,1.8%,1.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1.8%
,,,,,,,,,,,,,,,
Kings,"10,607","13,868",765,342,298,444,0,0,0,0,0,0,0,0,552
  Percent,40.3%,52.7%,3.0%,1.2%,1.1%,1.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2.1%
,,,,,,,,,,,,,,,
Lake,"11,004","8,455",567,539,332,247,0,0,0,0,0,0,0,0,343
  Percent,52.1%,40.0%,2.7%,2.6%,1.5%,1.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1.6%
,,,,,,,,,,,,,,,
Lassen,"3,895","4,632",302,152,198,66,0,0,0,0,0,0,0,0,206
  Percent,42.2%,50.2%,3.2%,1.6%,2.1%,0.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2.2%
,,,,,,,,,,,,,,,
Los Angeles,"1,455,184","749,439","30,310","27,373","34,910","24,315",1,1,1,0,2,14,0,2,"55,553"
  Percent,62.7%,32.3%,1.3%,1.1%,1.6%,1.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2.3%
,,,,,,,,,,,,,,,
Madera,"12,528","19,287",946,511,415,437,0,0,0,0,0,0,0,0,863
  Percent,36.8%,56.6%,2.8%,1.4%,1.2%,1.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2.5%
,,,,,,,,,,,,,,,
Marin,"80,236","30,920",616,999,836,371,0,0,0,0,0,1,0,0,"1,706"
  Percent,70.4%,27.2%,0.5%,0.9%,0.7%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1.5%
,,,,,,,,,,,,,,,
Mariposa,"3,077","4,513",298,136,138,69,0,0,0,0,0,0,0,0,148
  Percent,37.4%,54.9%,3.7%,1.6%,1.6%,0.8%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1.8%
,,,,,,,,,,,,,,,
Mendocino,"20,186","9,524",565,901,424,297,0,0,0,0,0,0,0,0,603
  Percent,63.3%,29.9%,1.7%,2.9%,1.3%,0.9%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1.9%
,,,,,,,,,,,,,,,
Merced,"21,887","23,021","1,075",582,488,779,0,0,0,0,0,0,0,0,990
  Percent,45.8%,48.2%,2.2%,1.2%,1.0%,1.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2.0%
,,,,,,,,,,,,,,,
Modoc,"1,001","2,444",135,77,77,35,0,0,0,0,0,0,0,0,100
  Percent,26.6%,64.9%,3.6%,2.0%,2.0%,0.9%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2.6%
,,,,,,,,,,,,,,,
Mono,"2,028","2,079",84,88,86,35,0,0,0,0,0,0,0,0,111
  Percent,46.1%,47.3%,1.9%,2.1%,1.9%,0.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2.5%
,,,,,,,,,,,,,,,
Monterey,"60,015","35,119","1,185","1,260","1,137","1,179",0,0,0,0,0,0,0,0,"1,554"
  Percent,60.1%,35.2%,1.2%,1.3%,1.1%,1.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1.5%
,,,,,,,,,,,,,,,
Napa,"26,766","17,873",645,752,537,335,0,0,0,0,0,0,0,0,913
  Percent,57.1%,38.2%,1.3%,1.6%,1.1%,0.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1.9%
,,,,,,,,,,,,,,,
Nevada,"20,740","22,545",605,725,874,168,0,0,0,0,0,0,0,0,"3,980"
  Percent,45.5%,49.4%,1.3%,1.5%,2.0%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,8.0%
,,,,,,,,,,,,,,,
Orange,"328,663","499,878","15,153","10,635","18,514","7,085",0,3,0,1,0,3,0,2,"18,268"
  Percent,37.3%,56.9%,1.7%,1.2%,2.1%,0.8%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2.0%
,,,,,,,,,,,,,,,
Placer,"54,576","81,410","2,706","1,449","2,082",618,1,0,1,0,0,0,0,0,"2,337"
  Percent,38.3%,57.0%,1.9%,1.0%,1.4%,0.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1.6%
,,,,,,,,,,,,,,,
Plumas,"3,444","5,168",231,160,135,65,0,0,0,0,0,0,0,0,192
  Percent,37.5%,56.2%,2.5%,1.7%,1.4%,0.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2.0%
,,,,,,,,,,,,,,,
Riverside,"206,398","244,659","12,107","5,420","9,653","5,138",0,0,0,0,0,0,0,1,"8,664"
  Percent,42.7%,50.7%,2.6%,1.1%,1.9%,1.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1.8%
,,,,,,,,,,,,,,,
Sacramento,"239,599","162,369","7,185","4,622","5,693","2,838",0,0,0,0,2,0,0,0,"6,235"
  Percent,56.8%,38.5%,1.8%,1.0%,1.3%,0.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1.5%
,,,,,,,,,,,,,,,
San Benito,"8,304","6,993",253,214,170,183,0,0,0,0,0,0,0,0,303
  Percent,51.6%,43.4%,1.6%,1.3%,1.0%,1.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1.8%
,,,,,,,,,,,,,,,
San Bernardino,"197,578","202,217","13,337","6,318","9,972","5,778",0,0,2,0,0,0,0,0,"10,098"
  Percent,45.4%,46.5%,3.1%,1.4%,2.3%,1.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2.3%
,,,,,,,,,,,,,,,
San Diego,"399,845","452,205","18,135","12,409","15,362","9,989",0,1,0,0,2,2,0,272,"18,141"
  Percent,44.1%,49.8%,2.0%,1.4%,1.7%,1.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2.0%
,,,,,,,,,,,,,,,
San Francisco,"219,330","49,151","1,211","4,052","2,203","2,208",0,0,0,0,0,11,0,0,"6,459"
  Percent,78.9%,17.7%,0.4%,1.5%,0.7%,0.8%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2.3%
,,,,,,,,,,,,,,,
San Joaquin,"77,623","71,999","3,548","1,915","1,881","1,900",0,0,0,0,0,1,0,0,"2,647"
  Percent,48.9%,45.4%,2.3%,1.2%,1.1%,1.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1.6%
,,,,,,,,,,,,,,,
San Luis Obispo,"47,663","52,056","1,916","1,563","1,847",606,0,0,0,0,0,1,0,0,"2,350"
  Percent,45.2%,49.3%,1.9%,1.4%,1.7%,0.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2.2%
,,,,,,,,,,,,,,,
San Mateo,"145,970","69,212","1,468","2,449","1,946","1,197",0,0,0,0,0,3,1,0,"4,013"
  Percent,65.7%,31.2%,0.6%,1.2%,0.8%,0.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1.8%
,,,,,,,,,,,,,,,
Santa Barbara,"65,011","59,615","2,017","1,834","1,931","1,202",0,0,0,0,0,1,0,0,"2,819"
  Percent,49.4%,45.3%,1.6%,1.3%,1.5%,0.9%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2.1%
,,,,,,,,,,,,,,,
Santa Clara,"314,022","178,695","4,880","5,685","5,707","3,362",0,2,0,1,1,0,1,2,"11,069"
  Percent,61.3%,34.9%,0.9%,1.1%,1.2%,0.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2.1%
,,,,,,,,,,,,,,,
Santa Cruz,"67,107","24,390","1,126","1,683","1,215",728,0,0,0,0,0,1,0,1,"1,786"
  Percent,69.8%,25.4%,1.1%,1.8%,1.2%,0.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1.8%
,,,,,,,,,,,,,,,
Shasta,"20,797","39,702","1,969",971,"1,337",500,0,0,0,0,0,0,0,0,"1,226"
  Percent,31.9%,60.9%,3.1%,1.4%,2.0%,0.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1.8%
,,,,,,,,,,,,,,,
Sierra,635,"1,042",54,26,41,29,0,0,0,0,0,0,0,0,54
  Percent,34.8%,57.1%,3.0%,1.4%,2.2%,1.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2.9%
,,,,,,,,,,,,,,,
Siskiyou,"7,274","9,839",480,278,357,150,0,0,0,0,0,0,0,0,343
  Percent,39.6%,53.6%,2.6%,1.5%,1.9%,0.8%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1.8%
,,,,,,,,,,,,,,,
Solano,"69,597","43,323","1,843","1,369","1,398",860,0,0,0,0,0,0,0,0,"3,526"
  Percent,58.8%,36.6%,1.6%,1.1%,1.2%,0.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2.9%
,,,,,,,,,,,,,,,
Sonoma,"119,079","55,472","2,558","3,195","2,301","1,445",0,0,0,0,0,0,0,0,"2,870"
  Percent,64.7%,30.2%,1.4%,1.8%,1.2%,0.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1.5%
,,,,,,,,,,,,,,,
Stanislaus,"52,510","60,084","3,173","1,642","1,508","1,412",1,0,0,0,0,0,0,0,"2,160"
  Percent,43.7%,50.0%,2.7%,1.3%,1.2%,1.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1.8%
,,,,,,,,,,,,,,,
Sutter,"9,614","14,346",663,270,442,262,0,0,0,0,0,0,0,0,567
  Percent,37.6%,56.1%,2.6%,1.0%,1.7%,1.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2.2%
,,,,,,,,,,,,,,,
Tehama,"6,542","11,935",734,311,466,192,0,0,0,0,0,0,0,0,385
  Percent,32.5%,59.2%,3.6%,1.5%,2.3%,0.9%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1.9%
,,,,,,,,,,,,,,,
Trinity,"2,463","2,569",165,212,115,45,0,0,0,0,0,0,0,0,143
  Percent,44.3%,46.2%,2.9%,3.8%,2.0%,0.8%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2.5%
,,,,,,,,,,,,,,,
Tulare,"30,607","46,261","2,059",958,786,925,1,0,0,0,0,0,0,0,"1,511"
  Percent,37.6%,56.7%,2.6%,1.1%,0.9%,1.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1.8%
,,,,,,,,,,,,,,,
Tuolumne,"9,023","11,963",646,317,354,134,0,0,0,0,0,0,0,0,398
  Percent,40.3%,53.4%,2.9%,1.4%,1.5%,0.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1.7%
,,,,,,,,,,,,,,,
Ventura,"117,800","128,082","4,130","3,315","4,545","2,067",0,0,0,0,0,0,1,0,"4,891"
  Percent,45.4%,49.3%,1.6%,1.2%,1.8%,0.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1.8%
,,,,,,,,,,,,,,,
Yolo,"37,894","19,456",755,690,707,392,0,0,0,0,0,0,0,0,"1,002"
  Percent,63.3%,32.5%,1.3%,1.1%,1.2%,0.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1.6%
,,,,,,,,,,,,,,,
Yuba,"6,332","8,553",517,218,330,143,0,0,0,0,0,0,0,0,435
  Percent,39.4%,53.2%,3.3%,1.3%,2.0%,0.8%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2.6%
,,,,,,,,,,,,,,,
State Totals,"5,428,149","4,127,391","166,312","129,224","150,895","92,851",4,13,4,2,8,43,4,285,"206,841"
  Percent,53.8%,40.9%,1.7%,1.2%,1.5%,0.9%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2.0%
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
