,"Edmund G. ""Jerry"" Brown*",Neel Kashkari
,DEM,REP
Alameda,"293,081","63,593"
  Percent,82.2%,17.8%
,,
Alpine,284,175
  Percent,61.9%,38.1%
,,
Amador,"5,682","7,071"
  Percent,44.6%,55.4%
,,
Butte,"29,520","32,249"
  Percent,47.8%,52.2%
,,
Calaveras,"6,870","8,841"
  Percent,43.7%,56.3%
,,
Colusa,"1,789","2,398"
  Percent,42.7%,57.3%
,,
Contra Costa,"174,403","79,660"
  Percent,68.6%,31.4%
,,
Del Norte,"3,488","3,539"
  Percent,49.6%,50.4%
,,
El Dorado,"27,916","33,443"
  Percent,45.5%,54.5%
,,
Fresno,"76,143","83,744"
  Percent,47.6%,52.4%
,,
Glenn,"2,049","3,908"
  Percent,34.4%,65.6%
,,
Humboldt,"24,003","13,146"
  Percent,64.6%,35.4%
,,
Imperial,"13,457","7,484"
  Percent,64.3%,35.7%
,,
Inyo,"2,317","3,112"
  Percent,42.7%,57.3%
,,
Kern,"54,269","78,417"
  Percent,40.9%,59.1%
,,
Kings,"8,752","13,575"
  Percent,39.2%,60.8%
,,
Lake,"10,722","6,775"
  Percent,61.3%,38.7%
,,
Lassen,"2,213","4,609"
  Percent,32.4%,67.6%
,,
Los Angeles,"978,142","485,186"
  Percent,66.8%,33.2%
,,
Madera,"9,974","16,825"
  Percent,37.2%,62.8%
,,
Marin,"69,751","18,147"
  Percent,79.4%,20.6%
,,
Mariposa,"2,499","4,038"
  Percent,38.2%,61.8%
,,
Mendocino,"17,340","6,825"
  Percent,71.8%,28.2%
,,
Merced,"18,945","18,848"
  Percent,50.1%,49.9%
,,
Modoc,770,"2,061"
  Percent,27.2%,72.8%
,,
Mono,"1,632","1,442"
  Percent,53.1%,46.9%
,,
Monterey,"51,315","22,591"
  Percent,69.4%,30.6%
,,
Napa,"25,846","12,059"
  Percent,68.2%,31.8%
,,
Nevada,"20,976","17,419"
  Percent,54.6%,45.4%
,,
Orange,"275,707","344,817"
  Percent,44.4%,55.6%
,,
Placer,"51,241","61,604"
  Percent,45.4%,54.6%
,,
Plumas,"2,966","4,139"
  Percent,41.7%,58.3%
,,
Riverside,"165,340","185,805"
  Percent,47.1%,52.9%
,,
Sacramento,"202,416","122,342"
  Percent,62.3%,37.7%
,,
San Benito,"8,654","4,969"
  Percent,63.5%,36.5%
,,
San Bernardino,"134,417","152,458"
  Percent,46.9%,53.1%
,,
San Diego,"346,419","331,942"
  Percent,51.1%,48.9%
,,
San Francisco,"196,745","26,442"
  Percent,88.2%,11.8%
,,
San Joaquin,"62,614","54,331"
  Percent,53.5%,46.5%
,,
San Luis Obispo,"46,606","39,186"
  Percent,54.3%,45.7%
,,
San Mateo,"120,280","39,615"
  Percent,75.2%,24.8%
,,
Santa Barbara,"64,912","46,503"
  Percent,58.3%,41.7%
,,
Santa Clara,"288,732","107,113"
  Percent,72.9%,27.1%
,,
Santa Cruz,"56,977","15,499"
  Percent,78.6%,21.4%
,,
Shasta,"21,509","35,007"
  Percent,38.1%,61.9%
,,
Sierra,679,857
  Percent,44.2%,55.8%
,,
Siskiyou,"6,103","7,717"
  Percent,44.2%,55.8%
,,
Solano,"57,874","31,754"
  Percent,64.6%,35.4%
,,
Sonoma,"107,328","36,249"
  Percent,74.8%,25.2%
,,
Stanislaus,"46,566","43,786"
  Percent,51.5%,48.5%
,,
Sutter,"8,688","11,644"
  Percent,42.7%,57.3%
,,
Tehama,"5,408","9,952"
  Percent,35.2%,64.8%
,,
Trinity,"1,711","2,163"
  Percent,44.2%,55.8%
,,
Tulare,"23,708","37,996"
  Percent,38.4%,61.6%
,,
Tuolumne,"7,951","9,058"
  Percent,46.7%,53.3%
,,
Ventura,"106,072","93,797"
  Percent,53.1%,46.9%
,,
Yolo,"31,431","14,043"
  Percent,69.1%,30.9%
,,
Yuba,"5,166","7,245"
  Percent,41.6%,58.4%
,,
State Totals,"4,388,368","2,929,213"
  Percent,60.0%,40.0%
,,
,,
