,"Gavin
 Newsom","John H. 
Cox"
,DEM,REP
Alameda,"462,558","111,677"
  Percent,80.6%,19.4%
,,
Alpine,386,229
  Percent,62.8%,37.2%
,,
Amador,"6,237","11,356"
  Percent,35.5%,64.5%
,,
Butte,"41,500","47,226"
  Percent,46.8%,53.2%
,,
Calaveras,"7,765","13,845"
  Percent,35.9%,64.1%
,,
Colusa,"1,999","3,764"
  Percent,34.7%,65.3%
,,
Contra Costa,"283,805","132,345"
  Percent,68.2%,31.8%
,,
Del Norte,"3,441","4,887"
  Percent,41.3%,58.7%
,,
El Dorado,"36,297","53,140"
  Percent,40.6%,59.4%
,,
Fresno,"124,332","128,974"
  Percent,49.1%,50.9%
,,
Glenn,"2,424","5,908"
  Percent,29.1%,70.9%
,,
Humboldt,"33,455","18,418"
  Percent,64.5%,35.5%
,,
Imperial,"20,573","12,785"
  Percent,61.7%,38.3%
,,
Inyo,"3,244","4,018"
  Percent,44.7%,55.3%
,,
Kern,"83,507","119,870"
  Percent,41.1%,58.9%
,,
Kings,"12,275","17,976"
  Percent,40.6%,59.4%
,,
Lake,"10,869","10,280"
  Percent,51.4%,48.6%
,,
Lassen,"2,043","6,973"
  Percent,22.7%,77.3%
,,
Los Angeles,"2,114,699","826,402"
  Percent,71.9%,28.1%
,,
Madera,"15,037","23,488"
  Percent,39.0%,61.0%
,,
Marin,"103,671","26,750"
  Percent,79.5%,20.5%
,,
Mariposa,"3,183","5,043"
  Percent,38.7%,61.3%
,,
Mendocino,"22,152","11,255"
  Percent,66.3%,33.7%
,,
Merced,"30,783","28,424"
  Percent,52.0%,48.0%
,,
Modoc,820,"2,628"
  Percent,23.8%,76.2%
,,
Mono,"2,706","2,147"
  Percent,55.8%,44.2%
,,
Monterey,"76,648","39,516"
  Percent,66.0%,34.0%
,,
Napa,"36,513","19,834"
  Percent,64.8%,35.2%
,,
Nevada,"27,985","24,882"
  Percent,52.9%,47.1%
,,
Orange,"543,047","539,951"
  Percent,50.1%,49.9%
,,
Placer,"72,270","103,157"
  Percent,41.2%,58.8%
,,
Plumas,"3,433","5,807"
  Percent,37.2%,62.8%
,,
Riverside,"319,845","322,243"
  Percent,49.8%,50.2%
,,
Sacramento,"302,696","212,010"
  Percent,58.8%,41.2%
,,
San Benito,"11,274","8,815"
  Percent,56.1%,43.9%
,,
San Bernardino,"276,874","260,379"
  Percent,51.5%,48.5%
,,
San Diego,"658,346","499,532"
  Percent,56.9%,43.1%
,,
San Francisco,"312,181","49,181"
  Percent,86.4%,13.6%
,,
San Joaquin,"101,474","92,966"
  Percent,52.2%,47.8%
,,
San Luis Obispo,"65,117","61,137"
  Percent,51.6%,48.4%
,,
San Mateo,"213,282","70,242"
  Percent,75.2%,24.8%
,,
Santa Barbara,"93,841","61,300"
  Percent,60.5%,39.5%
,,
Santa Clara,"438,758","175,791"
  Percent,71.4%,28.6%
,,
Santa Cruz,"91,523","27,665"
  Percent,76.8%,23.2%
,,
Shasta,"20,256","49,825"
  Percent,28.9%,71.1%
,,
Sierra,599,"1,068"
  Percent,35.9%,64.1%
,,
Siskiyou,"7,218","10,946"
  Percent,39.7%,60.3%
,,
Solano,"89,694","56,627"
  Percent,61.3%,38.7%
,,
Sonoma,"152,040","58,338"
  Percent,72.3%,27.7%
,,
Stanislaus,"77,220","79,751"
  Percent,49.2%,50.8%
,,
Sutter,"11,122","18,953"
  Percent,37.0%,63.0%
,,
Tehama,"5,756","15,137"
  Percent,27.5%,72.5%
,,
Trinity,"2,250","3,075"
  Percent,42.3%,57.7%
,,
Tulare,"42,702","57,012"
  Percent,42.8%,57.2%
,,
Tuolumne,"9,294","14,580"
  Percent,38.9%,61.1%
,,
Ventura,"171,729","137,393"
  Percent,55.6%,44.4%
,,
Yolo,"49,759","23,611"
  Percent,67.8%,32.2%
,,
Yuba,"6,903","12,293"
  Percent,36.0%,64.0%
,,
State Totals,"7,721,410","4,742,825"
  Percent,61.9%,38.1%
,,
,,
