,"Charles ""Chuck"" Pineda, Jr.","Gray
Davis*",Anselmo A. Chavez,"Mosemarie
 Boyd","Bill
Jones","Danney
Ball",Richard J. Riordan,"Bill
Simon",Nick Jesson,"Jim
Dimov",Edie Bukewihge,Reinhold Gulke,Peter Miguel Camejo,Gary David Copeland,"Art Olivier
(write-in)","Iris
Adam",,,
,DEM,DEM,DEM,DEM,REP,REP,REP,REP,REP,REP,REP,AI,GRN,Libertarian,Libertarian,Natural Law,,,
,,,,,,,,,,,,,,,,,,,
Alameda,"5,861","111,369","8,902","4,881","8,314",434,"15,046","30,963",504,184,483,672,"4,053",716,3,140,,,
  Percent,4.4% ,85.1% ,6.8% ,3.7% ,14.9% ,0.7% ,27.0% ,55.4% ,0.9% ,0.3% ,0.8% ,100.0% ,100.0% ,99.6% ,0.4% ,100.0% ,,,
,,,,,,,,,,,,,,,,,,,
Alpine,12,155,12,5,72,2,53,96,8,1,2,10,4,2,0,2,,,
  Percent,6.5% ,84.3% ,6.5% ,2.7% ,30.8% ,0.8% ,22.7% ,41.1% ,3.4% ,0.4% ,0.8% ,100.0% ,100.0% ,100.0% ,0.0% ,100.0% ,,,
,,,,,,,,,,,,,,,,,,,
Amador,296,"2,701",357,228,"1,417",20,"1,067","2,732",33,13,25,82,31,44,0,6,,,
  Percent,8.2% ,75.5% ,10.0% ,6.3% ,26.8% ,0.3% ,20.2% ,51.5% ,0.6% ,0.2% ,0.4% ,100.0% ,100.0% ,100.0% ,0.0% ,100.0% ,,,
,,,,,,,,,,,,,,,,,,,
Butte,"1,736","13,498","1,573",873,"6,847",155,"4,091","15,120",226,38,191,418,744,231,0,32,,,
  Percent,9.9% ,76.4% ,8.8% ,4.9% ,25.7% ,0.5% ,15.4% ,56.7% ,0.9% ,0.1% ,0.7% ,100.0% ,100.0% ,100.0% ,0.0% ,100.0% ,,,
,,,,,,,,,,,,,,,,,,,
Calaveras,342,"3,314",524,203,"1,789",71,"1,097","3,430",57,13,54,111,91,116,0,14,,,
  Percent,7.8% ,75.7% ,11.9% ,4.6% ,27.5% ,1.1% ,16.9% ,52.7% ,0.9% ,0.1% ,0.8% ,100.0% ,100.0% ,100.0% ,0.0% ,100.0% ,,,
,,,,,,,,,,,,,,,,,,,
Colusa,154,"1,007",209,147,743,16,475,"1,163",17,6,23,56,11,18,0,1,,,
  Percent,10.2% ,66.4% ,13.8% ,9.6% ,30.5% ,0.6% ,19.5% ,47.7% ,0.6% ,0.2% ,0.9% ,100.0% ,100.0% ,100.0% ,0.0% ,100.0% ,,,
,,,,,,,,,,,,,,,,,,,
Contra Costa,"5,770","73,512","6,148","3,153","13,527",478,"19,606","40,317",410,189,387,895,"1,144",660,4,134,,,
  Percent,6.5% ,83.0% ,7.0% ,3.5% ,18.1% ,0.6% ,26.2% ,53.9% ,0.5% ,0.2% ,0.5% ,100.0% ,100.0% ,99.4% ,0.6% ,100.0% ,,,
,,,,,,,,,,,,,,,,,,,
Del Norte,204,"1,594",272,150,613,46,437,"1,274",58,16,48,61,25,30,0,6,,,
  Percent,9.1% ,71.9% ,12.3% ,6.7% ,24.6% ,1.8% ,17.6% ,51.2% ,2.3% ,0.6% ,1.9% ,100.0% ,100.0% ,100.0% ,0.0% ,100.0% ,,,
,,,,,,,,,,,,,,,,,,,
El Dorado,"1,132","9,333","1,465",790,"5,715",138,"5,765","13,306",157,42,145,353,227,213,0,9,,,
  Percent,8.8% ,73.4% ,11.6% ,6.2% ,22.7% ,0.5% ,22.9% ,52.7% ,0.6% ,0.1% ,0.5% ,100.0% ,100.0% ,100.0% ,0.0% ,100.0% ,,,
,,,,,,,,,,,,,,,,,,,
Fresno,"3,860","34,159","3,196","2,021","37,952",222,"5,804","19,284",287,88,212,501,363,230,5,35,,,
  Percent,9.0% ,79.1% ,7.3% ,4.6% ,59.5% ,0.3% ,9.1% ,30.3% ,0.4% ,0.1% ,0.3% ,100.0% ,100.0% ,97.9% ,2.1% ,100.0% ,,,
,,,,,,,,,,,,,,,,,,,
Glenn,179,"1,127",204,117,927,20,351,"1,662",33,10,33,34,9,10,0,1,,,
  Percent,11.0% ,69.3% ,12.6% ,7.1% ,30.6% ,0.6% ,11.6% ,54.8% ,1.1% ,0.3% ,1.0% ,100.0% ,100.0% ,100.0% ,0.0% ,100.0% ,,,
,,,,,,,,,,,,,,,,,,,
Humboldt,982,"11,122","1,417",587,"1,936",122,"2,590","7,362",205,46,108,210,"1,632",206,5,18,,,
