,"Barbara 
Becnel","Phil 
Angelides","Vibert 
Greene","Steve 
Westly","Frank A. 
Macaluso, Jr.","Michael 
Strimling","Jerald Robert 
Gerst","Joe 
Brouillette","Bill 
Chambers","Jeffrey R. 
Burns","Arnold 
Schwarzenegger*","Robert C. 
Newman II","Edward C. 
Noonan","Peter Miguel 
Camejo","Art 
Olivier","Janice 
Jordan"
,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,REP,REP,REP,REP,AI,GRN,LIB,PF
Alameda,"4,435","101,752","1,096","65,332","1,406","1,909",995,"2,082","1,965","1,509","40,082","1,799",861,"4,159",698,338
  Percent,2.5%,56.9%,0.6%,36.5%,0.7%,1.1%,0.5%,1.2%,4.4%,3.3%,88.4%,3.9%,100.0%,100.0%,100.0%,100.0%
,,,,,,,,,,,,,,,,
Alpine,12,81,3,59,1,9,1,0,11,6,163,8,1,8,1,1
  Percent,7.2%,48.8%,1.8%,35.6%,0.6%,5.4%,0.6%,0.0%,5.9%,3.1%,86.8%,4.2%,100.0%,100.0%,100.0%,100.0%
,,,,,,,,,,,,,,,,
Amador,117,"1,939",67,"1,976",47,55,43,73,201,107,"5,029",174,72,58,47,2
  Percent,2.8%,45.0%,1.6%,45.8%,1.0%,1.2%,0.9%,1.7%,3.7%,1.9%,91.3%,3.1%,100.0%,100.0%,100.0%,100.0%
,,,,,,,,,,,,,,,,
Butte,433,"6,815",259,"9,137",123,271,158,367,667,625,"19,056",667,285,511,179,31
  Percent,2.5%,38.9%,1.4%,52.1%,0.7%,1.5%,0.8%,2.1%,3.2%,2.9%,90.7%,3.2%,100.0%,100.0%,100.0%,100.0%
,,,,,,,,,,,,,,,,
Calaveras,157,"2,121",88,"2,061",60,50,64,100,233,160,"5,105",181,94,105,86,12
  Percent,3.4%,45.2%,1.8%,43.9%,1.2%,1.0%,1.3%,2.2%,4.2%,2.8%,89.9%,3.1%,100.0%,100.0%,100.0%,100.0%
,,,,,,,,,,,,,,,,
Colusa,49,503,23,686,21,19,33,37,61,45,"2,021",80,28,10,8,3
  Percent,3.6%,36.7%,1.6%,50.1%,1.5%,1.3%,2.5%,2.7%,2.7%,2.0%,91.6%,3.7%,100.0%,100.0%,100.0%,100.0%
,,,,,,,,,,,,,,,,
Contra Costa,"2,203","52,373",784,"40,690","1,013","1,139",566,"1,159","1,695","1,627","51,482","1,765",882,"1,099",591,115
  Percent,2.3%,52.5%,0.7%,40.8%,1.0%,1.1%,0.5%,1.1%,2.9%,2.8%,91.1%,3.2%,100.0%,100.0%,100.0%,100.0%
,,,,,,,,,,,,,,,,
Del Norte,66,"1,128",43,923,41,53,51,52,195,216,"1,962",166,69,37,31,2
