,Joe Symmon,Richard William Aguirre,"Charles ""Chuck"" Pineda, Jr.",Peter Schurman,Lowell Darling,Vibert Greene,"Edmund G. ""Jerry"" Brown",Nadia B. Smalley,Bill Chambers,Robert C. Newman II,Steve Poizner,Meg Whitman,Douglas R. Hughes,"Lawrence ""Larry"" Naritelli",Ken Miller,David Tully-Smith,Steven Paul Mozena,Chelene Nightingale,Markham Robinson,S. Deacon Alexander,Laura Wells,Dale F. Ogden,Mohammad Arif,Carlos Alvarez,Stewart A. Alexander
,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM (W/I),REP,REP,REP,REP,REP,REP,REP,REP,REP (W/I),AI,AI,GRN,GRN,LIB,PF,PF,PF
Alameda,"2,094","3,070","3,173","1,462","1,879","2,170","150,259",21,884,889,"13,732","38,345",563,"1,190",691,653,1,681,639,538,"2,199",688,50,147,107
  Percent,1.2%,1.9%,2.0%,0.8%,1.1%,1.4%,91.6%,0.0%,1.5%,1.6%,24.2%,67.4%,0.9%,2.1%,1.2%,1.1%,0.0%,51.6%,48.4%,19.6%,80.4%,100.0%,16.4%,48.4%,35.2%
,,,,,,,,,,,,,,,,,,,,,,,,,
Alpine,2,11,3,4,5,3,164,0,6,5,41,122,6,4,2,3,0,7,1,1,3,1,0,0,0
  Percent,1.0%,5.8%,1.5%,2.0%,2.7%,1.5%,85.5%,0.0%,3.2%,2.7%,21.7%,64.6%,3.2%,2.1%,1.0%,1.5%,0.0%,87.5%,12.5%,25.0%,75.0%,100.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,,,,,,,,
Amador,118,191,184,78,82,101,"3,267",0,143,191,"1,734","3,742",81,119,79,84,0,75,59,6,19,50,1,1,2
  Percent,2.9%,4.8%,4.6%,1.9%,2.0%,2.5%,81.3%,0.0%,2.4%,3.1%,28.1%,60.7%,1.3%,1.9%,1.2%,1.3%,0.0%,56.0%,44.0%,24.0%,76.0%,100.0%,25.0%,25.0%,50.0%
,,,,,,,,,,,,,,,,,,,,,,,,,
Butte,452,768,756,373,312,474,"14,994",1,507,598,"7,753","16,093",331,860,289,339,0,305,170,44,257,183,5,21,19
  Percent,2.4%,4.3%,4.2%,2.0%,1.7%,2.6%,82.8%,0.0%,1.8%,2.3%,29.0%,60.2%,1.2%,3.3%,1.0%,1.2%,0.0%,64.3%,35.7%,14.6%,85.4%,100.0%,11.1%,46.7%,42.2%
,,,,,,,,,,,,,,,,,,,,,,,,,
Calaveras,119,206,255,52,100,135,"3,868",0,134,139,"2,055","4,741",92,160,80,65,0,120,68,19,61,101,2,5,3
  Percent,2.5%,4.4%,5.4%,1.0%,2.1%,2.9%,81.7%,0.0%,1.7%,1.9%,27.6%,63.6%,1.2%,2.2%,1.0%,0.8%,0.0%,63.9%,36.1%,23.7%,76.3%,100.0%,20.0%,50.0%,30.0%
,,,,,,,,,,,,,,,,,,,,,,,,,
Colusa,40,70,77,22,29,34,730,0,36,34,608,"1,388",15,32,16,16,0,15,7,1,8,7,0,3,0
  Percent,4.0%,7.0%,7.7%,2.1%,2.9%,3.4%,72.9%,0.0%,1.7%,1.6%,28.4%,64.8%,0.6%,1.5%,0.7%,0.7%,0.0%,68.2%,31.8%,11.1%,88.9%,100.0%,0.0%,100.0%,0.0%
,,,,,,,,,,,,,,,,,,,,,,,,,
Contra Costa,"1,243","2,420","2,576",732,"1,206","1,560","95,050",1,"1,038",793,"16,418","51,552",576,"1,371",820,756,1,884,608,185,675,581,14,82,42
  Percent,1.1%,2.4%,2.5%,0.6%,1.1%,1.5%,90.8%,0.0%,1.5%,1.0%,22.4%,70.4%,0.7%,1.9%,1.1%,1.0%,0.0%,59.3%,40.7%,21.5%,78.5%,100.0%,10.1%,59.5%,30.4%
,,,,,,,,,,,,,,,,,,,,,,,,,
Del Norte,60,106,87,39,53,48,"2,048",0,68,98,853,"1,456",74,92,51,50,0,70,43,7,17,18,0,4,4
  Percent,2.5%,4.4%,3.6%,1.5%,2.1%,1.9%,84.0%,0.0%,2.4%,3.6%,31.2%,53.1%,2.7%,3.4%,1.8%,1.8%,0.0%,62.0%,38.0%,29.1%,70.9%,100.0%,0.0%,50.0%,50.0%
,,,,,,,,,,,,,,,,,,,,,,,,,
El Dorado,314,585,637,224,278,498,"12,304",0,452,474,"8,475","17,396",266,748,317,257,1,285,189,38,149,194,2,11,14
  Percent,2.1%,4.0%,4.3%,1.5%,1.8%,3.3%,83.0%,0.0%,1.5%,1.7%,29.9%,61.3%,0.9%,2.7%,1.1%,0.9%,0.0%,60.2%,39.8%,20.3%,79.7%,100.0%,7.4%,40.7%,51.9%
,,,,,,,,,,,,,,,,,,,,,,,,,
Fresno,"1,256","2,101","3,232","1,093",943,"1,145","31,398",0,737,"1,077","22,159","36,617",501,809,"1,311",436,1,447,292,40,184,239,8,33,19
  Percent,3.1%,5.2%,7.9%,2.6%,2.2%,2.7%,76.3%,0.0%,1.1%,1.7%,34.9%,57.6%,0.7%,1.3%,2.1%,0.6%,0.0%,60.5%,39.5%,17.8%,82.2%,100.0%,13.3%,55.1%,31.6%
,,,,,,,,,,,,,,,,,,,,,,,,,
Glenn,77,134,166,48,33,62,"1,232",0,76,132,"1,045","2,213",58,69,50,34,0,42,32,3,12,18,1,2,1
  Percent,4.4%,7.7%,9.5%,2.7%,1.8%,3.5%,70.4%,0.0%,2.1%,3.6%,28.5%,60.2%,1.5%,1.9%,1.3%,0.9%,0.0%,56.8%,43.2%,20.0%,80.0%,100.0%,25.0%,50.0%,25.0%
,,,,,,,,,,,,,,,,,,,,,,,,,
Humboldt,378,510,511,181,306,312,"14,407",0,311,313,"3,005","7,518",232,462,200,134,1,241,102,131,580,153,6,17,12
  Percent,2.3%,3.1%,3.1%,1.0%,1.8%,1.9%,86.8%,0.0%,2.5%,2.6%,24.7%,61.8%,1.9%,3.8%,1.6%,1.1%,0.0%,70.3%,29.7%,18.4%,81.6%,100.0%,17.1%,48.6%,34.3%
,,,,,,,,,,,,,,,,,,,,,,,,,
Imperial,330,809,"1,390",345,118,220,"4,607",0,128,232,"1,005","3,526",208,288,95,80,0,73,81,9,7,29,1,9,4
  Percent,4.2%,10.3%,17.8%,4.4%,1.5%,2.8%,59.0%,0.0%,2.3%,4.2%,18.1%,63.4%,3.7%,5.2%,1.7%,1.4%,0.0%,47.4%,52.6%,56.3%,43.7%,100.0%,7.1%,64.3%,28.6%
,,,,,,,,,,,,,,,,,,,,,,,,,
Inyo,59,81,74,24,40,68,"1,296",0,91,118,733,"1,574",47,96,44,27,0,45,35,6,21,32,1,2,0
