,Akinyemi Agbede,"Edmund G. ""Jerry"" Brown*",Glenn Champ,Tim Donnelly,Richard William Aguirre,Andrew Blount,Neel Kashkari,"Alma
Marie
Winston",Luis J. Rodriguez,Cindy L. Sheehan,Robert Newman,Rakesh Kumar Christian,"""Bo""
Bogdan Ambrozewicz","Joe
Leicht",Janel Hyeshia Buycks,Karen Jill Bernal,Jimelle L. Walls,Nickolas Wildstar
,DEM,DEM,REP,REP,REP,REP,REP,REP,GRN,PF,NPP,NPP,NPP,NPP,NPP,DEM (W/I),NPP (W/I),NPP (W/I)
Alameda,"1,537","153,638","2,040","14,475",784,"3,891","11,881","1,612","5,705","3,520","1,162",726,461,265,561,2,0,0
  Percent,0.8%,76.0%,1.0%,7.2%,0.4%,1.9%,5.9%,0.8%,2.8%,1.7%,0.6%,0.4%,0.2%,0.1%,0.3%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,
Alpine,5,288,16,85,1,18,39,2,12,10,12,1,1,2,0,0,0,0
  Percent,1.0%,58.5%,3.3%,17.3%,0.2%,3.7%,7.9%,0.4%,2.4%,2.0%,2.4%,0.2%,0.2%,0.4%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,
Amador,33,"4,120",187,"1,963",48,297,"2,440",89,69,135,144,33,46,30,16,0,0,0
  Percent,0.3%,42.7%,1.9%,20.3%,0.5%,3.1%,25.3%,0.9%,0.7%,1.4%,1.5%,0.3%,0.5%,0.3%,0.2%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,
Butte,188,"17,623","1,041","8,879",144,"1,416","8,292",365,573,725,536,90,195,122,208,0,0,0
  Percent,0.5%,43.6%,2.6%,22.0%,0.4%,3.5%,20.5%,0.9%,1.4%,1.8%,1.3%,0.2%,0.5%,0.3%,0.5%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,
Calaveras,39,"5,120",264,"2,428",59,379,"3,214",92,120,159,201,38,65,36,18,0,0,0
  Percent,0.3%,41.9%,2.2%,19.8%,0.5%,3.1%,26.3%,0.8%,1.0%,1.3%,1.6%,0.3%,0.5%,0.3%,0.1%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,
Colusa,29,"1,256",77,748,13,101,"1,045",26,33,28,50,16,10,3,16,0,0,0
  Percent,0.8%,36.4%,2.2%,21.7%,0.4%,2.9%,30.3%,0.8%,1.0%,0.8%,1.4%,0.5%,0.3%,0.1%,0.5%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,
Contra Costa,847,"99,343","2,101","17,607","1,032","3,378","15,910","2,241","2,142","2,005","1,069",294,372,317,247,2,0,0
  Percent,0.6%,66.7%,1.4%,11.8%,0.7%,2.3%,10.7%,1.5%,1.4%,1.3%,0.7%,0.2%,0.2%,0.2%,0.2%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,
Del Norte,33,"2,532",193,"1,384",35,212,533,289,88,83,101,23,44,25,43,0,0,0
  Percent,0.6%,45.1%,3.4%,24.6%,0.6%,3.8%,9.5%,5.1%,1.6%,1.5%,1.8%,0.4%,0.8%,0.4%,0.8%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,
El Dorado,144,"17,491",831,"7,663",125,775,"12,585",338,309,414,453,137,264,100,70,0,0,0
  Percent,0.3%,41.9%,2.0%,18.4%,0.3%,1.9%,30.2%,0.8%,0.7%,1.0%,1.1%,0.3%,0.6%,0.2%,0.2%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,
Fresno,974,"43,392","2,267","22,206",516,"1,600","28,023",902,"1,799",695,"1,336",363,381,243,285,0,0,0
  Percent,0.9%,41.3%,2.2%,21.2%,0.5%,1.5%,26.7%,0.9%,1.7%,0.7%,1.3%,0.3%,0.4%,0.2%,0.3%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,
Glenn,24,"1,715",256,"1,415",37,281,"1,209",74,50,60,105,18,13,13,32,0,0,0
  Percent,0.5%,32.3%,4.8%,26.7%,0.7%,5.3%,22.8%,1.4%,0.9%,1.1%,2.0%,0.3%,0.2%,0.2%,0.6%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,
Humboldt,170,"16,028",681,"2,821",84,672,"3,886",825,"1,023",638,316,74,123,47,85,1,0,0
  Percent,0.6%,58.3%,2.5%,10.3%,0.3%,2.4%,14.1%,3.0%,3.7%,2.3%,1.2%,0.3%,0.4%,0.2%,0.3%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,
Imperial,819,"8,342",332,"2,884",814,293,"1,122",295,814,246,358,25,60,39,89,0,0,0
  Percent,5.0%,50.5%,2.0%,17.4%,4.9%,1.8%,6.8%,1.8%,4.9%,1.5%,2.2%,0.2%,0.4%,0.2%,0.5%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,
Inyo,52,"1,443",100,692,125,95,899,57,53,69,102,8,32,21,5,0,0,0
  Percent,1.4%,38.4%,2.7%,18.4%,3.3%,2.5%,24.0%,1.5%,1.4%,1.8%,2.7%,0.2%,0.9%,0.6%,0.1%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,
