,Akinyemi Agbede,Delaine Eastin,Albert Caesar Mezzetti,Thomas Jefferson Cares,Klement Tinaj,J. Bribiesca,John Chiang,Gavin Newsom,Michael Shellenberger,Antonio Villaraigosa,Amanda Renteria,Robert Davidson Griffis,Yvonne Girard,"Robert C. Newman, II",John H. Cox,"Peter Y
 Liu",Travis Allen,Christopher N. Carlson,"Josh
 Jones",Nickolas Wildstar,Zoltan Istvan,"Gloria Estela 
La Riva",Desmond Silveira,Jeffrey Edward Taylor,Johnny Wattenburg,Shubham Goel,"Hakan ""Hawk"" Mikado","K. 
Pearce",Veronika Fimbres,Peter Crawford Valentino,Arman Soltani,"Armando M.
Arreola"
,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,REP,REP,REP,REP,REP,GRN,GRN,LIB,LIB,PF,NPP,NPP,NPP,NPP,NPP,REP (W/I),GRN (W/I),NPP (W/I),NPP (W/I),NPP (W/I)
Alameda,374,"23,442",771,401,202,538,"31,990","178,155","1,021","33,219","4,461",185,513,"1,671","35,242",835,"14,656",448,"1,825",467,684,"1,176",174,185,146,305,173,0,10,2,0,0
  Percent,0.1%,7.0%,0.2%,0.1%,0.1%,0.2%,9.6%,53.5%,0.3%,10.0%,1.3%,0.1%,0.2%,0.5%,10.6%,0.3%,4.4%,0.1%,0.5%,0.1%,0.2%,0.4%,0.1%,0.1%,0.0%,0.1%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpine,0,19,0,0,0,1,42,155,7,27,10,0,1,0,97,0,35,1,1,0,3,1,0,0,3,0,0,0,0,0,0,0
  Percent,0.0%,4.7%,0.0%,0.0%,0.0%,0.2%,10.4%,38.5%,1.7%,6.7%,2.5%,0.0%,0.2%,0.0%,24.1%,0.0%,8.7%,0.2%,0.2%,0.0%,0.7%,0.2%,0.0%,0.0%,0.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amador,7,366,16,13,4,15,"1,039","2,786",53,755,133,20,102,64,"5,385",24,"1,946",15,20,29,41,30,8,8,19,4,12,0,0,0,0,0
  Percent,0.1%,2.8%,0.1%,0.1%,0.0%,0.1%,8.0%,21.6%,0.4%,5.8%,1.0%,0.2%,0.8%,0.5%,41.7%,0.2%,15.1%,0.1%,0.2%,0.2%,0.3%,0.2%,0.1%,0.1%,0.1%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Butte,79,"3,929",83,49,26,199,"3,349","14,076",425,"2,999","1,053",136,242,312,"18,898",260,"7,967",77,129,119,145,254,32,37,76,17,43,0,0,0,0,0
  Percent,0.1%,7.1%,0.2%,0.1%,0.0%,0.4%,6.1%,25.6%,0.8%,5.5%,1.9%,0.2%,0.4%,0.6%,34.4%,0.5%,14.5%,0.1%,0.2%,0.2%,0.3%,0.5%,0.1%,0.1%,0.1%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calaveras,17,490,11,18,3,20,"1,042","3,663",69,837,158,29,152,78,"5,996",48,"2,841",22,32,38,42,36,6,8,19,5,8,0,0,0,0,0
  Percent,0.1%,3.1%,0.1%,0.1%,0.0%,0.1%,6.6%,23.3%,0.4%,5.3%,1.0%,0.2%,1.0%,0.5%,38.2%,0.3%,18.1%,0.1%,0.2%,0.2%,0.3%,0.2%,0.0%,0.1%,0.1%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colusa,5,68,3,6,1,10,130,465,12,572,34,14,12,21,"1,544",34,580,2,6,7,10,14,1,0,8,1,5,0,0,0,0,0
  Percent,0.1%,1.9%,0.1%,0.2%,0.0%,0.3%,3.6%,13.0%,0.3%,16.0%,1.0%,0.4%,0.3%,0.6%,43.3%,1.0%,16.3%,0.1%,0.2%,0.2%,0.3%,0.4%,0.0%,0.0%,0.2%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contra Costa,196,"8,016",220,251,66,319,"16,211","117,702","1,001","20,585","2,754",138,465,873,"46,604",272,"17,573",297,505,345,563,536,131,78,127,137,124,0,3,0,1,0
  Percent,0.1%,3.4%,0.1%,0.1%,0.0%,0.1%,6.9%,49.9%,0.4%,8.7%,1.2%,0.1%,0.2%,0.4%,19.7%,0.1%,7.4%,0.1%,0.2%,0.1%,0.2%,0.2%,0.1%,0.0%,0.1%,0.1%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Del Norte,14,208,4,6,3,72,414,"1,241",37,188,114,15,39,38,"1,456",53,"1,320",10,24,12,12,36,10,8,10,5,7,0,0,0,0,0
  Percent,0.3%,3.9%,0.1%,0.1%,0.1%,1.3%,7.7%,23.2%,0.7%,3.5%,2.1%,0.3%,0.7%,0.7%,27.2%,1.0%,24.6%,0.2%,0.4%,0.2%,0.2%,0.7%,0.2%,0.1%,0.2%,0.1%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Dorado,41,"1,501",39,23,19,79,"4,612","13,885",242,"3,260",733,76,346,172,"23,025",79,"7,878",60,92,105,145,75,24,9,38,20,27,0,0,0,0,0
  Percent,0.1%,2.7%,0.1%,0.0%,0.0%,0.1%,8.1%,24.5%,0.4%,5.8%,1.3%,0.1%,0.6%,0.3%,40.7%,0.1%,13.9%,0.1%,0.2%,0.2%,0.3%,0.1%,0.0%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fresno,160,"2,380",265,116,347,311,"10,284","22,599",414,"27,157","2,432",248,420,820,"45,272",560,"19,249",93,220,148,186,272,81,74,98,125,152,0,1,0,0,0
  Percent,0.1%,1.8%,0.2%,0.1%,0.3%,0.2%,7.6%,16.8%,0.3%,20.2%,1.8%,0.2%,0.3%,0.6%,33.7%,0.4%,14.3%,0.1%,0.2%,0.1%,0.1%,0.2%,0.1%,0.1%,0.1%,0.1%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glenn,1,142,6,9,0,15,162,616,27,433,65,15,29,40,"2,370",64,910,6,7,16,15,35,0,10,6,0,8,0,0,0,0,0
  Percent,0.0%,2.8%,0.1%,0.2%,0.0%,0.3%,3.2%,12.3%,0.5%,8.6%,1.3%,0.3%,0.6%,0.8%,47.3%,1.3%,18.2%,0.1%,0.1%,0.3%,0.3%,0.7%,0.0%,0.2%,0.1%,0.0%,0.2%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humboldt,68,"2,807",38,37,40,382,"1,977","11,706",352,"1,604",688,111,181,170,"6,910",192,"2,904",118,282,108,105,209,27,14,35,11,24,0,0,1,1,0
  Percent,0.2%,9.0%,0.1%,0.1%,0.1%,1.2%,6.4%,37.6%,1.1%,5.2%,2.2%,0.4%,0.6%,0.5%,22.2%,0.6%,9.3%,0.4%,0.9%,0.3%,0.3%,0.7%,0.1%,0.0%,0.1%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%
