Adams,,
Candidate,Party,Votes
Dino Rossi,R,3481
Christine Gregoire,D,1529
Ruth Bennett,L,81
Asotin,,
Candidate,Party,Votes
Dino Rossi,R,4914
Christine Gregoire,D,3530
Ruth Bennett,L,193
Benton,,
Candidate,Party,Votes
Dino Rossi,R,44895
Christine Gregoire,D,19834
Ruth Bennett,L,1118
Chelan,,
Candidate,Party,Votes
Dino Rossi,R,18438
Christine Gregoire,D,10077
Ruth Bennett,L,523
Clallam,,
Candidate,Party,Votes
Dino Rossi,R,18836
Christine Gregoire,D,16230
Ruth Bennett,L,920
Clark,,
Candidate,Party,Votes
Dino Rossi,R,85924
Christine Gregoire,D,72828
Ruth Bennett,L,4123
Columbia,,
Candidate,Party,Votes
Dino Rossi,R,1371
Christine Gregoire,D,671
Ruth Bennett,L,37
Cowlitz,,
Candidate,Party,Votes
Christine Gregoire,D,20204
Dino Rossi,R,20045
Ruth Bennett,L,1094
Douglas,,
Candidate,Party,Votes
Dino Rossi,R,8667
Christine Gregoire,D,4360
Ruth Bennett,L,219
Ferry,,
Candidate,Party,Votes
Dino Rossi,R,1900
Christine Gregoire,D,1278
Ruth Bennett,L,118
Franklin,,
Candidate,Party,Votes
Dino Rossi,R,10634
Christine Gregoire,D,4977
Ruth Bennett,L,227
Garfield,,
Candidate,Party,Votes
Dino Rossi,R,840
Christine Gregoire,D,428
Ruth Bennett,L,25
Grant,,
Candidate,Party,Votes
Dino Rossi,R,17431
Christine Gregoire,D,7821
Ruth Bennett,L,535
Grays Harbor,,
Candidate,Party,Votes
Christine Gregoire,D,13729
Dino Rossi,R,13457
Ruth Bennett,L,575
Island,,
Candidate,Party,Votes
Dino Rossi,R,20000
Christine Gregoire,D,16895
Ruth Bennett,L,814
Jefferson,,
Candidate,Party,Votes
Christine Gregoire,D,10650
Dino Rossi,R,7295
Ruth Bennett,L,466
King,,
Candidate,Party,Votes
Christine Gregoire,D,506194
Dino Rossi,R,351306
Ruth Bennett,L,18952
Kitsap,,
Candidate,Party,Votes
Dino Rossi,R,57775
Christine Gregoire,D,56236
Ruth Bennett,L,3097
Kittitas,,
Candidate,Party,Votes
Dino Rossi,R,9567
Christine Gregoire,D,6125
Ruth Bennett,L,277
Klickitat,,
Candidate,Party,Votes
Dino Rossi,R,4767
Christine Gregoire,D,3919
Ruth Bennett,L,265
Lewis,,
Candidate,Party,Votes
Dino Rossi,R,20851
Christine Gregoire,D,10247
Ruth Bennett,L,757
Lincoln,,
Candidate,Party,Votes
Dino Rossi,R,3686
Christine Gregoire,D,1850
Ruth Bennett,L,100
Mason,,
Candidate,Party,Votes
Dino Rossi,R,12519
Christine Gregoire,D,11797
Ruth Bennett,L,680
Okanogan,,
Candidate,Party,Votes
Dino Rossi,R,9460
Christine Gregoire,D,6107
Ruth Bennett,L,468
Pacific,,
Candidate,Party,Votes
Christine Gregoire,D,5210
Dino Rossi,R,4730
Ruth Bennett,L,296
Pend Oreille,,
Candidate,Party,Votes
Dino Rossi,R,3368
Christine Gregoire,D,2567
Ruth Bennett,L,179
Pierce,,
Candidate,Party,Votes
Dino Rossi,R,157905
Christine Gregoire,D,145431
Ruth Bennett,L,7255
San Juan,,
Candidate,Party,Votes
Christine Gregoire,D,5872
Dino Rossi,R,3660
Ruth Bennett,L,320
Skagit,,
Candidate,Party,Votes
Dino Rossi,R,27219
Christine Gregoire,D,23250
Ruth Bennett,L,1264
Skamania,,
Candidate,Party,Votes
Dino Rossi,R,2525
Christine Gregoire,D,2233
Ruth Bennett,L,178
Snohomish,,
Candidate,Party,Votes
Dino Rossi,R,145628
Christine Gregoire,D,139189
Ruth Bennett,L,6861
Spokane,,
Candidate,Party,Votes
Dino Rossi,R,105584
Christine Gregoire,D,90581
Ruth Bennett,L,3881
Stevens,,
Candidate,Party,Votes
Dino Rossi,R,12295
Christine Gregoire,D,6992
Ruth Bennett,L,566
Thurston,,
Candidate,Party,Votes
Christine Gregoire,D,58970
Dino Rossi,R,49426
Ruth Bennett,L,2575
Wahkiakum,,
Candidate,Party,Votes
Dino Rossi,R,1099
Christine Gregoire,D,993
Ruth Bennett,L,61
Walla Walla,,
Candidate,Party,Votes
Dino Rossi,R,14290
Christine Gregoire,D,8008
Ruth Bennett,L,378
Whatcom,,
Candidate,Party,Votes
Christine Gregoire,D,44072
Dino Rossi,R,42000
Ruth Bennett,L,2179
Whitman,,
Candidate,Party,Votes
Dino Rossi,R,9365
Christine Gregoire,D,7722
Ruth Bennett,L,457
Yakima,,
Candidate,Party,Votes
Dino Rossi,R,46079
Christine Gregoire,D,24755
Ruth Bennett,L,1351
