"Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Statewide Initiative Measure 985 concerns transportation","Yes","","1425","33","Statewide"
"Statewide Initiative Measure 985 concerns transportation","No","","2893","67","Statewide"
"Statewide Initiative Measure 1000 concerns allowing certain terminally ill competent adults to obtain lethal prescriptions","Yes","","2008","44.35","Statewide"
"Statewide Initiative Measure 1000 concerns allowing certain terminally ill competent adults to obtain lethal prescriptions","No","","2520","55.65","Statewide"
"Statewide Initiative Measure 1029 concerns long-term care services for the elderly and persons with disabilities","Yes","","3201","71.42","Statewide"
"Statewide Initiative Measure 1029 concerns long-term care services for the elderly and persons with disabilities","No","","1281","28.58","Statewide"
"ADAMS COUNTY Proposition #1 Juvenile Detention Facilities and Jails","Approved","","1824","40.97","ADAMS COUNTY"
"ADAMS COUNTY Proposition #1 Juvenile Detention Facilities and Jails","Rejected","","2628","59.03","ADAMS COUNTY"
"ADAMS COUNTY Proposition #2 Emergency Communication Systems and Facilities","Approved","","2248","50.61","ADAMS COUNTY"
"ADAMS COUNTY Proposition #2 Emergency Communication Systems and Facilities","Rejected","","2194","49.39","ADAMS COUNTY"
"United States President/Vice President","Barack Obama / Joe Biden","Democratic Party Nominees","1552","31.95","United States"
"United States President/Vice President","John McCain / Sarah Palin","Republican Party Nominees","3222","66.32","United States"
"United States President/Vice President","Ralph Nader / Matt Gonzalez","Independent Candidates","44","0.91","United States"
"United States President/Vice President","Gloria La Riva / Eugene Puryear","Socialism & Liberation Party Nominees","2","0.04","United States"
"United States President/Vice President","James E. Harris / Alyson Kennedy","Socialist Workers Party Nominees","2","0.04","United States"
"United States President/Vice President","Bob Barr / Wayne A. Root","Libertarian Party Nominees","16","0.33","United States"
"United States President/Vice President","Chuck Baldwin / Darrell L. Castle","Constitution Party Nominees","18","0.37","United States"
"United States President/Vice President","Cynthia McKinney / Rosa Clemente","Green Party Nominees","2","0.04","United States"
"U.S. Congressional District 4 Representative","Doc Hastings","(Prefers Republican Party)","1522","67.08","U.S. Congressional District 4"
"U.S. Congressional District 4 Representative","George Fearing","(Prefers Democratic Party)","747","32.92","U.S. Congressional District 4"
