"Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Statewide Initiative Measure 985 concerns transportation","Yes","","3090","34.82","Statewide"
"Statewide Initiative Measure 985 concerns transportation","No","","5783","65.18","Statewide"
"Statewide Initiative Measure 1000 concerns allowing certain terminally ill competent adults to obtain lethal prescriptions","Yes","","5391","55.92","Statewide"
"Statewide Initiative Measure 1000 concerns allowing certain terminally ill competent adults to obtain lethal prescriptions","No","","4249","44.08","Statewide"
"Statewide Initiative Measure 1029 concerns long-term care services for the elderly and persons with disabilities","Yes","","7011","73.19","Statewide"
"Statewide Initiative Measure 1029 concerns long-term care services for the elderly and persons with disabilities","No","","2568","26.81","Statewide"
"ASOTIN COUNTY Formation of Cemetery District","Yes","","5970","66.11","ASOTIN COUNTY"
"ASOTIN COUNTY Formation of Cemetery District","No","","3061","33.89","ASOTIN COUNTY"
"ASOTIN COUNTY Sales Tax  Sales Tax","Yes","","2963","31.12","ASOTIN COUNTY"
"ASOTIN COUNTY Sales Tax  Sales Tax","No","","6557","68.88","ASOTIN COUNTY"
"ASOTIN COUNTY Asotin County Advisory Vote","Yes","","5326","57.31","ASOTIN COUNTY"
"ASOTIN COUNTY Asotin County Advisory Vote","No","","3968","42.69","ASOTIN COUNTY"
"United States President/Vice President","Barack Obama / Joe Biden","Democratic Party Nominees","4139","42.32","United States"
"United States President/Vice President","John McCain / Sarah Palin","Republican Party Nominees","5451","55.74","United States"
"United States President/Vice President","Ralph Nader / Matt Gonzalez","Independent Candidates","118","1.21","United States"
"United States President/Vice President","Gloria La Riva / Eugene Puryear","Socialism & Liberation Party Nominees","0","0","United States"
"United States President/Vice President","James E. Harris / Alyson Kennedy","Socialist Workers Party Nominees","1","0.01","United States"
"United States President/Vice President","Bob Barr / Wayne A. Root","Libertarian Party Nominees","19","0.19","United States"
"United States President/Vice President","Chuck Baldwin / Darrell L. Castle","Constitution Party Nominees","44","0.45","United States"
"United States President/Vice President","Cynthia McKinney / Rosa Clemente","Green Party Nominees","8","0.08","United States"
"U.S. Congressional District 5 Representative","Cathy McMorris Rodgers","(Prefers Republican Party)","6422","67.96","U.S. Congressional District 5"
"U.S. Congressional District 5 Representative","Mark Mays","(Prefers Democratic Party)","3028","32.04","U.S. Congressional District 5"
"Washington State Governor","Christine Gregoire","(Prefers Democratic Party)","4254","43.92","Washington State"
"Washington State Governor","Dino Rossi","(Prefers G.O.P. Party)","5432","56.08","Washington State"
"Washington State Lt. Governor","Brad Owen","(Prefers Democratic Party)","4656","50.57","Washington State"
"Washington State Lt. Governor","Marcia McCraw","(Prefers Republican Party)","4551","49.43","Washington State"
"Washington State Secretary of State","Sam Reed","(Prefers Republican Party)","5727","62.64","Washington State"
"Washington State Secretary of State","Jason Osgood","(Prefers Democratic Party)","3416","37.36","Washington State"
"Washington State State Treasurer","Allan Martin","(Prefers Republican Party)","5120","56.43","Washington State"
"Washington State State Treasurer","Jim McIntire","(Prefers Democratic Party)","3954","43.58","Washington State"
"Washington State State Auditor","Brian Sonntag","(Prefers Democratic Party)","4559","50.18","Washington State"
"Washington State State Auditor","J. Richard (Dick) McEntee","(Prefers Republican Party)","4527","49.82","Washington State"
"Washington State Attorney General","Rob McKenna","(Prefers Republican Party)","5812","63.2","Washington State"
"Washington State Attorney General","John Ladenburg","(Prefers Democratic Party)","3384","36.8","Washington State"
"Washington State Commissioner of Public Lands","Doug Sutherland","(Prefers Republican Party)","5180","56.78","Washington State"
"Washington State Commissioner of Public Lands","Peter J. Goldmark","(Prefers Democratic Party)","3943","43.22","Washington State"
"Washington State Superintendent of Public Instruction","Teresa (Terry) Bergeson","","4699","55.93","Washington State"
"Washington State Superintendent of Public Instruction","Randy Dorn","","3702","44.07","Washington State"
"Washington State Insurance Commissioner","Mike Kreidler","(Prefers Democratic Party)","4275","48.22","Washington State"
"Washington State Insurance Commissioner","John R. Adams","(Prefers Republican Party)","4590","51.78","Washington State"
"Legislative District 9 State Senator","Mark G. Schoesler","(Prefers G.O.P. Party)","7635","100","Legislative District 9"
"Legislative District 9 State Representative Pos. 1","Steve Hailey","(Prefers G.O.P. Party)","5561","62.47","Legislative District 9"
"Legislative District 9 State Representative Pos. 1","Kenneth E. Caylor","(Prefers Democratic Party)","3341","37.53","Legislative District 9"
"Legislative District 9 State Representative Pos. 2","Joe Schmick","(Prefers Republican Party)","5278","58.81","Legislative District 9"
"Legislative District 9 State Representative Pos. 2","Tyana Kelley","(Prefers Democratic Party)","3696","41.19","Legislative District 9"
"ASOTIN COUNTY COUNTY COMMISSIONER #01","Doug Mattoon","(Prefers Democratic Party)","7118","100","ASOTIN COUNTY"
"ASOTIN COUNTY COUNTY COMMISSIONER #02","Don Brown","(Prefers Republican Party)","4736","50.57","ASOTIN COUNTY"
"ASOTIN COUNTY COUNTY COMMISSIONER #02","Vikki Bonfield","(Prefers Democratic Party)","4629","49.43","ASOTIN COUNTY"
"Supreme Court Justice Position 3","Mary Fairhurst","","6996","100","Supreme Court"
"Supreme Court Justice Position 4","Charles W. Johnson","","6975","100","Supreme Court"
"Supreme Court Justice Position 7","Debra L. Stephens","","6984","100","Supreme Court"
"Asotin, Columbia, Garfield Superior Court Judge Position 1","William D. (Bill) Acey","","7633","100","Asotin, Columbia, Garfield Superior Court"
"PUBLIC UTILITY DISTRICT PUBLIC UTILITY COMMISSIONER #01","Judy Ridge","","6214","100","PUBLIC UTILITY DISTRICT"
"CEMETERY DISTRICT COMMISSIONER #1","Don Barber","","6551","100","CEMETERY DISTRICT"
"CEMETERY DISTRICT COMMISSIONER #2","STEVEN D. RYNEARSON","","6663","100","CEMETERY DISTRICT"
"CEMETERY DISTRICT COMMISSIONER #3","FRANK H JOHNSON","","6648","100","CEMETERY DISTRICT"
"PUBLIC UTILITY DISTRICT PUD Proposition No 1 Shall Public Utility District No 1. of Asotin County be authorized to acquire, construct, operate, maintain, and add to sewage systems?","Yes","","5760","71.92","PUBLIC UTILITY DISTRICT"
"PUBLIC UTILITY DISTRICT PUD Proposition No 1 Shall Public Utility District No 1. of Asotin County be authorized to acquire, construct, operate, maintain, and add to sewage systems?","No","","2249","28.08","PUBLIC UTILITY DISTRICT"
"EMS DISTRICT 1 City of Asotin Proposition 911","Special Levy Yes","","415","77.28","EMS DISTRICT 1"
"EMS DISTRICT 1 City of Asotin Proposition 911","Special Levy No","","122","22.72","EMS DISTRICT 1"
"EMS DISTRICT 2 City of Clarkston Proposition 911","Levy Yes","","1987","80.94","EMS DISTRICT 2"
"EMS DISTRICT 2 City of Clarkston Proposition 911","Levy No","","468","19.06","EMS DISTRICT 2"
"EMS DISTRICT 3 Asotin County Proposition 911","Levy Yes","","4741","79.57","EMS DISTRICT 3"
"EMS DISTRICT 3 Asotin County Proposition 911","Levy No","","1217","20.43","EMS DISTRICT 3"
