"Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Statewide Initiative Measure 985 concerns transportation","Yes","","20858","29.57","Statewide"
"Statewide Initiative Measure 985 concerns transportation","No","","49688","70.43","Statewide"
"Statewide Initiative Measure 1000 concerns allowing certain terminally ill competent adults to obtain lethal prescriptions","Yes","","35493","49.3","Statewide"
"Statewide Initiative Measure 1000 concerns allowing certain terminally ill competent adults to obtain lethal prescriptions","No","","36499","50.7","Statewide"
"Statewide Initiative Measure 1029 concerns long-term care services for the elderly and persons with disabilities","Yes","","47988","67.08","Statewide"
"Statewide Initiative Measure 1029 concerns long-term care services for the elderly and persons with disabilities","No","","23555","32.92","Statewide"
"Benton Benton County Proposition 1 INCREASE IN LOCAL SALES AND USE TAX FOR LAW AND JUSTICE NEEDS ","Approved","","29215","41.99","Benton"
"Benton Benton County Proposition 1 INCREASE IN LOCAL SALES AND USE TAX FOR LAW AND JUSTICE NEEDS ","Rejected","","40359","58.01","Benton"
"United States President/Vice President","Barack Obama / Joe Biden","Democratic Party Nominees","26288","36.05","United States"
"United States President/Vice President","John McCain / Sarah Palin","Republican Party Nominees","45345","62.19","United States"
"United States President/Vice President","Ralph Nader / Matt Gonzalez","Independent Candidates","610","0.84","United States"
"United States President/Vice President","Gloria La Riva / Eugene Puryear","Socialism & Liberation Party Nominees","13","0.02","United States"
"United States President/Vice President","James E. Harris / Alyson Kennedy","Socialist Workers Party Nominees","11","0.02","United States"
"United States President/Vice President","Bob Barr / Wayne A. Root","Libertarian Party Nominees","338","0.46","United States"
"United States President/Vice President","Chuck Baldwin / Darrell L. Castle","Constitution Party Nominees","247","0.34","United States"
"United States President/Vice President","Cynthia McKinney / Rosa Clemente","Green Party Nominees","59","0.08","United States"
"U.S. Congressional District 4 Representative","Doc Hastings","(Prefers Republican Party)","46603","65.23","U.S. Congressional District 4"
"U.S. Congressional District 4 Representative","George Fearing","(Prefers Democratic Party)","24838","34.77","U.S. Congressional District 4"
"Washington State Governor","Christine Gregoire","(Prefers Democratic Party)","21968","30.26","Washington State"
"Washington State Governor","Dino Rossi","(Prefers G.O.P. Party)","50635","69.74","Washington State"
"Washington State Lt. Governor","Brad Owen","(Prefers Democratic Party)","31815","46.09","Washington State"
"Washington State Lt. Governor","Marcia McCraw","(Prefers Republican Party)","37218","53.91","Washington State"
"Washington State Secretary of State","Sam Reed","(Prefers Republican Party)","49619","71.96","Washington State"
"Washington State Secretary of State","Jason Osgood","(Prefers Democratic Party)","19330","28.04","Washington State"
"Washington State State Treasurer","Allan Martin","(Prefers Republican Party)","43736","64.4","Washington State"
"Washington State State Treasurer","Jim McIntire","(Prefers Democratic Party)","24182","35.6","Washington State"
"Washington State State Auditor","Brian Sonntag","(Prefers Democratic Party)","30868","45.25","Washington State"
"Washington State State Auditor","J. Richard (Dick) McEntee","(Prefers Republican Party)","37356","54.75","Washington State"
"Washington State Attorney General","Rob McKenna","(Prefers Republican Party)","51092","73.68","Washington State"
"Washington State Attorney General","John Ladenburg","(Prefers Democratic Party)","18248","26.32","Washington State"
"Washington State Commissioner of Public Lands","Doug Sutherland","(Prefers Republican Party)","45384","66.96","Washington State"
"Washington State Commissioner of Public Lands","Peter J. Goldmark","(Prefers Democratic Party)","22392","33.04","Washington State"
"Washington State Superintendent of Public Instruction","Teresa (Terry) Bergeson","","26766","41.68","Washington State"
"Washington State Superintendent of Public Instruction","Randy Dorn","","37456","58.32","Washington State"
"Washington State Insurance Commissioner","Mike Kreidler","(Prefers Democratic Party)","28779","43.33","Washington State"
"Washington State Insurance Commissioner","John R. Adams","(Prefers Republican Party)","37634","56.67","Washington State"
"Legislative District 8 State Representative Pos. 1","Carol L. Moser","(Prefers Democratic Party)","28278","47.49","Legislative District 8"
"Legislative District 8 State Representative Pos. 1","Brad Klippert","(Prefers Republican Party)","31266","52.51","Legislative District 8"
"Legislative District 8 State Representative Pos. 2","Larry Haler","(Prefers G.O.P. Party)","33987","60.18","Legislative District 8"
"Legislative District 8 State Representative Pos. 2","Rob Welch","(Prefers Republican Party)","22493","39.82","Legislative District 8"
"Legislative District 16 State Senator","Mike Hewitt","(Prefers Republican Party)","8598","100","Legislative District 16"
"Legislative District 16 State Representative Pos. 1","Maureen Walsh","(Prefers Republican Party)","6988","71.91","Legislative District 16"
"Legislative District 16 State Representative Pos. 1","Dante Lee Montoya","(Prefers Democratic Party)","2730","28.09","Legislative District 16"
"Legislative District 16 State Representative Pos. 2","Bill Grant","(Prefers Democratic Party)","4725","47.96","Legislative District 16"
"Legislative District 16 State Representative Pos. 2","Terry R. Nealey","(Prefers Republican Party)","5127","52.04","Legislative District 16"
"Benton Commissioner #1","Fred R Staples","(Prefers Republican Party)","29702","47.13","Benton"
"Benton Commissioner #1","Leo Bowman","(Prefers Republican Party)","33319","52.87","Benton"
"Benton Commissioner #3","Claude L Oliver","(Prefers Republican Party)","27793","43.66","Benton"
"Benton Commissioner #3","James R Beaver","(Prefers Republican Party)","35870","56.34","Benton"
"Supreme Court Justice Position 3","Mary Fairhurst","","52214","100","Supreme Court"
"Supreme Court Justice Position 4","Charles W. Johnson","","52140","100","Supreme Court"
"Supreme Court Justice Position 7","Debra L. Stephens","","52134","100","Supreme Court"
"Benton, Franklin Superior Court Judge Position 1","Bruce Spanner","","38115","57.6","Benton, Franklin Superior Court"
"Benton, Franklin Superior Court Judge Position 1","Salvador Mendoza Jr.","","28060","42.4","Benton, Franklin Superior Court"
"PUD Commissioner Dist #2 Commissioner #2","Pat Tucker","","15782","38.36","PUD Commissioner Dist #2"
"PUD Commissioner Dist #2 Commissioner #2","Jeff Hall","","25359","61.64","PUD Commissioner Dist #2"
"Fire District #4 Fire District No. 4 Proposition 1 Proposition Authorizing six year Emergency Medical Service Property Tax Levy","Yes","","3894","54.08","Fire District #4"
"Fire District #4 Fire District No. 4 Proposition 1 Proposition Authorizing six year Emergency Medical Service Property Tax Levy","No","","3306","45.92","Fire District #4"
"Fire District #4 Fire District No. 4 Proposition 2 BONDS TO RENOVATE FIRE STATIONS AND ACQUIRE EMERGENCY MEDICAL AND FIRE FIGHTING EQUIPMENT ","Approved","","3988","55.73","Fire District #4"
"Fire District #4 Fire District No. 4 Proposition 2 BONDS TO RENOVATE FIRE STATIONS AND ACQUIRE EMERGENCY MEDICAL AND FIRE FIGHTING EQUIPMENT ","Rejected","","3168","44.27","Fire District #4"
"Fire District #6 Fire District No. 6 Proposition 1 Proposition authorizing regular emergency medical services property tax levy","Yes","","141","59.49","Fire District #6"
"Fire District #6 Fire District No. 6 Proposition 1 Proposition authorizing regular emergency medical services property tax levy","No","","96","40.51","Fire District #6"
