"Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Statewide Initiative Measure 985 concerns transportation","Yes","","11752","38.6","Statewide"
"Statewide Initiative Measure 985 concerns transportation","No","","18695","61.4","Statewide"
"Statewide Initiative Measure 1000 concerns allowing certain terminally ill competent adults to obtain lethal prescriptions","Yes","","16226","51.59","Statewide"
"Statewide Initiative Measure 1000 concerns allowing certain terminally ill competent adults to obtain lethal prescriptions","No","","15225","48.41","Statewide"
"Statewide Initiative Measure 1029 concerns long-term care services for the elderly and persons with disabilities","Yes","","21853","71.56","Statewide"
"Statewide Initiative Measure 1029 concerns long-term care services for the elderly and persons with disabilities","No","","8687","28.44","Statewide"
"United States President/Vice President","Barack Obama / Joe Biden","Democratic Party Nominees","13781","43.12","United States"
"United States President/Vice President","John McCain / Sarah Palin","Republican Party Nominees","17605","55.09","United States"
"United States President/Vice President","Ralph Nader / Matt Gonzalez","Independent Candidates","308","0.96","United States"
"United States President/Vice President","Gloria La Riva / Eugene Puryear","Socialism & Liberation Party Nominees","5","0.02","United States"
"United States President/Vice President","James E. Harris / Alyson Kennedy","Socialist Workers Party Nominees","7","0.02","United States"
"United States President/Vice President","Bob Barr / Wayne A. Root","Libertarian Party Nominees","98","0.31","United States"
"United States President/Vice President","Chuck Baldwin / Darrell L. Castle","Constitution Party Nominees","125","0.39","United States"
"United States President/Vice President","Cynthia McKinney / Rosa Clemente","Green Party Nominees","29","0.09","United States"
"U.S. Congressional District 4 Representative","Doc Hastings","(Prefers Republican Party)","20270","65.49","U.S. Congressional District 4"
"U.S. Congressional District 4 Representative","George Fearing","(Prefers Democratic Party)","10681","34.51","U.S. Congressional District 4"
"Washington State Governor","Christine Gregoire","(Prefers Democratic Party)","12087","37.99","Washington State"
"Washington State Governor","Dino Rossi","(Prefers G.O.P. Party)","19730","62.01","Washington State"
"Washington State Lt. Governor","Brad Owen","(Prefers Democratic Party)","14158","47.33","Washington State"
"Washington State Lt. Governor","Marcia McCraw","(Prefers Republican Party)","15753","52.67","Washington State"
"Washington State Secretary of State","Sam Reed","(Prefers Republican Party)","20913","69.7","Washington State"
"Washington State Secretary of State","Jason Osgood","(Prefers Democratic Party)","9093","30.3","Washington State"
"Washington State State Treasurer","Allan Martin","(Prefers Republican Party)","19477","65.37","Washington State"
"Washington State State Treasurer","Jim McIntire","(Prefers Democratic Party)","10318","34.63","Washington State"
"Washington State State Auditor","Brian Sonntag","(Prefers Democratic Party)","15101","50.79","Washington State"
"Washington State State Auditor","J. Richard (Dick) McEntee","(Prefers Republican Party)","14632","49.21","Washington State"
"Washington State Attorney General","Rob McKenna","(Prefers Republican Party)","21091","70.1","Washington State"
"Washington State Attorney General","John Ladenburg","(Prefers Democratic Party)","8996","29.9","Washington State"
"Washington State Commissioner of Public Lands","Doug Sutherland","(Prefers Republican Party)","18318","61.24","Washington State"
"Washington State Commissioner of Public Lands","Peter J. Goldmark","(Prefers Democratic Party)","11596","38.76","Washington State"
"Washington State Superintendent of Public Instruction","Teresa (Terry) Bergeson","","12054","43.83","Washington State"
"Washington State Superintendent of Public Instruction","Randy Dorn","","15445","56.17","Washington State"
"Washington State Insurance Commissioner","Mike Kreidler","(Prefers Democratic Party)","13359","46.48","Washington State"
"Washington State Insurance Commissioner","John R. Adams","(Prefers Republican Party)","15381","53.52","Washington State"
"Legislative District 12 State Senator","Linda Evans Parlette","(Prefers G.O.P. Party)","25301","100","Legislative District 12"
"Legislative District 12 State Representative Pos. 1","Cary Condotta","(Prefers Republican Party)","23197","100","Legislative District 12"
"Legislative District 12 State Representative Pos. 2","Mike Armstrong","(Prefers Republican Party)","16065","56.17","Legislative District 12"
"Legislative District 12 State Representative Pos. 2","Courtney Cox","(Prefers Republican Party)","12534","43.83","Legislative District 12"
"CHELAN COUNTY COUNTY COMMISSIONER #01","Chuck Largent","(Prefers Democratic Party)","13177","44.33","CHELAN COUNTY"
"CHELAN COUNTY COUNTY COMMISSIONER #01","Ron Walter","(Prefers Republican Party)","16549","55.67","CHELAN COUNTY"
"CHELAN COUNTY COUNTY COMMISSIONER #03","Doug England","(Prefers Republican Party)","14545","55.66","CHELAN COUNTY"
"CHELAN COUNTY COUNTY COMMISSIONER #03","Deanna C Walter","(Prefers Republican Party)","11585","44.34","CHELAN COUNTY"
"Supreme Court Justice Position 3","Mary Fairhurst","","20649","100","Supreme Court"
"Supreme Court Justice Position 4","Charles W. Johnson","","20509","100","Supreme Court"
"Supreme Court Justice Position 7","Debra L. Stephens","","20432","100","Supreme Court"
"Court of Appeals, Division 3, District 3 Judge Position 1","Stephen M. Brown","","20302","100","Court of Appeals, Division 3, District 3"
"Chelan Superior Court Judge Position 1","Lesley A. Allan","","21353","100","Chelan Superior Court"
"Chelan Superior Court Judge Position 2","T.W. (Chip) Small","","22059","100","Chelan Superior Court"
"Chelan Superior Court Judge Position 3","John E. Bridges","","21867","100","Chelan Superior Court"
"CITY OF WENATCHEE CITY OF WENATCHEE FIRE SAFETY ACQUISITION AND IMPROVEMENT BONDS - $15,123,000","ACCEPTED?","","6913","58","CITY OF WENATCHEE"
"CITY OF WENATCHEE CITY OF WENATCHEE FIRE SAFETY ACQUISITION AND IMPROVEMENT BONDS - $15,123,000","REJECTED?","","5007","42.01","CITY OF WENATCHEE"
"PUBLIC UTILITY DIST A PUBLIC UTILITY DIST COMMISSIONER DIST A AT-LARGE","Carnan Bergren","","13537","52.4","PUBLIC UTILITY DIST A"
"PUBLIC UTILITY DIST A PUBLIC UTILITY DIST COMMISSIONER DIST A AT-LARGE","Werner Janssen","","12295","47.6","PUBLIC UTILITY DIST A"
"PUBLIC UTILITY DIST COMM 1 PUBLIC UTILITY DIST COMMISSIONER DIST 1","Norm Gutzwiler","","21538","100","PUBLIC UTILITY DIST COMM 1"
