"Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Statewide Initiative Measure 985 concerns transportation","Yes","","15404","42.51","Statewide"
"Statewide Initiative Measure 985 concerns transportation","No","","20833","57.49","Statewide"
"Statewide Initiative Measure 1000 concerns allowing certain terminally ill competent adults to obtain lethal prescriptions","Yes","","22976","60.67","Statewide"
"Statewide Initiative Measure 1000 concerns allowing certain terminally ill competent adults to obtain lethal prescriptions","No","","14894","39.33","Statewide"
"Statewide Initiative Measure 1029 concerns long-term care services for the elderly and persons with disabilities","Yes","","26903","73.11","Statewide"
"Statewide Initiative Measure 1029 concerns long-term care services for the elderly and persons with disabilities","No","","9893","26.89","Statewide"
"United States President/Vice President","Barack Obama / Joe Biden","Democratic Party Nominees","19470","50.55","United States"
"United States President/Vice President","John McCain / Sarah Palin","Republican Party Nominees","18199","47.25","United States"
"United States President/Vice President","Ralph Nader / Matt Gonzalez","Independent Candidates","478","1.24","United States"
"United States President/Vice President","Gloria La Riva / Eugene Puryear","Socialism & Liberation Party Nominees","14","0.04","United States"
"United States President/Vice President","James E. Harris / Alyson Kennedy","Socialist Workers Party Nominees","11","0.03","United States"
"United States President/Vice President","Bob Barr / Wayne A. Root","Libertarian Party Nominees","177","0.46","United States"
"United States President/Vice President","Chuck Baldwin / Darrell L. Castle","Constitution Party Nominees","116","0.3","United States"
"United States President/Vice President","Cynthia McKinney / Rosa Clemente","Green Party Nominees","54","0.14","United States"
"U.S. Congressional District 6 Representative","Norm Dicks","(Prefers Democratic Party)","20745","55.72","U.S. Congressional District 6"
"U.S. Congressional District 6 Representative","Doug Cloud","(Prefers Republican Party)","16489","44.28","U.S. Congressional District 6"
"Washington State Governor","Christine Gregoire","(Prefers Democratic Party)","18987","49.42","Washington State"
"Washington State Governor","Dino Rossi","(Prefers G.O.P. Party)","19431","50.58","Washington State"
"Washington State Lt. Governor","Brad Owen","(Prefers Democratic Party)","21519","58.92","Washington State"
"Washington State Lt. Governor","Marcia McCraw","(Prefers Republican Party)","15003","41.08","Washington State"
"Washington State Secretary of State","Sam Reed","(Prefers Republican Party)","22048","61.12","Washington State"
"Washington State Secretary of State","Jason Osgood","(Prefers Democratic Party)","14025","38.88","Washington State"
"Washington State State Treasurer","Allan Martin","(Prefers Republican Party)","18655","52.6","Washington State"
"Washington State State Treasurer","Jim McIntire","(Prefers Democratic Party)","16812","47.4","Washington State"
"Washington State State Auditor","Brian Sonntag","(Prefers Democratic Party)","19974","56.66","Washington State"
"Washington State State Auditor","J. Richard (Dick) McEntee","(Prefers Republican Party)","15279","43.34","Washington State"
"Washington State Attorney General","Rob McKenna","(Prefers Republican Party)","22459","62.13","Washington State"
"Washington State Attorney General","John Ladenburg","(Prefers Democratic Party)","13690","37.87","Washington State"
"Washington State Commissioner of Public Lands","Doug Sutherland","(Prefers Republican Party)","20349","56.12","Washington State"
"Washington State Commissioner of Public Lands","Peter J. Goldmark","(Prefers Democratic Party)","15913","43.88","Washington State"
"Washington State Superintendent of Public Instruction","Teresa (Terry) Bergeson","","17026","52.57","Washington State"
"Washington State Superintendent of Public Instruction","Randy Dorn","","15363","47.43","Washington State"
"Washington State Insurance Commissioner","Mike Kreidler","(Prefers Democratic Party)","20038","57.23","Washington State"
"Washington State Insurance Commissioner","John R. Adams","(Prefers Republican Party)","14978","42.77","Washington State"
"Legislative District 24 State Senator","Jim Hargrove","(Prefers Democratic Party)","27052","100","Legislative District 24"
"Legislative District 24 State Representative Pos. 1","Kevin Van De Wege","(Prefers Democratic Party)","22331","61.68","Legislative District 24"
"Legislative District 24 State Representative Pos. 1","Thomas Thomas","(Prefers G.O.P. Party)","13876","38.32","Legislative District 24"
"Legislative District 24 State Representative Pos. 2","Lynn Kessler","(Prefers Democratic Party)","21959","60.37","Legislative District 24"
"Legislative District 24 State Representative Pos. 2","Robert (Randy) Dutton","(Prefers Republican Party)","14418","39.63","Legislative District 24"
"CLALLAM COUNTY Commissioner #2","Mike Chapman","(States No Party Preference)","23645","66.78","CLALLAM COUNTY"
"CLALLAM COUNTY Commissioner #2","Terry L. Roth","(Prefers Republican Party)","11760","33.22","CLALLAM COUNTY"
"Supreme Court Justice Position 3","Mary Fairhurst","","23362","100","Supreme Court"
"Supreme Court Justice Position 4","Charles W. Johnson","","23053","100","Supreme Court"
"Supreme Court Justice Position 7","Debra L. Stephens","","23029","100","Supreme Court"
"Court of Appeals, Division 2, District 2 Judge Position 1","(Joyce) Robin Hunt","","23147","100","Court of Appeals, Division 2, District 2"
"Clallam Superior Court Judge Position 1","Ken Williams","","24867","100","Clallam Superior Court"
"Clallam Superior Court Judge Position 2","George L. Wood","","25240","100","Clallam Superior Court"
"Clallam Superior Court Judge Position 3","Brooke Taylor","","24266","100","Clallam Superior Court"
"CITY S Sales and Use Tax Levy for Transportation Improvement Program","Approved","","1640","49.09","CITY S"
"CITY S Sales and Use Tax Levy for Transportation Improvement Program","Rejected","","1701","50.91","CITY S"
"SCHOOL DISTRICT 121 Port Angeles School District Capital Projects Technology Levy","Approved","","7319","47.49","SCHOOL DISTRICT 121"
"SCHOOL DISTRICT 121 Port Angeles School District Capital Projects Technology Levy","Rejected","","8092","52.51","SCHOOL DISTRICT 121"
"SCHOOL DISTRICT 402 Bonds for High School Replacement Addition","Approved","","1291","55.12","SCHOOL DISTRICT 402"
"SCHOOL DISTRICT 402 Bonds for High School Replacement Addition","Rejected","","1051","44.88","SCHOOL DISTRICT 402"
"SCHOOL DISTRICT 402 Bonds for New Stadium and Mulitpurpose Field","Approved","","1030","44.45","SCHOOL DISTRICT 402"
