"Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Statewide Initiative Measure 985 concerns transportation","Yes","","70093","40.05","Statewide"
"Statewide Initiative Measure 985 concerns transportation","No","","104909","59.95","Statewide"
"Statewide Initiative Measure 1000 concerns allowing certain terminally ill competent adults to obtain lethal prescriptions","Yes","","101043","56.44","Statewide"
"Statewide Initiative Measure 1000 concerns allowing certain terminally ill competent adults to obtain lethal prescriptions","No","","77975","43.56","Statewide"
"Statewide Initiative Measure 1029 concerns long-term care services for the elderly and persons with disabilities","Yes","","126081","71.79","Statewide"
"Statewide Initiative Measure 1029 concerns long-term care services for the elderly and persons with disabilities","No","","49539","28.21","Statewide"
"United States President/Vice President","Barack Obama / Joe Biden","Democratic Party Nominees","95356","52.17","United States"
"United States President/Vice President","John McCain / Sarah Palin","Republican Party Nominees","84212","46.08","United States"
"United States President/Vice President","Ralph Nader / Matt Gonzalez","Independent Candidates","1791","0.98","United States"
"United States President/Vice President","Gloria La Riva / Eugene Puryear","Socialism & Liberation Party Nominees","36","0.02","United States"
"United States President/Vice President","James E. Harris / Alyson Kennedy","Socialist Workers Party Nominees","26","0.01","United States"
"United States President/Vice President","Bob Barr / Wayne A. Root","Libertarian Party Nominees","581","0.32","United States"
"United States President/Vice President","Chuck Baldwin / Darrell L. Castle","Constitution Party Nominees","622","0.34","United States"
"United States President/Vice President","Cynthia McKinney / Rosa Clemente","Green Party Nominees","140","0.08","United States"
"U.S. Congressional District 3 Representative","Brian Baird","(Prefers Democratic Party)","106878","61.21","U.S. Congressional District 3"
"U.S. Congressional District 3 Representative","Michael Delavar","(Prefers Republican Party)","67733","38.79","U.S. Congressional District 3"
"Washington State Governor","Christine Gregoire","(Prefers Democratic Party)","87683","48.99","Washington State"
"Washington State Governor","Dino Rossi","(Prefers G.O.P. Party)","91301","51.01","Washington State"
"Washington State Lt. Governor","Brad Owen","(Prefers Democratic Party)","94611","55.35","Washington State"
"Washington State Lt. Governor","Marcia McCraw","(Prefers Republican Party)","76323","44.65","Washington State"
"Washington State Secretary of State","Sam Reed","(Prefers Republican Party)","97002","57.02","Washington State"
"Washington State Secretary of State","Jason Osgood","(Prefers Democratic Party)","73119","42.98","Washington State"
"Washington State State Treasurer","Allan Martin","(Prefers Republican Party)","86151","50.89","Washington State"
