"Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Statewide Initiative Measure 985 concerns transportation","Yes","","587","28.11","Statewide"
"Statewide Initiative Measure 985 concerns transportation","No","","1501","71.89","Statewide"
"Statewide Initiative Measure 1000 concerns allowing certain terminally ill competent adults to obtain lethal prescriptions","Yes","","1172","53.08","Statewide"
"Statewide Initiative Measure 1000 concerns allowing certain terminally ill competent adults to obtain lethal prescriptions","No","","1036","46.92","Statewide"
"Statewide Initiative Measure 1029 concerns long-term care services for the elderly and persons with disabilities","Yes","","1299","60.08","Statewide"
"Statewide Initiative Measure 1029 concerns long-term care services for the elderly and persons with disabilities","No","","863","39.92","Statewide"
"United States President/Vice President","Barack Obama / Joe Biden","Democratic Party Nominees","686","30.79","United States"
"United States President/Vice President","John McCain / Sarah Palin","Republican Party Nominees","1499","67.28","United States"
"United States President/Vice President","Ralph Nader / Matt Gonzalez","Independent Candidates","26","1.17","United States"
"United States President/Vice President","Gloria La Riva / Eugene Puryear","Socialism & Liberation Party Nominees","2","0.09","United States"
"United States President/Vice President","James E. Harris / Alyson Kennedy","Socialist Workers Party Nominees","0","0","United States"
"United States President/Vice President","Bob Barr / Wayne A. Root","Libertarian Party Nominees","1","0.04","United States"
"United States President/Vice President","Chuck Baldwin / Darrell L. Castle","Constitution Party Nominees","11","0.49","United States"
"United States President/Vice President","Cynthia McKinney / Rosa Clemente","Green Party Nominees","3","0.13","United States"
"U.S. Congressional District 5 Representative","Cathy McMorris Rodgers","(Prefers Republican Party)","1795","81.78","U.S. Congressional District 5"
"U.S. Congressional District 5 Representative","Mark Mays","(Prefers Democratic Party)","400","18.22","U.S. Congressional District 5"
"Washington State Governor","Christine Gregoire","(Prefers Democratic Party)","706","31.48","Washington State"
"Washington State Governor","Dino Rossi","(Prefers G.O.P. Party)","1537","68.52","Washington State"
"Washington State Lt. Governor","Brad Owen","(Prefers Democratic Party)","978","47.11","Washington State"
"Washington State Lt. Governor","Marcia McCraw","(Prefers Republican Party)","1098","52.89","Washington State"
"Washington State Secretary of State","Sam Reed","(Prefers Republican Party)","1558","75.08","Washington State"
"Washington State Secretary of State","Jason Osgood","(Prefers Democratic Party)","517","24.92","Washington State"
"Washington State State Treasurer","Allan Martin","(Prefers Republican Party)","1394","68.27","Washington State"
"Washington State State Treasurer","Jim McIntire","(Prefers Democratic Party)","648","31.73","Washington State"
"Washington State State Auditor","Brian Sonntag","(Prefers Democratic Party)","960","46.92","Washington State"
"Washington State State Auditor","J. Richard (Dick) McEntee","(Prefers Republican Party)","1086","53.08","Washington State"
"Washington State Attorney General","Rob McKenna","(Prefers Republican Party)","1600","77.07","Washington State"
"Washington State Attorney General","John Ladenburg","(Prefers Democratic Party)","476","22.93","Washington State"
"Washington State Commissioner of Public Lands","Doug Sutherland","(Prefers Republican Party)","1423","68.71","Washington State"
"Washington State Commissioner of Public Lands","Peter J. Goldmark","(Prefers Democratic Party)","648","31.29","Washington State"
"Washington State Superintendent of Public Instruction","Teresa (Terry) Bergeson","","1052","54.37","Washington State"
"Washington State Superintendent of Public Instruction","Randy Dorn","","883","45.63","Washington State"
"Washington State Insurance Commissioner","Mike Kreidler","(Prefers Democratic Party)","769","38.9","Washington State"
"Washington State Insurance Commissioner","John R. Adams","(Prefers Republican Party)","1208","61.1","Washington State"
"Legislative District 16 State Senator","Mike Hewitt","(Prefers Republican Party)","1940","100","Legislative District 16"
"Legislative District 16 State Representative Pos. 1","Maureen Walsh","(Prefers Republican Party)","1751","83.06","Legislative District 16"
"Legislative District 16 State Representative Pos. 1","Dante Lee Montoya","(Prefers Democratic Party)","357","16.94","Legislative District 16"
"Legislative District 16 State Representative Pos. 2","Bill Grant","(Prefers Democratic Party)","900","40.5","Legislative District 16"
"Legislative District 16 State Representative Pos. 2","Terry R. Nealey","(Prefers Republican Party)","1322","59.5","Legislative District 16"
"COLUMBIA COUNTY COMMISSIONER #1","DWIGHT L. ROBANSKE","(Prefers REPUBLICAN Party)","1153","53.83","COLUMBIA COUNTY"
"COLUMBIA COUNTY COMMISSIONER #1","TONY CURRIN","(Prefers REPUBLICAN Party)","989","46.17","COLUMBIA COUNTY"
"COLUMBIA COUNTY COMMISSIONER #2","WANDA BROOKS","(Prefers REPUBLICAN Party)","931","43.83","COLUMBIA COUNTY"
"COLUMBIA COUNTY COMMISSIONER #2","RICHARD (DICK) W. JONES","(Prefers REPUBLICAN Party)","1193","56.17","COLUMBIA COUNTY"
"Supreme Court Justice Position 3","Mary Fairhurst","","1564","100","Supreme Court"
"Supreme Court Justice Position 4","Charles W. Johnson","","1554","100","Supreme Court"
"Supreme Court Justice Position 7","Debra L. Stephens","","1553","100","Supreme Court"
"Asotin, Columbia, Garfield Superior Court Judge Position 1","William D. (Bill) Acey","","1684","100","Asotin, Columbia, Garfield Superior Court"
"FIRE DISTRICT 1 LEVY EXCESS TAXES ON REAL ESTATE AND PERSONAL PROPERTY","Approved","","19","57.58","FIRE DISTRICT 1"
"FIRE DISTRICT 1 LEVY EXCESS TAXES ON REAL ESTATE AND PERSONAL PROPERTY","Rejected","","14","42.42","FIRE DISTRICT 1"
"PRESCOTT JOINT PARK AND REC DIST Proposition No 1 One Year Maintenance & Operation Excess Levy","Levy Yes","","6","100","PRESCOTT JOINT PARK AND REC DIST"
"PRESCOTT JOINT PARK AND REC DIST Proposition No 1 One Year Maintenance & Operation Excess Levy","Levy No","","0","0","PRESCOTT JOINT PARK AND REC DIST"
