"Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Statewide Initiative Measure 985 concerns transportation","Yes","","16225","37.52","Statewide"
"Statewide Initiative Measure 985 concerns transportation","No","","27022","62.48","Statewide"
"Statewide Initiative Measure 1000 concerns allowing certain terminally ill competent adults to obtain lethal prescriptions","Yes","","24675","55.77","Statewide"
"Statewide Initiative Measure 1000 concerns allowing certain terminally ill competent adults to obtain lethal prescriptions","No","","19573","44.23","Statewide"
"Statewide Initiative Measure 1029 concerns long-term care services for the elderly and persons with disabilities","Yes","","32446","73.65","Statewide"
"Statewide Initiative Measure 1029 concerns long-term care services for the elderly and persons with disabilities","No","","11606","26.35","Statewide"
"Cowlitz Cowlitz Transit Authority, City Limits of Longview and Kelso Additional Sales and Use Tax of 0.2% to Fund Operation, Maintenance, and Capital Needs of The Cowlitz Transit Authority","Yes","","9533","52.63","Cowlitz"
"Cowlitz Cowlitz Transit Authority, City Limits of Longview and Kelso Additional Sales and Use Tax of 0.2% to Fund Operation, Maintenance, and Capital Needs of The Cowlitz Transit Authority","No","","8581","47.37","Cowlitz"
"United States President/Vice President","Barack Obama / Joe Biden","Democratic Party Nominees","24597","54.38","United States"
"United States President/Vice President","John McCain / Sarah Palin","Republican Party Nominees","19554","43.23","United States"
"United States President/Vice President","Ralph Nader / Matt Gonzalez","Independent Candidates","645","1.43","United States"
"United States President/Vice President","Gloria La Riva / Eugene Puryear","Socialism & Liberation Party Nominees","16","0.04","United States"
"United States President/Vice President","James E. Harris / Alyson Kennedy","Socialist Workers Party Nominees","11","0.02","United States"
"United States President/Vice President","Bob Barr / Wayne A. Root","Libertarian Party Nominees","144","0.32","United States"
"United States President/Vice President","Chuck Baldwin / Darrell L. Castle","Constitution Party Nominees","191","0.42","United States"
"United States President/Vice President","Cynthia McKinney / Rosa Clemente","Green Party Nominees","71","0.16","United States"
"U.S. Congressional District 3 Representative","Brian Baird","(Prefers Democratic Party)","29102","66.71","U.S. Congressional District 3"
"U.S. Congressional District 3 Representative","Michael Delavar","(Prefers Republican Party)","14523","33.29","U.S. Congressional District 3"
"Washington State Governor","Christine Gregoire","(Prefers Democratic Party)","20723","46.38","Washington State"
"Washington State Governor","Dino Rossi","(Prefers G.O.P. Party)","23954","53.62","Washington State"
"Washington State Lt. Governor","Brad Owen","(Prefers Democratic Party)","25234","59.35","Washington State"
"Washington State Lt. Governor","Marcia McCraw","(Prefers Republican Party)","17280","40.65","Washington State"
"Washington State Secretary of State","Sam Reed","(Prefers Republican Party)","22850","53.9","Washington State"
"Washington State Secretary of State","Jason Osgood","(Prefers Democratic Party)","19543","46.1","Washington State"
"Washington State State Treasurer","Allan Martin","(Prefers Republican Party)","19187","46.01","Washington State"
"Washington State State Treasurer","Jim McIntire","(Prefers Democratic Party)","22517","53.99","Washington State"
"Washington State State Auditor","Brian Sonntag","(Prefers Democratic Party)","25017","59.81","Washington State"
"Washington State State Auditor","J. Richard (Dick) McEntee","(Prefers Republican Party)","16811","40.19","Washington State"
"Washington State Attorney General","Rob McKenna","(Prefers Republican Party)","21566","51.57","Washington State"
"Washington State Attorney General","John Ladenburg","(Prefers Democratic Party)","20250","48.43","Washington State"
"Washington State Commissioner of Public Lands","Doug Sutherland","(Prefers Republican Party)","21964","52.36","Washington State"
"Washington State Commissioner of Public Lands","Peter J. Goldmark","(Prefers Democratic Party)","19988","47.64","Washington State"
"Washington State Superintendent of Public Instruction","Teresa (Terry) Bergeson","","20832","54.52","Washington State"
"Washington State Superintendent of Public Instruction","Randy Dorn","","17378","45.48","Washington State"
