"Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Statewide Initiative Measure 985 concerns transportation","Yes","","5548","37.95","Statewide"
"Statewide Initiative Measure 985 concerns transportation","No","","9070","62.05","Statewide"
"Statewide Initiative Measure 1000 concerns allowing certain terminally ill competent adults to obtain lethal prescriptions","Yes","","7231","48.06","Statewide"
"Statewide Initiative Measure 1000 concerns allowing certain terminally ill competent adults to obtain lethal prescriptions","No","","7816","51.94","Statewide"
"Statewide Initiative Measure 1029 concerns long-term care services for the elderly and persons with disabilities","Yes","","10649","72.27","Statewide"
"Statewide Initiative Measure 1029 concerns long-term care services for the elderly and persons with disabilities","No","","4087","27.73","Statewide"
"United States President/Vice President","Barack Obama / Joe Biden","Democratic Party Nominees","5848","38.45","United States"
"United States President/Vice President","John McCain / Sarah Palin","Republican Party Nominees","9098","59.82","United States"
"United States President/Vice President","Ralph Nader / Matt Gonzalez","Independent Candidates","141","0.93","United States"
"United States President/Vice President","Gloria La Riva / Eugene Puryear","Socialism & Liberation Party Nominees","0","0","United States"
"United States President/Vice President","James E. Harris / Alyson Kennedy","Socialist Workers Party Nominees","4","0.03","United States"
"United States President/Vice President","Bob Barr / Wayne A. Root","Libertarian Party Nominees","59","0.39","United States"
"United States President/Vice President","Chuck Baldwin / Darrell L. Castle","Constitution Party Nominees","44","0.29","United States"
"United States President/Vice President","Cynthia McKinney / Rosa Clemente","Green Party Nominees","15","0.1","United States"
"U.S. Congressional District 4 Representative","Doc Hastings","(Prefers Republican Party)","10108","68.52","U.S. Congressional District 4"
"U.S. Congressional District 4 Representative","George Fearing","(Prefers Democratic Party)","4644","31.48","U.S. Congressional District 4"
"Washington State Governor","Christine Gregoire","(Prefers Democratic Party)","5128","33.87","Washington State"
"Washington State Governor","Dino Rossi","(Prefers G.O.P. Party)","10013","66.13","Washington State"
"Washington State Lt. Governor","Brad Owen","(Prefers Democratic Party)","6370","45.01","Washington State"
"Washington State Lt. Governor","Marcia McCraw","(Prefers Republican Party)","7783","54.99","Washington State"
"Washington State Secretary of State","Sam Reed","(Prefers Republican Party)","10207","71.12","Washington State"
"Washington State Secretary of State","Jason Osgood","(Prefers Democratic Party)","4145","28.88","Washington State"
"Washington State State Treasurer","Allan Martin","(Prefers Republican Party)","9397","66.4","Washington State"
"Washington State State Treasurer","Jim McIntire","(Prefers Democratic Party)","4755","33.6","Washington State"
"Washington State State Auditor","Brian Sonntag","(Prefers Democratic Party)","6940","49.01","Washington State"
"Washington State State Auditor","J. Richard (Dick) McEntee","(Prefers Republican Party)","7219","50.99","Washington State"
"Washington State Attorney General","Rob McKenna","(Prefers Republican Party)","10405","72.49","Washington State"
"Washington State Attorney General","John Ladenburg","(Prefers Democratic Party)","3949","27.51","Washington State"
"Washington State Commissioner of Public Lands","Doug Sutherland","(Prefers Republican Party)","8942","62.95","Washington State"
"Washington State Commissioner of Public Lands","Peter J. Goldmark","(Prefers Democratic Party)","5262","37.05","Washington State"
"Washington State Superintendent of Public Instruction","Teresa (Terry) Bergeson","","5398","40.33","Washington State"
"Washington State Superintendent of Public Instruction","Randy Dorn","","7988","59.67","Washington State"
