"Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Statewide Initiative Measure 985 concerns transportation","Yes","","1066","32.47","Statewide"
"Statewide Initiative Measure 985 concerns transportation","No","","2217","67.53","Statewide"
"Statewide Initiative Measure 1000 concerns allowing certain terminally ill competent adults to obtain lethal prescriptions","Yes","","1914","56.01","Statewide"
"Statewide Initiative Measure 1000 concerns allowing certain terminally ill competent adults to obtain lethal prescriptions","No","","1503","43.99","Statewide"
"Statewide Initiative Measure 1029 concerns long-term care services for the elderly and persons with disabilities","Yes","","2252","68.14","Statewide"
"Statewide Initiative Measure 1029 concerns long-term care services for the elderly and persons with disabilities","No","","1053","31.86","Statewide"
"United States President/Vice President","Barack Obama / Joe Biden","Democratic Party Nominees","1467","41.9","United States"
"United States President/Vice President","John McCain / Sarah Palin","Republican Party Nominees","1916","54.73","United States"
"United States President/Vice President","Ralph Nader / Matt Gonzalez","Independent Candidates","45","1.29","United States"
"United States President/Vice President","Gloria La Riva / Eugene Puryear","Socialism & Liberation Party Nominees","1","0.03","United States"
"United States President/Vice President","James E. Harris / Alyson Kennedy","Socialist Workers Party Nominees","1","0.03","United States"
"United States President/Vice President","Bob Barr / Wayne A. Root","Libertarian Party Nominees","27","0.77","United States"
"United States President/Vice President","Chuck Baldwin / Darrell L. Castle","Constitution Party Nominees","32","0.91","United States"
"United States President/Vice President","Cynthia McKinney / Rosa Clemente","Green Party Nominees","12","0.34","United States"
"U.S. Congressional District 5 Representative","Cathy McMorris Rodgers","(Prefers Republican Party)","2448","71.6","U.S. Congressional District 5"
"U.S. Congressional District 5 Representative","Mark Mays","(Prefers Democratic Party)","971","28.4","U.S. Congressional District 5"
"Washington State Governor","Christine Gregoire","(Prefers Democratic Party)","1330","38.33","Washington State"
"Washington State Governor","Dino Rossi","(Prefers G.O.P. Party)","2140","61.67","Washington State"
"Washington State Lt. Governor","Brad Owen","(Prefers Democratic Party)","1600","49.06","Washington State"
"Washington State Lt. Governor","Marcia McCraw","(Prefers Republican Party)","1661","50.94","Washington State"
"Washington State Secretary of State","Sam Reed","(Prefers Republican Party)","2070","63.34","Washington State"
"Washington State Secretary of State","Jason Osgood","(Prefers Democratic Party)","1198","36.66","Washington State"
"Washington State State Treasurer","Allan Martin","(Prefers Republican Party)","1863","58","Washington State"
"Washington State State Treasurer","Jim McIntire","(Prefers Democratic Party)","1349","42","Washington State"
"Washington State State Auditor","Brian Sonntag","(Prefers Democratic Party)","1596","49.49","Washington State"
"Washington State State Auditor","J. Richard (Dick) McEntee","(Prefers Republican Party)","1629","50.51","Washington State"
"Washington State Attorney General","Rob McKenna","(Prefers Republican Party)","2164","66.32","Washington State"
"Washington State Attorney General","John Ladenburg","(Prefers Democratic Party)","1099","33.68","Washington State"
"Washington State Commissioner of Public Lands","Doug Sutherland","(Prefers Republican Party)","1908","57.78","Washington State"
"Washington State Commissioner of Public Lands","Peter J. Goldmark","(Prefers Democratic Party)","1394","42.22","Washington State"
"Washington State Superintendent of Public Instruction","Teresa (Terry) Bergeson","","1516","52.06","Washington State"
"Washington State Superintendent of Public Instruction","Randy Dorn","","1396","47.94","Washington State"
"Washington State Insurance Commissioner","Mike Kreidler","(Prefers Democratic Party)","1487","47.74","Washington State"
"Washington State Insurance Commissioner","John R. Adams","(Prefers Republican Party)","1628","52.26","Washington State"
"Legislative District 7 State Representative Pos. 1","Shelly Short","(Prefers Republican Party)","2036","66.78","Legislative District 7"
"Legislative District 7 State Representative Pos. 1","Sue Lani Madsen","(Prefers Republican Party)","1013","33.22","Legislative District 7"
"Legislative District 7 State Representative Pos. 2","Joel Kretz","(Prefers Republican Party)","2694","100","Legislative District 7"
"FERRY COUNTY COUNTY COMMISSIONER #1","Dennis C. Wuerth","(States No Party Preference)","1364","41.83","FERRY COUNTY"
"FERRY COUNTY COUNTY COMMISSIONER #1","Brad L. Miller","(Prefers Republican Party)","1897","58.17","FERRY COUNTY"
"FERRY COUNTY COUNTY COMMISSIONER #3","Mike Blankenship","(Prefers Republican Party)","1517","46.17","FERRY COUNTY"
"FERRY COUNTY COUNTY COMMISSIONER #3","Robert L (BoB) Heath","(Prefers Democratic Party)","1769","53.83","FERRY COUNTY"
"Supreme Court Justice Position 3","Mary Fairhurst","","2144","100","Supreme Court"
"Supreme Court Justice Position 4","Charles W. Johnson","","2092","100","Supreme Court"
"Supreme Court Justice Position 7","Debra L. Stephens","","2105","100","Supreme Court"
"Court of Appeals, Division 3, District 1 Judge Position 2","Kevin M. Korsmo","","2094","100","Court of Appeals, Division 3, District 1"
"Ferry, Pend Oreille, Stevens Superior Court Judge Position 1","Rebecca M. Baker","","2227","100","Ferry, Pend Oreille, Stevens Superior Court"
"Ferry, Pend Oreille, Stevens Superior Court Judge Position 2","Allen C. Nielson","","2354","100","Ferry, Pend Oreille, Stevens Superior Court"
"PUD (COUNTYWIDE) PUBLIC UTILITY COMMISSIONER #3","Doug Aubertin","","2312","100","PUD (COUNTYWIDE)"
