"Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Statewide Initiative Measure 985 concerns transportation","Yes","","6251","32.78","Statewide"
"Statewide Initiative Measure 985 concerns transportation","No","","12819","67.22","Statewide"
"Statewide Initiative Measure 1000 concerns allowing certain terminally ill competent adults to obtain lethal prescriptions","Yes","","8329","42.97","Statewide"
"Statewide Initiative Measure 1000 concerns allowing certain terminally ill competent adults to obtain lethal prescriptions","No","","11054","57.03","Statewide"
"Statewide Initiative Measure 1029 concerns long-term care services for the elderly and persons with disabilities","Yes","","13064","68.13","Statewide"
"Statewide Initiative Measure 1029 concerns long-term care services for the elderly and persons with disabilities","No","","6112","31.87","Statewide"
"United States President/Vice President","Barack Obama / Joe Biden","Democratic Party Nominees","7361","37.37","United States"
"United States President/Vice President","John McCain / Sarah Palin","Republican Party Nominees","12037","61.11","United States"
"United States President/Vice President","Ralph Nader / Matt Gonzalez","Independent Candidates","157","0.8","United States"
"United States President/Vice President","Gloria La Riva / Eugene Puryear","Socialism & Liberation Party Nominees","4","0.02","United States"
"United States President/Vice President","James E. Harris / Alyson Kennedy","Socialist Workers Party Nominees","6","0.03","United States"
"United States President/Vice President","Bob Barr / Wayne A. Root","Libertarian Party Nominees","57","0.29","United States"
"United States President/Vice President","Chuck Baldwin / Darrell L. Castle","Constitution Party Nominees","63","0.32","United States"
"United States President/Vice President","Cynthia McKinney / Rosa Clemente","Green Party Nominees","11","0.06","United States"
"U.S. Congressional District 4 Representative","Doc Hastings","(Prefers Republican Party)","12408","64.06","U.S. Congressional District 4"
"U.S. Congressional District 4 Representative","George Fearing","(Prefers Democratic Party)","6960","35.94","U.S. Congressional District 4"
"Washington State Governor","Christine Gregoire","(Prefers Democratic Party)","6365","32.41","Washington State"
"Washington State Governor","Dino Rossi","(Prefers G.O.P. Party)","13276","67.59","Washington State"
"Washington State Lt. Governor","Brad Owen","(Prefers Democratic Party)","8967","47.6","Washington State"
"Washington State Lt. Governor","Marcia McCraw","(Prefers Republican Party)","9873","52.4","Washington State"
"Washington State Secretary of State","Sam Reed","(Prefers Republican Party)","13009","68.84","Washington State"
"Washington State Secretary of State","Jason Osgood","(Prefers Democratic Party)","5889","31.16","Washington State"
"Washington State State Treasurer","Allan Martin","(Prefers Republican Party)","11718","62.8","Washington State"
"Washington State State Treasurer","Jim McIntire","(Prefers Democratic Party)","6941","37.2","Washington State"
"Washington State State Auditor","Brian Sonntag","(Prefers Democratic Party)","8550","45.75","Washington State"
"Washington State State Auditor","J. Richard (Dick) McEntee","(Prefers Republican Party)","10140","54.25","Washington State"
"Washington State Attorney General","Rob McKenna","(Prefers Republican Party)","13276","70.07","Washington State"
"Washington State Attorney General","John Ladenburg","(Prefers Democratic Party)","5671","29.93","Washington State"
"Washington State Commissioner of Public Lands","Doug Sutherland","(Prefers Republican Party)","12157","65.12","Washington State"
"Washington State Commissioner of Public Lands","Peter J. Goldmark","(Prefers Democratic Party)","6513","34.88","Washington State"
"Washington State Superintendent of Public Instruction","Teresa (Terry) Bergeson","","7506","43.11","Washington State"
"Washington State Superintendent of Public Instruction","Randy Dorn","","9905","56.89","Washington State"
"Washington State Insurance Commissioner","Mike Kreidler","(Prefers Democratic Party)","8102","44.03","Washington State"
"Washington State Insurance Commissioner","John R. Adams","(Prefers Republican Party)","10300","55.97","Washington State"
"Legislative District 9 State Senator","Mark G. Schoesler","(Prefers G.O.P. Party)","2637","100","Legislative District 9"
"Legislative District 9 State Representative Pos. 1","Steve Hailey","(Prefers G.O.P. Party)","2611","86.77","Legislative District 9"
"Legislative District 9 State Representative Pos. 1","Kenneth E. Caylor","(Prefers Democratic Party)","398","13.23","Legislative District 9"
"Legislative District 9 State Representative Pos. 2","Joe Schmick","(Prefers Republican Party)","2392","81.72","Legislative District 9"
"Legislative District 9 State Representative Pos. 2","Tyana Kelley","(Prefers Democratic Party)","535","18.28","Legislative District 9"
"Legislative District 16 State Senator","Mike Hewitt","(Prefers Republican Party)","13123","100","Legislative District 16"
"Legislative District 16 State Representative Pos. 1","Maureen Walsh","(Prefers Republican Party)","10181","65.13","Legislative District 16"
"Legislative District 16 State Representative Pos. 1","Dante Lee Montoya","(Prefers Democratic Party)","5452","34.87","Legislative District 16"
"Legislative District 16 State Representative Pos. 2","Bill Grant","(Prefers Democratic Party)","8257","52.26","Legislative District 16"
"Legislative District 16 State Representative Pos. 2","Terry R. Nealey","(Prefers Republican Party)","7542","47.74","Legislative District 16"
"COUNTY OF FRANKLIN Commissioner #1","Neva J. Corkrum","(Prefers Democrat Party)","8168","43.39","COUNTY OF FRANKLIN"
"COUNTY OF FRANKLIN Commissioner #1","Brad Peck","(Prefers Republican Party)","10656","56.61","COUNTY OF FRANKLIN"
"COUNTY OF FRANKLIN Commissioner #2","Bob Koch","(Prefers Republican Party)","9059","53.34","COUNTY OF FRANKLIN"
"COUNTY OF FRANKLIN Commissioner #2","Lee Barrow","(Prefers Republican Party)","7924","46.66","COUNTY OF FRANKLIN"
"Supreme Court Justice Position 3","Mary Fairhurst","","14656","100","Supreme Court"
"Supreme Court Justice Position 4","Charles W. Johnson","","14598","100","Supreme Court"
"Supreme Court Justice Position 7","Debra L. Stephens","","14565","100","Supreme Court"
"Benton, Franklin Superior Court Judge Position 1","Bruce Spanner","","9130","49.72","Benton, Franklin Superior Court"
"Benton, Franklin Superior Court Judge Position 1","Salvador Mendoza Jr.","","9232","50.28","Benton, Franklin Superior Court"
"PUD Commissioner #2 ","Bill Gordon","","15183","100","PUD"
