"Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Statewide Initiative Measure 985 concerns transportation","Yes","","321","24.64","Statewide"
"Statewide Initiative Measure 985 concerns transportation","No","","982","75.36","Statewide"
"Statewide Initiative Measure 1000 concerns allowing certain terminally ill competent adults to obtain lethal prescriptions","Yes","","591","44.04","Statewide"
"Statewide Initiative Measure 1000 concerns allowing certain terminally ill competent adults to obtain lethal prescriptions","No","","751","55.96","Statewide"
"Statewide Initiative Measure 1029 concerns long-term care services for the elderly and persons with disabilities","Yes","","818","63.31","Statewide"
"Statewide Initiative Measure 1029 concerns long-term care services for the elderly and persons with disabilities","No","","474","36.69","Statewide"
"United States President/Vice President","Barack Obama / Joe Biden","Democratic Party Nominees","385","28.04","United States"
"United States President/Vice President","John McCain / Sarah Palin","Republican Party Nominees","968","70.5","United States"
"United States President/Vice President","Ralph Nader / Matt Gonzalez","Independent Candidates","11","0.8","United States"
"United States President/Vice President","Gloria La Riva / Eugene Puryear","Socialism & Liberation Party Nominees","0","0","United States"
"United States President/Vice President","James E. Harris / Alyson Kennedy","Socialist Workers Party Nominees","2","0.15","United States"
"United States President/Vice President","Bob Barr / Wayne A. Root","Libertarian Party Nominees","4","0.29","United States"
"United States President/Vice President","Chuck Baldwin / Darrell L. Castle","Constitution Party Nominees","2","0.15","United States"
"United States President/Vice President","Cynthia McKinney / Rosa Clemente","Green Party Nominees","1","0.07","United States"
"U.S. Congressional District 5 Representative","Cathy McMorris Rodgers","(Prefers Republican Party)","1081","80.91","U.S. Congressional District 5"
"U.S. Congressional District 5 Representative","Mark Mays","(Prefers Democratic Party)","255","19.09","U.S. Congressional District 5"
"Washington State Governor","Christine Gregoire","(Prefers Democratic Party)","434","32.01","Washington State"
"Washington State Governor","Dino Rossi","(Prefers G.O.P. Party)","922","67.99","Washington State"
"Washington State Lt. Governor","Brad Owen","(Prefers Democratic Party)","578","45.66","Washington State"
"Washington State Lt. Governor","Marcia McCraw","(Prefers Republican Party)","688","54.34","Washington State"
"Washington State Secretary of State","Sam Reed","(Prefers Republican Party)","964","76.57","Washington State"
"Washington State Secretary of State","Jason Osgood","(Prefers Democratic Party)","295","23.43","Washington State"
"Washington State State Treasurer","Allan Martin","(Prefers Republican Party)","850","68.77","Washington State"
"Washington State State Treasurer","Jim McIntire","(Prefers Democratic Party)","386","31.23","Washington State"
"Washington State State Auditor","Brian Sonntag","(Prefers Democratic Party)","548","43.56","Washington State"
"Washington State State Auditor","J. Richard (Dick) McEntee","(Prefers Republican Party)","710","56.44","Washington State"
"Washington State Attorney General","Rob McKenna","(Prefers Republican Party)","994","78.21","Washington State"
"Washington State Attorney General","John Ladenburg","(Prefers Democratic Party)","277","21.79","Washington State"
"Washington State Commissioner of Public Lands","Doug Sutherland","(Prefers Republican Party)","913","72.46","Washington State"
"Washington State Commissioner of Public Lands","Peter J. Goldmark","(Prefers Democratic Party)","347","27.54","Washington State"
"Washington State Superintendent of Public Instruction","Teresa (Terry) Bergeson","","607","52.87","Washington State"
"Washington State Superintendent of Public Instruction","Randy Dorn","","541","47.13","Washington State"
"Washington State Insurance Commissioner","Mike Kreidler","(Prefers Democratic Party)","446","37.23","Washington State"
"Washington State Insurance Commissioner","John R. Adams","(Prefers Republican Party)","752","62.77","Washington State"
"Legislative District 9 State Senator","Mark G. Schoesler","(Prefers G.O.P. Party)","1132","100","Legislative District 9"
"Legislative District 9 State Representative Pos. 1","Steve Hailey","(Prefers G.O.P. Party)","966","77.28","Legislative District 9"
"Legislative District 9 State Representative Pos. 1","Kenneth E. Caylor","(Prefers Democratic Party)","284","22.72","Legislative District 9"
"Legislative District 9 State Representative Pos. 2","Joe Schmick","(Prefers Republican Party)","966","77.4","Legislative District 9"
"Legislative District 9 State Representative Pos. 2","Tyana Kelley","(Prefers Democratic Party)","282","22.6","Legislative District 9"
"COMMISSIONER DISTRICT 1 COUNTY COMMISSIONER #01","Bob Johnson","(Prefers Republican Party)","694","53.06","COMMISSIONER DISTRICT 1"
"COMMISSIONER DISTRICT 1 COUNTY COMMISSIONER #01","Randy Mulrony","(Prefers Republican Party)","614","46.94","COMMISSIONER DISTRICT 1"
"COMMISSIONER DISTRICT 2 COUNTY COMMISSIONER #02","Rick Slaybaugh","(Prefers Republican Party)","636","47.39","COMMISSIONER DISTRICT 2"
"COMMISSIONER DISTRICT 2 COUNTY COMMISSIONER #02","Wynne McCabe","(States No Party Preference)","706","52.61","COMMISSIONER DISTRICT 2"
"Supreme Court Justice Position 3","Mary Fairhurst","","934","100","Supreme Court"
"Supreme Court Justice Position 4","Charles W. Johnson","","936","100","Supreme Court"
"Supreme Court Justice Position 7","Debra L. Stephens","","937","100","Supreme Court"
"Asotin, Columbia, Garfield Superior Court Judge Position 1","William D. (Bill) Acey","","1089","100","Asotin, Columbia, Garfield Superior Court"
"HOSPITAL DISTRICT 1 Proposition 1 Capital Levy to Improve Hospital Safety Systems","Yes","","872","64.26","HOSPITAL DISTRICT 1"
"HOSPITAL DISTRICT 1 Proposition 1 Capital Levy to Improve Hospital Safety Systems","No","","485","35.74","HOSPITAL DISTRICT 1"
