"Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Statewide Initiative Measure 985 concerns transportation","Yes","","8468","31.9","Statewide"
"Statewide Initiative Measure 985 concerns transportation","No","","18077","68.1","Statewide"
"Statewide Initiative Measure 1000 concerns allowing certain terminally ill competent adults to obtain lethal prescriptions","Yes","","12408","45.69","Statewide"
"Statewide Initiative Measure 1000 concerns allowing certain terminally ill competent adults to obtain lethal prescriptions","No","","14749","54.31","Statewide"
"Statewide Initiative Measure 1029 concerns long-term care services for the elderly and persons with disabilities","Yes","","19286","72.06","Statewide"
"Statewide Initiative Measure 1029 concerns long-term care services for the elderly and persons with disabilities","No","","7477","27.94","Statewide"
"United States President/Vice President","Barack Obama / Joe Biden","Democratic Party Nominees","9601","34.99","United States"
"United States President/Vice President","John McCain / Sarah Palin","Republican Party Nominees","17153","62.52","United States"
"United States President/Vice President","Ralph Nader / Matt Gonzalez","Independent Candidates","329","1.2","United States"
"United States President/Vice President","Gloria La Riva / Eugene Puryear","Socialism & Liberation Party Nominees","10","0.04","United States"
"United States President/Vice President","James E. Harris / Alyson Kennedy","Socialist Workers Party Nominees","9","0.03","United States"
"United States President/Vice President","Bob Barr / Wayne A. Root","Libertarian Party Nominees","104","0.38","United States"
"United States President/Vice President","Chuck Baldwin / Darrell L. Castle","Constitution Party Nominees","207","0.75","United States"
"United States President/Vice President","Cynthia McKinney / Rosa Clemente","Green Party Nominees","25","0.09","United States"
"U.S. Congressional District 4 Representative","Doc Hastings","(Prefers Republican Party)","18460","69.17","U.S. Congressional District 4"
"U.S. Congressional District 4 Representative","George Fearing","(Prefers Democratic Party)","8227","30.83","U.S. Congressional District 4"
"Washington State Governor","Christine Gregoire","(Prefers Democratic Party)","8732","31.94","Washington State"
"Washington State Governor","Dino Rossi","(Prefers G.O.P. Party)","18604","68.06","Washington State"
"Washington State Lt. Governor","Brad Owen","(Prefers Democratic Party)","11153","42.98","Washington State"
"Washington State Lt. Governor","Marcia McCraw","(Prefers Republican Party)","14797","57.02","Washington State"
"Washington State Secretary of State","Sam Reed","(Prefers Republican Party)","17968","68.83","Washington State"
"Washington State Secretary of State","Jason Osgood","(Prefers Democratic Party)","8138","31.17","Washington State"
"Washington State State Treasurer","Allan Martin","(Prefers Republican Party)","16457","63.93","Washington State"
"Washington State State Treasurer","Jim McIntire","(Prefers Democratic Party)","9285","36.07","Washington State"
"Washington State State Auditor","Brian Sonntag","(Prefers Democratic Party)","11150","43.54","Washington State"
"Washington State State Auditor","J. Richard (Dick) McEntee","(Prefers Republican Party)","14458","56.46","Washington State"
"Washington State Attorney General","Rob McKenna","(Prefers Republican Party)","18699","71.77","Washington State"
"Washington State Attorney General","John Ladenburg","(Prefers Democratic Party)","7356","28.23","Washington State"
"Washington State Commissioner of Public Lands","Doug Sutherland","(Prefers Republican Party)","16502","64.28","Washington State"
