"Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Statewide Initiative Measure 985 concerns transportation","Yes","","11448","40.51","Statewide"
"Statewide Initiative Measure 985 concerns transportation","No","","16811","59.49","Statewide"
"Statewide Initiative Measure 1000 concerns allowing certain terminally ill competent adults to obtain lethal prescriptions","Yes","","17553","60.52","Statewide"
"Statewide Initiative Measure 1000 concerns allowing certain terminally ill competent adults to obtain lethal prescriptions","No","","11450","39.48","Statewide"
"Statewide Initiative Measure 1029 concerns long-term care services for the elderly and persons with disabilities","Yes","","22044","76.67","Statewide"
"Statewide Initiative Measure 1029 concerns long-term care services for the elderly and persons with disabilities","No","","6708","23.33","Statewide"
"United States President/Vice President","Barack Obama / Joe Biden","Democratic Party Nominees","16354","56.04","United States"
"United States President/Vice President","John McCain / Sarah Palin","Republican Party Nominees","12104","41.47","United States"
"United States President/Vice President","Ralph Nader / Matt Gonzalez","Independent Candidates","420","1.44","United States"
"United States President/Vice President","Gloria La Riva / Eugene Puryear","Socialism & Liberation Party Nominees","11","0.04","United States"
"United States President/Vice President","James E. Harris / Alyson Kennedy","Socialist Workers Party Nominees","4","0.01","United States"
"United States President/Vice President","Bob Barr / Wayne A. Root","Libertarian Party Nominees","132","0.45","United States"
"United States President/Vice President","Chuck Baldwin / Darrell L. Castle","Constitution Party Nominees","109","0.37","United States"
"United States President/Vice President","Cynthia McKinney / Rosa Clemente","Green Party Nominees","50","0.17","United States"
"U.S. Congressional District 6 Representative","Norm Dicks","(Prefers Democratic Party)","18783","66.64","U.S. Congressional District 6"
"U.S. Congressional District 6 Representative","Doug Cloud","(Prefers Republican Party)","9403","33.36","U.S. Congressional District 6"
"Washington State Governor","Christine Gregoire","(Prefers Democratic Party)","15729","53.98","Washington State"
"Washington State Governor","Dino Rossi","(Prefers G.O.P. Party)","13407","46.02","Washington State"
"Washington State Lt. Governor","Brad Owen","(Prefers Democratic Party)","19540","70.04","Washington State"
