"Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Statewide Initiative Measure 985 concerns transportation","Yes","","15349","37.81","Statewide"
"Statewide Initiative Measure 985 concerns transportation","No","","25243","62.19","Statewide"
"Statewide Initiative Measure 1000 concerns allowing certain terminally ill competent adults to obtain lethal prescriptions","Yes","","24338","58.8","Statewide"
"Statewide Initiative Measure 1000 concerns allowing certain terminally ill competent adults to obtain lethal prescriptions","No","","17052","41.2","Statewide"
"Statewide Initiative Measure 1029 concerns long-term care services for the elderly and persons with disabilities","Yes","","30897","75.54","Statewide"
"Statewide Initiative Measure 1029 concerns long-term care services for the elderly and persons with disabilities","No","","10007","24.46","Statewide"
"United States President/Vice President","Barack Obama / Joe Biden","Democratic Party Nominees","22058","52.32","United States"
"United States President/Vice President","John McCain / Sarah Palin","Republican Party Nominees","19426","46.08","United States"
"United States President/Vice President","Ralph Nader / Matt Gonzalez","Independent Candidates","350","0.83","United States"
"United States President/Vice President","Gloria La Riva / Eugene Puryear","Socialism & Liberation Party Nominees","4","0.01","United States"
"United States President/Vice President","James E. Harris / Alyson Kennedy","Socialist Workers Party Nominees","6","0.01","United States"
"United States President/Vice President","Bob Barr / Wayne A. Root","Libertarian Party Nominees","173","0.41","United States"
"United States President/Vice President","Chuck Baldwin / Darrell L. Castle","Constitution Party Nominees","93","0.22","United States"
"United States President/Vice President","Cynthia McKinney / Rosa Clemente","Green Party Nominees","49","0.12","United States"
"U.S. Congressional District 2 Representative","Rick Larsen","(Prefers Democratic Party)","24948","61.7","U.S. Congressional District 2"
"U.S. Congressional District 2 Representative","Rick Bart","(Prefers Republican Party)","15489","38.3","U.S. Congressional District 2"
"Washington State Governor","Christine Gregoire","(Prefers Democratic Party)","20891","50.24","Washington State"
"Washington State Governor","Dino Rossi","(Prefers G.O.P. Party)","20688","49.76","Washington State"
"Washington State Lt. Governor","Brad Owen","(Prefers Democratic Party)","22150","56.36","Washington State"
"Washington State Lt. Governor","Marcia McCraw","(Prefers Republican Party)","17149","43.64","Washington State"
"Washington State Secretary of State","Sam Reed","(Prefers Republican Party)","24352","62.2","Washington State"
"Washington State Secretary of State","Jason Osgood","(Prefers Democratic Party)","14802","37.8","Washington State"
"Washington State State Treasurer","Allan Martin","(Prefers Republican Party)","20856","53.91","Washington State"
