"Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Statewide Initiative Measure 985 concerns transportation","Yes","","7100","37.2","Statewide"
"Statewide Initiative Measure 985 concerns transportation","No","","11987","62.8","Statewide"
"Statewide Initiative Measure 1000 concerns allowing certain terminally ill competent adults to obtain lethal prescriptions","Yes","","14242","72.15","Statewide"
"Statewide Initiative Measure 1000 concerns allowing certain terminally ill competent adults to obtain lethal prescriptions","No","","5497","27.85","Statewide"
"Statewide Initiative Measure 1029 concerns long-term care services for the elderly and persons with disabilities","Yes","","14333","74.22","Statewide"
"Statewide Initiative Measure 1029 concerns long-term care services for the elderly and persons with disabilities","No","","4978","25.78","Statewide"
"County of Jefferson Local Power Authorization Shall PUD construct or acquire electric facilities","Yes","","10080","53.31","County of Jefferson"
"County of Jefferson Local Power Authorization Shall PUD construct or acquire electric facilities","No","","8830","46.69","County of Jefferson"
"United States President/Vice President","Barack Obama / Joe Biden","Democratic Party Nominees","13252","66.29","United States"
"United States President/Vice President","John McCain / Sarah Palin","Republican Party Nominees","6330","31.66","United States"
"United States President/Vice President","Ralph Nader / Matt Gonzalez","Independent Candidates","209","1.05","United States"
"United States President/Vice President","Gloria La Riva / Eugene Puryear","Socialism & Liberation Party Nominees","8","0.04","United States"
"United States President/Vice President","James E. Harris / Alyson Kennedy","Socialist Workers Party Nominees","0","0","United States"
"United States President/Vice President","Bob Barr / Wayne A. Root","Libertarian Party Nominees","98","0.49","United States"
"United States President/Vice President","Chuck Baldwin / Darrell L. Castle","Constitution Party Nominees","44","0.22","United States"
"United States President/Vice President","Cynthia McKinney / Rosa Clemente","Green Party Nominees","50","0.25","United States"
"U.S. Congressional District 6 Representative","Norm Dicks","(Prefers Democratic Party)","13462","70.23","U.S. Congressional District 6"
"U.S. Congressional District 6 Representative","Doug Cloud","(Prefers Republican Party)","5706","29.77","U.S. Congressional District 6"
"Washington State Governor","Christine Gregoire","(Prefers Democratic Party)","12588","63.61","Washington State"
"Washington State Governor","Dino Rossi","(Prefers G.O.P. Party)","7200","36.39","Washington State"
"Washington State Lt. Governor","Brad Owen","(Prefers Democratic Party)","13192","69.64","Washington State"
"Washington State Lt. Governor","Marcia McCraw","(Prefers Republican Party)","5750","30.36","Washington State"
"Washington State Secretary of State","Sam Reed","(Prefers Republican Party)","9447","50.06","Washington State"
"Washington State Secretary of State","Jason Osgood","(Prefers Democratic Party)","9423","49.94","Washington State"
"Washington State State Treasurer","Allan Martin","(Prefers Republican Party)","7795","41.52","Washington State"
"Washington State State Treasurer","Jim McIntire","(Prefers Democratic Party)","10981","58.48","Washington State"
"Washington State State Auditor","Brian Sonntag","(Prefers Democratic Party)","13108","70.48","Washington State"
"Washington State State Auditor","J. Richard (Dick) McEntee","(Prefers Republican Party)","5490","29.52","Washington State"
"Washington State Attorney General","Rob McKenna","(Prefers Republican Party)","9307","49.61","Washington State"
"Washington State Attorney General","John Ladenburg","(Prefers Democratic Party)","9454","50.39","Washington State"
"Washington State Commissioner of Public Lands","Doug Sutherland","(Prefers Republican Party)","7700","41.18","Washington State"
"Washington State Commissioner of Public Lands","Peter J. Goldmark","(Prefers Democratic Party)","10997","58.82","Washington State"
"Washington State Superintendent of Public Instruction","Teresa (Terry) Bergeson","","8718","52.9","Washington State"
"Washington State Superintendent of Public Instruction","Randy Dorn","","7761","47.1","Washington State"
"Washington State Insurance Commissioner","Mike Kreidler","(Prefers Democratic Party)","12726","69.91","Washington State"
"Washington State Insurance Commissioner","John R. Adams","(Prefers Republican Party)","5478","30.09","Washington State"
"Legislative District 24 State Senator","Jim Hargrove","(Prefers Democratic Party)","14967","100","Legislative District 24"
"Legislative District 24 State Representative Pos. 1","Kevin Van De Wege","(Prefers Democratic Party)","13423","72.13","Legislative District 24"
"Legislative District 24 State Representative Pos. 1","Thomas Thomas","(Prefers G.O.P. Party)","5187","27.87","Legislative District 24"
"Legislative District 24 State Representative Pos. 2","Lynn Kessler","(Prefers Democratic Party)","13468","71.41","Legislative District 24"
"Legislative District 24 State Representative Pos. 2","Robert (Randy) Dutton","(Prefers Republican Party)","5392","28.59","Legislative District 24"
"Commissioner District 1 Commissioner 1","Phil Johnson","(Prefers Democratic Party)","11896","64.05","Commissioner District 1"
"Commissioner District 1 Commissioner 1","Dennis A Schultz","(Prefers Republican Party)","6676","35.95","Commissioner District 1"
"Commissioner District 2 Commissioner 2","David W Sullivan","(Prefers Democratic Party)","9999","54.14","Commissioner District 2"
"Commissioner District 2 Commissioner 2","Sandy Hershelman","(Prefers Independent/No Party)","8471","45.86","Commissioner District 2"
"Supreme Court Justice Position 3","Mary Fairhurst","","12519","100","Supreme Court"
"Supreme Court Justice Position 4","Charles W. Johnson","","12356","100","Supreme Court"
"Supreme Court Justice Position 7","Debra L. Stephens","","12223","100","Supreme Court"
"Court of Appeals, Division 2, District 2 Judge Position 1","(Joyce) Robin Hunt","","12447","100","Court of Appeals, Division 2, District 2"
"Jefferson Superior Court Judge Position 1","Craddock Verser","","13160","100","Jefferson Superior Court"
"School District 402 Bonds for High School Replacement Addition","Approved","","69","67.65","School District 402"
"School District 402 Bonds for High School Replacement Addition","Rejected","","33","32.35","School District 402"
"School District 402 Bonds for New Stadium and Mulitpurpose Field","Approved","","55","53.92","School District 402"
"School District 402 Bonds for New Stadium and Mulitpurpose Field","Rejected","","47","46.08","School District 402"
"School District 50 Bonds For Construction and Improvement of School Facilities Construct a new elementary and improve P.T. High School and Blue Heron Middle School","Approved","","5261","55.78","School District 50"
"School District 50 Bonds For Construction and Improvement of School Facilities Construct a new elementary and improve P.T. High School and Blue Heron Middle School","Rejected","","4170","44.22","School District 50"
"Public Utility District No. 1 Public Utility District No. 1 #2","Ken McMillen","","7610","52.84","Public Utility District No. 1"
"Public Utility District No. 1 Public Utility District No. 1 #2","Jim Pivarnik","","6792","47.16","Public Utility District No. 1"
