"Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Statewide Initiative Measure 985 concerns transportation","Yes","","351554","40.39","Statewide"
"Statewide Initiative Measure 985 concerns transportation","No","","518885","59.61","Statewide"
"Statewide Initiative Measure 1000 concerns allowing certain terminally ill competent adults to obtain lethal prescriptions","Yes","","572504","64.54","Statewide"
"Statewide Initiative Measure 1000 concerns allowing certain terminally ill competent adults to obtain lethal prescriptions","No","","314576","35.46","Statewide"
"Statewide Initiative Measure 1029 concerns long-term care services for the elderly and persons with disabilities","Yes","","618674","71.26","Statewide"
"Statewide Initiative Measure 1029 concerns long-term care services for the elderly and persons with disabilities","No","","249526","28.74","Statewide"
"United States President/Vice President","Barack Obama / Joe Biden","Democratic Party Nominees","648230","70.3","United States"
"United States President/Vice President","John McCain / Sarah Palin","Republican Party Nominees","259716","28.17","United States"
"United States President/Vice President","Ralph Nader / Matt Gonzalez","Independent Candidates","6982","0.76","United States"
"United States President/Vice President","Gloria La Riva / Eugene Puryear","Socialism & Liberation Party Nominees","159","0.02","United States"
"United States President/Vice President","James E. Harris / Alyson Kennedy","Socialist Workers Party Nominees","217","0.02","United States"
"United States President/Vice President","Bob Barr / Wayne A. Root","Libertarian Party Nominees","4058","0.44","United States"
"United States President/Vice President","Chuck Baldwin / Darrell L. Castle","Constitution Party Nominees","1471","0.16","United States"
"United States President/Vice President","Cynthia McKinney / Rosa Clemente","Green Party Nominees","1199","0.13","United States"
"U.S. Congressional District 1 Representative","Jay Inslee","(Prefers Democratic Party)","85283","69.71","U.S. Congressional District 1"
"U.S. Congressional District 1 Representative","Larry Ishmael","(Prefers G.O.P. Party)","37062","30.29","U.S. Congressional District 1"
"U.S. Congressional District 2 Representative","Rick Larsen","(Prefers Democratic Party)","198","66.89","U.S. Congressional District 2"
"U.S. Congressional District 2 Representative","Rick Bart","(Prefers Republican Party)","98","33.11","U.S. Congressional District 2"
"U.S. Congressional District 7 Representative","Jim McDermott","(Prefers Democratic Party)","291963","83.65","U.S. Congressional District 7"
"U.S. Congressional District 7 Representative","Steve Beren","(Prefers Republican Party)","57054","16.35","U.S. Congressional District 7"
"U.S. Congressional District 8 Representative","Dave Reichert","(Prefers Republican Party)","147170","51.22","U.S. Congressional District 8"
"U.S. Congressional District 8 Representative","Darcy Burner","(Prefers Democratic Party)","140165","48.78","U.S. Congressional District 8"
"U.S. Congressional District 9 Representative","Adam Smith","(Prefers Democratic Party)","82368","69.66","U.S. Congressional District 9"
"U.S. Congressional District 9 Representative","James Postma","(Prefers Republican Party)","35877","30.34","U.S. Congressional District 9"
"Washington State Governor","Christine Gregoire","(Prefers Democratic Party)","583357","64.16","Washington State"
"Washington State Governor","Dino Rossi","(Prefers G.O.P. Party)","325820","35.84","Washington State"
"Washington State Lt. Governor","Brad Owen","(Prefers Democratic Party)","564821","67.63","Washington State"
"Washington State Lt. Governor","Marcia McCraw","(Prefers Republican Party)","270379","32.37","Washington State"
"Washington State Secretary of State","Sam Reed","(Prefers Republican Party)","432277","51.88","Washington State"
"Washington State Secretary of State","Jason Osgood","(Prefers Democratic Party)","400964","48.12","Washington State"
