"Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Statewide Initiative Measure 985 concerns transportation","Yes","","5832","34.09","Statewide"
"Statewide Initiative Measure 985 concerns transportation","No","","11274","65.91","Statewide"
"Statewide Initiative Measure 1000 concerns allowing certain terminally ill competent adults to obtain lethal prescriptions","Yes","","9834","56.1","Statewide"
"Statewide Initiative Measure 1000 concerns allowing certain terminally ill competent adults to obtain lethal prescriptions","No","","7695","43.9","Statewide"
"Statewide Initiative Measure 1029 concerns long-term care services for the elderly and persons with disabilities","Yes","","12307","71.27","Statewide"
"Statewide Initiative Measure 1029 concerns long-term care services for the elderly and persons with disabilities","No","","4962","28.73","Statewide"
"United States President/Vice President","Barack Obama / Joe Biden","Democratic Party Nominees","8030","44.94","United States"
"United States President/Vice President","John McCain / Sarah Palin","Republican Party Nominees","9471","53.01","United States"
"United States President/Vice President","Ralph Nader / Matt Gonzalez","Independent Candidates","188","1.05","United States"
"United States President/Vice President","Gloria La Riva / Eugene Puryear","Socialism & Liberation Party Nominees","5","0.03","United States"
"United States President/Vice President","James E. Harris / Alyson Kennedy","Socialist Workers Party Nominees","2","0.01","United States"
"United States President/Vice President","Bob Barr / Wayne A. Root","Libertarian Party Nominees","80","0.45","United States"
"United States President/Vice President","Chuck Baldwin / Darrell L. Castle","Constitution Party Nominees","74","0.41","United States"
"United States President/Vice President","Cynthia McKinney / Rosa Clemente","Green Party Nominees","18","0.1","United States"
"U.S. Congressional District 4 Representative","Doc Hastings","(Prefers Republican Party)","10095","58.57","U.S. Congressional District 4"
"U.S. Congressional District 4 Representative","George Fearing","(Prefers Democratic Party)","7142","41.43","U.S. Congressional District 4"
"Washington State Governor","Christine Gregoire","(Prefers Democratic Party)","6988","39.44","Washington State"
"Washington State Governor","Dino Rossi","(Prefers G.O.P. Party)","10732","60.56","Washington State"
"Washington State Lt. Governor","Brad Owen","(Prefers Democratic Party)","8871","52.98","Washington State"
"Washington State Lt. Governor","Marcia McCraw","(Prefers Republican Party)","7874","47.02","Washington State"
"Washington State Secretary of State","Sam Reed","(Prefers Republican Party)","11120","66.42","Washington State"
"Washington State Secretary of State","Jason Osgood","(Prefers Democratic Party)","5621","33.58","Washington State"
"Washington State State Treasurer","Allan Martin","(Prefers Republican Party)","9464","57.41","Washington State"
"Washington State State Treasurer","Jim McIntire","(Prefers Democratic Party)","7021","42.59","Washington State"
"Washington State State Auditor","Brian Sonntag","(Prefers Democratic Party)","8763","53.53","Washington State"
"Washington State State Auditor","J. Richard (Dick) McEntee","(Prefers Republican Party)","7606","46.47","Washington State"
"Washington State Attorney General","Rob McKenna","(Prefers Republican Party)","11379","68.09","Washington State"
"Washington State Attorney General","John Ladenburg","(Prefers Democratic Party)","5332","31.91","Washington State"
"Washington State Commissioner of Public Lands","Doug Sutherland","(Prefers Republican Party)","9874","59.71","Washington State"
"Washington State Commissioner of Public Lands","Peter J. Goldmark","(Prefers Democratic Party)","6663","40.29","Washington State"
"Washington State Superintendent of Public Instruction","Teresa (Terry) Bergeson","","6785","45.11","Washington State"
"Washington State Superintendent of Public Instruction","Randy Dorn","","8257","54.89","Washington State"
"Washington State Insurance Commissioner","Mike Kreidler","(Prefers Democratic Party)","8109","50.94","Washington State"
"Washington State Insurance Commissioner","John R. Adams","(Prefers Republican Party)","7809","49.06","Washington State"
"Legislative District 13 State Representative Pos. 1","Judith (Judy) Warnick","(Prefers Republican Party)","12713","100","Legislative District 13"
"Legislative District 13 State Representative Pos. 2","Bill Hinkle","(Prefers G.O.P. Party)","12461","100","Legislative District 13"
"Supreme Court Justice Position 3","Mary Fairhurst","","11565","100","Supreme Court"
"Supreme Court Justice Position 4","Charles W. Johnson","","11496","100","Supreme Court"
"Supreme Court Justice Position 7","Debra L. Stephens","","11470","100","Supreme Court"
"Court of Appeals, Division 3, District 3 Judge Position 1","Stephen M. Brown","","11264","100","Court of Appeals, Division 3, District 3"
"Kittitas Superior Court Judge Position 1","Michael E. Cooper","","12446","100","Kittitas Superior Court"
"Kittitas Superior Court Judge Position 2","Scott R. Sparks","","12026","100","Kittitas Superior Court"
