"Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Statewide Initiative Measure 985 concerns transportation","Yes","","3076","32.27","Statewide"
"Statewide Initiative Measure 985 concerns transportation","No","","6457","67.73","Statewide"
"Statewide Initiative Measure 1000 concerns allowing certain terminally ill competent adults to obtain lethal prescriptions","Yes","","5917","59.52","Statewide"
"Statewide Initiative Measure 1000 concerns allowing certain terminally ill competent adults to obtain lethal prescriptions","No","","4025","40.48","Statewide"
"Statewide Initiative Measure 1029 concerns long-term care services for the elderly and persons with disabilities","Yes","","6743","69.07","Statewide"
"Statewide Initiative Measure 1029 concerns long-term care services for the elderly and persons with disabilities","No","","3019","30.93","Statewide"
"United States President/Vice President","Barack Obama / Joe Biden","Democratic Party Nominees","4965","48.85","United States"
"United States President/Vice President","John McCain / Sarah Palin","Republican Party Nominees","4944","48.64","United States"
"United States President/Vice President","Ralph Nader / Matt Gonzalez","Independent Candidates","139","1.37","United States"
"United States President/Vice President","Gloria La Riva / Eugene Puryear","Socialism & Liberation Party Nominees","4","0.04","United States"
"United States President/Vice President","James E. Harris / Alyson Kennedy","Socialist Workers Party Nominees","3","0.03","United States"
"United States President/Vice President","Bob Barr / Wayne A. Root","Libertarian Party Nominees","45","0.44","United States"
"United States President/Vice President","Chuck Baldwin / Darrell L. Castle","Constitution Party Nominees","48","0.47","United States"
"United States President/Vice President","Cynthia McKinney / Rosa Clemente","Green Party Nominees","16","0.16","United States"
"U.S. Congressional District 4 Representative","Doc Hastings","(Prefers Republican Party)","5603","57.25","U.S. Congressional District 4"
"U.S. Congressional District 4 Representative","George Fearing","(Prefers Democratic Party)","4184","42.75","U.S. Congressional District 4"
"Washington State Governor","Christine Gregoire","(Prefers Democratic Party)","4538","45.42","Washington State"
"Washington State Governor","Dino Rossi","(Prefers G.O.P. Party)","5454","54.58","Washington State"
"Washington State Lt. Governor","Brad Owen","(Prefers Democratic Party)","5178","54.61","Washington State"
"Washington State Lt. Governor","Marcia McCraw","(Prefers Republican Party)","4304","45.39","Washington State"
"Washington State Secretary of State","Sam Reed","(Prefers Republican Party)","5402","57.09","Washington State"
"Washington State Secretary of State","Jason Osgood","(Prefers Democratic Party)","4060","42.91","Washington State"
"Washington State State Treasurer","Allan Martin","(Prefers Republican Party)","4869","51.88","Washington State"
"Washington State State Treasurer","Jim McIntire","(Prefers Democratic Party)","4516","48.12","Washington State"
"Washington State State Auditor","Brian Sonntag","(Prefers Democratic Party)","5075","54.54","Washington State"
"Washington State State Auditor","J. Richard (Dick) McEntee","(Prefers Republican Party)","4230","45.46","Washington State"
"Washington State Attorney General","Rob McKenna","(Prefers Republican Party)","5166","55.49","Washington State"
"Washington State Attorney General","John Ladenburg","(Prefers Democratic Party)","4144","44.51","Washington State"
"Washington State Commissioner of Public Lands","Doug Sutherland","(Prefers Republican Party)","5208","55.18","Washington State"
"Washington State Commissioner of Public Lands","Peter J. Goldmark","(Prefers Democratic Party)","4231","44.82","Washington State"
"Washington State Superintendent of Public Instruction","Teresa (Terry) Bergeson","","4376","53.7","Washington State"
"Washington State Superintendent of Public Instruction","Randy Dorn","","3773","46.3","Washington State"
"Washington State Insurance Commissioner","Mike Kreidler","(Prefers Democratic Party)","4775","52.56","Washington State"
"Washington State Insurance Commissioner","John R. Adams","(Prefers Republican Party)","4309","47.44","Washington State"
"Legislative District 15 State Representative Pos. 1","Bruce Chandler","(Prefers Republican Party)","6001","63.81","Legislative District 15"
"Legislative District 15 State Representative Pos. 1","John (Jobs) Gotts","(Prefers Democratic Party)","3403","36.19","Legislative District 15"
"Legislative District 15 State Representative Pos. 2","Dan Newhouse","(Prefers Republican Party)","5899","62.05","Legislative District 15"
"Legislative District 15 State Representative Pos. 2","Tao Berman","(Prefers Democratic Party)","3608","37.95","Legislative District 15"
"KLICKITAT COUNTY County Commissioner #1","Rex F. Johnston","(Prefers Republican Party)","5135","53.89","KLICKITAT COUNTY"
"KLICKITAT COUNTY County Commissioner #1","Lea Rachford","(Prefers Democrat Party)","4394","46.11","KLICKITAT COUNTY"
"KLICKITAT COUNTY County Commissioner #3","Ray Thayer","(Prefers Republican Party)","4899","51.44","KLICKITAT COUNTY"
"KLICKITAT COUNTY County Commissioner #3","Jerry L. Gaines","(Prefers Democratic Party)","4625","48.56","KLICKITAT COUNTY"
"Supreme Court Justice Position 3","Mary Fairhurst","","6538","100","Supreme Court"
"Supreme Court Justice Position 4","Charles W. Johnson","","6492","100","Supreme Court"
"Supreme Court Justice Position 7","Debra L. Stephens","","6472","100","Supreme Court"
"Court of Appeals, Division 3, District 3 Judge Position 1","Stephen M. Brown","","6472","100","Court of Appeals, Division 3, District 3"
"Klickitat, Skamania Superior Court Judge Position 1","E. Thompson (Tom) Reynolds","","7135","100","Klickitat, Skamania Superior Court"
"PUBLIC UTILITY DISTRICT # 1 Utility Commissioner #3","Dan G. Gunkel","","7073","100","PUBLIC UTILITY DISTRICT # 1"
