"Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Statewide Initiative Measure 985 concerns transportation","Yes","","14058","43.31","Statewide"
"Statewide Initiative Measure 985 concerns transportation","No","","18402","56.69","Statewide"
"Statewide Initiative Measure 1000 concerns allowing certain terminally ill competent adults to obtain lethal prescriptions","Yes","","17413","50.7","Statewide"
"Statewide Initiative Measure 1000 concerns allowing certain terminally ill competent adults to obtain lethal prescriptions","No","","16933","49.3","Statewide"
"Statewide Initiative Measure 1029 concerns long-term care services for the elderly and persons with disabilities","Yes","","24878","73.75","Statewide"
"Statewide Initiative Measure 1029 concerns long-term care services for the elderly and persons with disabilities","No","","8854","26.25","Statewide"
"United States President/Vice President","Barack Obama / Joe Biden","Democratic Party Nominees","13624","39.26","United States"
"United States President/Vice President","John McCain / Sarah Palin","Republican Party Nominees","20278","58.43","United States"
"United States President/Vice President","Ralph Nader / Matt Gonzalez","Independent Candidates","403","1.16","United States"
"United States President/Vice President","Gloria La Riva / Eugene Puryear","Socialism & Liberation Party Nominees","12","0.03","United States"
"United States President/Vice President","James E. Harris / Alyson Kennedy","Socialist Workers Party Nominees","10","0.03","United States"
"United States President/Vice President","Bob Barr / Wayne A. Root","Libertarian Party Nominees","138","0.4","United States"
"United States President/Vice President","Chuck Baldwin / Darrell L. Castle","Constitution Party Nominees","205","0.59","United States"
"United States President/Vice President","Cynthia McKinney / Rosa Clemente","Green Party Nominees","35","0.1","United States"
"U.S. Congressional District 3 Representative","Brian Baird","(Prefers Democratic Party)","19745","59.03","U.S. Congressional District 3"
"U.S. Congressional District 3 Representative","Michael Delavar","(Prefers Republican Party)","13705","40.97","U.S. Congressional District 3"
"Washington State Governor","Christine Gregoire","(Prefers Democratic Party)","12283","35.47","Washington State"
"Washington State Governor","Dino Rossi","(Prefers G.O.P. Party)","22347","64.53","Washington State"
"Washington State Lt. Governor","Brad Owen","(Prefers Democratic Party)","16517","50.75","Washington State"
"Washington State Lt. Governor","Marcia McCraw","(Prefers Republican Party)","16032","49.26","Washington State"
"Washington State Secretary of State","Sam Reed","(Prefers Republican Party)","22415","68.4","Washington State"
"Washington State Secretary of State","Jason Osgood","(Prefers Democratic Party)","10354","31.6","Washington State"
"Washington State State Treasurer","Allan Martin","(Prefers Republican Party)","19547","60.59","Washington State"
"Washington State State Treasurer","Jim McIntire","(Prefers Democratic Party)","12716","39.41","Washington State"
"Washington State State Auditor","Brian Sonntag","(Prefers Democratic Party)","16552","51.36","Washington State"
"Washington State State Auditor","J. Richard (Dick) McEntee","(Prefers Republican Party)","15673","48.64","Washington State"
"Washington State Attorney General","Rob McKenna","(Prefers Republican Party)","23176","70.61","Washington State"
"Washington State Attorney General","John Ladenburg","(Prefers Democratic Party)","9648","29.39","Washington State"
"Washington State Commissioner of Public Lands","Doug Sutherland","(Prefers Republican Party)","22365","67.84","Washington State"
"Washington State Commissioner of Public Lands","Peter J. Goldmark","(Prefers Democratic Party)","10602","32.16","Washington State"
"Washington State Superintendent of Public Instruction","Teresa (Terry) Bergeson","","13571","45.03","Washington State"
"Washington State Superintendent of Public Instruction","Randy Dorn","","16569","54.97","Washington State"
"Washington State Insurance Commissioner","Mike Kreidler","(Prefers Democratic Party)","15329","48.43","Washington State"
"Washington State Insurance Commissioner","John R. Adams","(Prefers Republican Party)","16325","51.57","Washington State"
"Legislative District 20 State Senator","Dan Swecker","(Prefers Republican Party)","22038","67.73","Legislative District 20"
"Legislative District 20 State Senator","Chuck Bojarski","(Prefers Democratic Party)","10501","32.27","Legislative District 20"
"Legislative District 20 State Representative Pos. 1","Richard DeBolt","(Prefers G.O.P. Party)","20345","62.09","Legislative District 20"
"Legislative District 20 State Representative Pos. 1","Mike Rechner","(Prefers Democratic Party)","12420","37.91","Legislative District 20"
"Legislative District 20 State Representative Pos. 2","Gary C. Alexander","(Prefers G.O.P. Party)","21618","67.09","Legislative District 20"
"Legislative District 20 State Representative Pos. 2","Jim Cutler","(Prefers Democratic Party)","10606","32.91","Legislative District 20"
"County Comm Dist 1","Ron Averill","(Prefers Republican Party)","24940","100","County"
"County Comm Dist 2","Lyle Hojem","(Prefers G.O.P. Party)","13131","44.81","County"
"County Comm Dist 2","Bill Schulte","(Prefers Republican Party)","16171","55.19","County"
"Supreme Court Justice Position 3","Mary Fairhurst","","22421","100","Supreme Court"
"Supreme Court Justice Position 4","Charles W. Johnson","","22361","100","Supreme Court"
"Supreme Court Justice Position 7","Debra L. Stephens","","22330","100","Supreme Court"
"Lewis Superior Court Judge Position 1","Nelson E. Hunt","","23163","100","Lewis Superior Court"
"Lewis Superior Court Judge Position 2","Jim Lawler","","23948","100","Lewis Superior Court"
"Lewis Superior Court Judge Position 3","Richard L. Brosey","","23419","100","Lewis Superior Court"
