"Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Statewide Initiative Measure 985 concerns transportation","Yes","","1577","27.96","Statewide"
"Statewide Initiative Measure 985 concerns transportation","No","","4064","72.04","Statewide"
"Statewide Initiative Measure 1000 concerns allowing certain terminally ill competent adults to obtain lethal prescriptions","Yes","","2828","48.42","Statewide"
"Statewide Initiative Measure 1000 concerns allowing certain terminally ill competent adults to obtain lethal prescriptions","No","","3013","51.58","Statewide"
"Statewide Initiative Measure 1029 concerns long-term care services for the elderly and persons with disabilities","Yes","","3832","66.7","Statewide"
"Statewide Initiative Measure 1029 concerns long-term care services for the elderly and persons with disabilities","No","","1913","33.3","Statewide"
"LINCOLN COUNTY Lincoln County Criminal Justice Sales and Use Tax Proposition for a 3/10 of 1% tax for criminal justice purposes.","Approved","","2426","42.35","LINCOLN COUNTY"
"LINCOLN COUNTY Lincoln County Criminal Justice Sales and Use Tax Proposition for a 3/10 of 1% tax for criminal justice purposes.","Rejected","","3303","57.65","LINCOLN COUNTY"
"United States President/Vice President","Barack Obama / Joe Biden","Democratic Party Nominees","2032","34","United States"
"United States President/Vice President","John McCain / Sarah Palin","Republican Party Nominees","3803","63.63","United States"
"United States President/Vice President","Ralph Nader / Matt Gonzalez","Independent Candidates","75","1.25","United States"
"United States President/Vice President","Gloria La Riva / Eugene Puryear","Socialism & Liberation Party Nominees","1","0.02","United States"
"United States President/Vice President","James E. Harris / Alyson Kennedy","Socialist Workers Party Nominees","3","0.05","United States"
"United States President/Vice President","Bob Barr / Wayne A. Root","Libertarian Party Nominees","17","0.28","United States"
"United States President/Vice President","Chuck Baldwin / Darrell L. Castle","Constitution Party Nominees","40","0.67","United States"
"United States President/Vice President","Cynthia McKinney / Rosa Clemente","Green Party Nominees","6","0.1","United States"
"U.S. Congressional District 5 Representative","Cathy McMorris Rodgers","(Prefers Republican Party)","4586","78.1","U.S. Congressional District 5"
"U.S. Congressional District 5 Representative","Mark Mays","(Prefers Democratic Party)","1286","21.9","U.S. Congressional District 5"
"Washington State Governor","Christine Gregoire","(Prefers Democratic Party)","2052","34.66","Washington State"
"Washington State Governor","Dino Rossi","(Prefers G.O.P. Party)","3868","65.34","Washington State"
"Washington State Lt. Governor","Brad Owen","(Prefers Democratic Party)","2712","49.1","Washington State"
"Washington State Lt. Governor","Marcia McCraw","(Prefers Republican Party)","2811","50.9","Washington State"
"Washington State Secretary of State","Sam Reed","(Prefers Republican Party)","4147","74.64","Washington State"
"Washington State Secretary of State","Jason Osgood","(Prefers Democratic Party)","1409","25.36","Washington State"
"Washington State State Treasurer","Allan Martin","(Prefers Republican Party)","3540","65.54","Washington State"
"Washington State State Treasurer","Jim McIntire","(Prefers Democratic Party)","1861","34.46","Washington State"
"Washington State State Auditor","Brian Sonntag","(Prefers Democratic Party)","2459","45.13","Washington State"
"Washington State State Auditor","J. Richard (Dick) McEntee","(Prefers Republican Party)","2990","54.87","Washington State"
"Washington State Attorney General","Rob McKenna","(Prefers Republican Party)","4185","75.43","Washington State"
"Washington State Attorney General","John Ladenburg","(Prefers Democratic Party)","1363","24.57","Washington State"
"Washington State Commissioner of Public Lands","Doug Sutherland","(Prefers Republican Party)","3489","62.36","Washington State"
"Washington State Commissioner of Public Lands","Peter J. Goldmark","(Prefers Democratic Party)","2106","37.64","Washington State"
"Washington State Superintendent of Public Instruction","Teresa (Terry) Bergeson","","2374","45.63","Washington State"
"Washington State Superintendent of Public Instruction","Randy Dorn","","2829","54.37","Washington State"
"Washington State Insurance Commissioner","Mike Kreidler","(Prefers Democratic Party)","2206","41.32","Washington State"
"Washington State Insurance Commissioner","John R. Adams","(Prefers Republican Party)","3133","58.68","Washington State"
"Legislative District 7 State Representative Pos. 1","Shelly Short","(Prefers Republican Party)","2061","38.45","Legislative District 7"
"Legislative District 7 State Representative Pos. 1","Sue Lani Madsen","(Prefers Republican Party)","3299","61.55","Legislative District 7"
"Legislative District 7 State Representative Pos. 2","Joel Kretz","(Prefers Republican Party)","4628","100","Legislative District 7"
"LINCOLN COUNTY COUNTY COMMISSIONER #1","Dennis D. Bly","(Prefers Republican Party)","3323","63.98","LINCOLN COUNTY"
"LINCOLN COUNTY COUNTY COMMISSIONER #1","Gary Schoessler","(Prefers Republican Party)","1871","36.02","LINCOLN COUNTY"
"LINCOLN COUNTY COUNTY COMMISSIONER #2","Scott Hutsell","(Prefers Republican Party)","3279","56.7","LINCOLN COUNTY"
"LINCOLN COUNTY COUNTY COMMISSIONER #2","Joel Jahn","(Prefers Democratic Party)","2504","43.3","LINCOLN COUNTY"
"Supreme Court Justice Position 3","Mary Fairhurst","","4032","100","Supreme Court"
"Supreme Court Justice Position 4","Charles W. Johnson","","4007","100","Supreme Court"
"Supreme Court Justice Position 7","Debra L. Stephens","","3981","100","Supreme Court"
"Court of Appeals, Division 3, District 1 Judge Position 2","Kevin M. Korsmo","","3944","100","Court of Appeals, Division 3, District 1"
"Lincoln Superior Court Judge Position 1","John F. Strohmaier","","2930","52.6","Lincoln Superior Court"
"Lincoln Superior Court Judge Position 1","Joshua F. Grant","","2640","47.4","Lincoln Superior Court"
"PUBLIC UTILITY DIST 1 PUBLIC UTILITY COMMISSIONER #1","Merlin K. Jantz","","4254","100","PUBLIC UTILITY DIST 1"
"CEMETERY DISTRICT 7 Proposition No. 1 Water System Repairs and Maintenance Levy - $7,000","Levy Yes","","191","62.42","CEMETERY DISTRICT 7"
"CEMETERY DISTRICT 7 Proposition No. 1 Water System Repairs and Maintenance Levy - $7,000","Levy No","","115","37.58","CEMETERY DISTRICT 7"
"PARK/REC DISTRICT 3 Proposition No. 1 Maintenance and Operation Levy - $100,000","Levy Yes","","817","53.36","PARK/REC DISTRICT 3"
"PARK/REC DISTRICT 3 Proposition No. 1 Maintenance and Operation Levy - $100,000","Levy No","","714","46.64","PARK/REC DISTRICT 3"
