"Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Statewide Initiative Measure 985 concerns transportation","Yes","","11880","43.31","Statewide"
"Statewide Initiative Measure 985 concerns transportation","No","","15550","56.69","Statewide"
"Statewide Initiative Measure 1000 concerns allowing certain terminally ill competent adults to obtain lethal prescriptions","Yes","","17122","61.05","Statewide"
"Statewide Initiative Measure 1000 concerns allowing certain terminally ill competent adults to obtain lethal prescriptions","No","","10923","38.95","Statewide"
"Statewide Initiative Measure 1029 concerns long-term care services for the elderly and persons with disabilities","Yes","","20658","74.66","Statewide"
"Statewide Initiative Measure 1029 concerns long-term care services for the elderly and persons with disabilities","No","","7012","25.34","Statewide"
"United States President/Vice President","Barack Obama / Joe Biden","Democratic Party Nominees","15050","53.17","United States"
"United States President/Vice President","John McCain / Sarah Palin","Republican Party Nominees","12600","44.51","United States"
"United States President/Vice President","Ralph Nader / Matt Gonzalez","Independent Candidates","358","1.26","United States"
"United States President/Vice President","Gloria La Riva / Eugene Puryear","Socialism & Liberation Party Nominees","7","0.02","United States"
"United States President/Vice President","James E. Harris / Alyson Kennedy","Socialist Workers Party Nominees","5","0.02","United States"
"United States President/Vice President","Bob Barr / Wayne A. Root","Libertarian Party Nominees","128","0.45","United States"
"United States President/Vice President","Chuck Baldwin / Darrell L. Castle","Constitution Party Nominees","115","0.41","United States"
"United States President/Vice President","Cynthia McKinney / Rosa Clemente","Green Party Nominees","43","0.15","United States"
"U.S. Congressional District 6 Representative","Norm Dicks","(Prefers Democratic Party)","17710","64.11","U.S. Congressional District 6"
"U.S. Congressional District 6 Representative","Doug Cloud","(Prefers Republican Party)","9915","35.89","U.S. Congressional District 6"
"Washington State Governor","Christine Gregoire","(Prefers Democratic Party)","13942","49.58","Washington State"
"Washington State Governor","Dino Rossi","(Prefers G.O.P. Party)","14181","50.42","Washington State"
"Washington State Lt. Governor","Brad Owen","(Prefers Democratic Party)","18544","67.78","Washington State"
"Washington State Lt. Governor","Marcia McCraw","(Prefers Republican Party)","8817","32.22","Washington State"
"Washington State Secretary of State","Sam Reed","(Prefers Republican Party)","16933","62.55","Washington State"
"Washington State Secretary of State","Jason Osgood","(Prefers Democratic Party)","10140","37.45","Washington State"
"Washington State State Treasurer","Allan Martin","(Prefers Republican Party)","13441","50.33","Washington State"
"Washington State State Treasurer","Jim McIntire","(Prefers Democratic Party)","13266","49.67","Washington State"
"Washington State State Auditor","Brian Sonntag","(Prefers Democratic Party)","17052","63.81","Washington State"
"Washington State State Auditor","J. Richard (Dick) McEntee","(Prefers Republican Party)","9670","36.19","Washington State"
"Washington State Attorney General","Rob McKenna","(Prefers Republican Party)","17019","62.79","Washington State"
"Washington State Attorney General","John Ladenburg","(Prefers Democratic Party)","10084","37.21","Washington State"
"Washington State Commissioner of Public Lands","Doug Sutherland","(Prefers Republican Party)","15407","56.97","Washington State"
"Washington State Commissioner of Public Lands","Peter J. Goldmark","(Prefers Democratic Party)","11635","43.03","Washington State"
"Washington State Superintendent of Public Instruction","Teresa (Terry) Bergeson","","11661","46.55","Washington State"
"Washington State Superintendent of Public Instruction","Randy Dorn","","13390","53.45","Washington State"
"Washington State Insurance Commissioner","Mike Kreidler","(Prefers Democratic Party)","16148","61.12","Washington State"
