"Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Statewide Initiative Measure 985 concerns transportation","Yes","","5117","32","Statewide"
"Statewide Initiative Measure 985 concerns transportation","No","","10873","68","Statewide"
"Statewide Initiative Measure 1000 concerns allowing certain terminally ill competent adults to obtain lethal prescriptions","Yes","","9274","56.2","Statewide"
"Statewide Initiative Measure 1000 concerns allowing certain terminally ill competent adults to obtain lethal prescriptions","No","","7227","43.8","Statewide"
"Statewide Initiative Measure 1029 concerns long-term care services for the elderly and persons with disabilities","Yes","","11233","68.82","Statewide"
"Statewide Initiative Measure 1029 concerns long-term care services for the elderly and persons with disabilities","No","","5089","31.18","Statewide"
"United States President/Vice President","Barack Obama / Joe Biden","Democratic Party Nominees","7613","45.13","United States"
"United States President/Vice President","John McCain / Sarah Palin","Republican Party Nominees","8798","52.15","United States"
"United States President/Vice President","Ralph Nader / Matt Gonzalez","Independent Candidates","224","1.33","United States"
"United States President/Vice President","Gloria La Riva / Eugene Puryear","Socialism & Liberation Party Nominees","4","0.02","United States"
"United States President/Vice President","James E. Harris / Alyson Kennedy","Socialist Workers Party Nominees","9","0.05","United States"
"United States President/Vice President","Bob Barr / Wayne A. Root","Libertarian Party Nominees","87","0.52","United States"
"United States President/Vice President","Chuck Baldwin / Darrell L. Castle","Constitution Party Nominees","105","0.62","United States"
"United States President/Vice President","Cynthia McKinney / Rosa Clemente","Green Party Nominees","30","0.18","United States"
"U.S. Congressional District 5 Representative","Cathy McMorris Rodgers","(Prefers Republican Party)","11082","67.37","U.S. Congressional District 5"
"U.S. Congressional District 5 Representative","Mark Mays","(Prefers Democratic Party)","5367","32.63","U.S. Congressional District 5"
"Washington State Governor","Christine Gregoire","(Prefers Democratic Party)","6575","39.27","Washington State"
"Washington State Governor","Dino Rossi","(Prefers G.O.P. Party)","10168","60.73","Washington State"
"Washington State Lt. Governor","Brad Owen","(Prefers Democratic Party)","8159","52.05","Washington State"
"Washington State Lt. Governor","Marcia McCraw","(Prefers Republican Party)","7516","47.95","Washington State"
"Washington State Secretary of State","Sam Reed","(Prefers Republican Party)","9818","62.6","Washington State"
"Washington State Secretary of State","Jason Osgood","(Prefers Democratic Party)","5865","37.4","Washington State"
"Washington State State Treasurer","Allan Martin","(Prefers Republican Party)","8727","56.52","Washington State"
"Washington State State Treasurer","Jim McIntire","(Prefers Democratic Party)","6713","43.48","Washington State"
"Washington State State Auditor","Brian Sonntag","(Prefers Democratic Party)","8258","53.16","Washington State"
"Washington State State Auditor","J. Richard (Dick) McEntee","(Prefers Republican Party)","7276","46.84","Washington State"
"Washington State Attorney General","Rob McKenna","(Prefers Republican Party)","9971","63.45","Washington State"
"Washington State Attorney General","John Ladenburg","(Prefers Democratic Party)","5743","36.55","Washington State"
"Washington State Commissioner of Public Lands","Doug Sutherland","(Prefers Republican Party)","8028","49.74","Washington State"
"Washington State Commissioner of Public Lands","Peter J. Goldmark","(Prefers Democratic Party)","8112","50.26","Washington State"
"Washington State Superintendent of Public Instruction","Teresa (Terry) Bergeson","","6840","48.84","Washington State"
"Washington State Superintendent of Public Instruction","Randy Dorn","","7166","51.16","Washington State"
"Washington State Insurance Commissioner","Mike Kreidler","(Prefers Democratic Party)","7452","49.18","Washington State"
"Washington State Insurance Commissioner","John R. Adams","(Prefers Republican Party)","7699","50.82","Washington State"
"Legislative District 7 State Representative Pos. 1","Shelly Short","(Prefers Republican Party)","5477","67.45","Legislative District 7"
"Legislative District 7 State Representative Pos. 1","Sue Lani Madsen","(Prefers Republican Party)","2643","32.55","Legislative District 7"
"Legislative District 7 State Representative Pos. 2","Joel Kretz","(Prefers Republican Party)","7359","100","Legislative District 7"
"Legislative District 12 State Senator","Linda Evans Parlette","(Prefers G.O.P. Party)","4903","100","Legislative District 12"
"Legislative District 12 State Representative Pos. 1","Cary Condotta","(Prefers Republican Party)","4470","100","Legislative District 12"
"Legislative District 12 State Representative Pos. 2","Mike Armstrong","(Prefers Republican Party)","2922","52.59","Legislative District 12"
"Legislative District 12 State Representative Pos. 2","Courtney Cox","(Prefers Republican Party)","2634","47.41","Legislative District 12"
"Supreme Court Justice Position 3","Mary Fairhurst","","9955","100","Supreme Court"
"Supreme Court Justice Position 4","Charles W. Johnson","","9825","100","Supreme Court"
"Supreme Court Justice Position 7","Debra L. Stephens","","9882","100","Supreme Court"
"Court of Appeals, Division 3, District 1 Judge Position 2","Kevin M. Korsmo","","9685","100","Court of Appeals, Division 3, District 1"
"Okanogan Superior Court Judge Position 1","Jack Burchard","","10778","100","Okanogan Superior Court"
"DOUGLAS-OKANOGAN FIRE DISTRICT 15 Proposition No. 1 Emergency Medical Services Regular Property Tax Levy","Yes","","540","63.45","DOUGLAS-OKANOGAN FIRE DISTRICT 15"
"DOUGLAS-OKANOGAN FIRE DISTRICT 15 Proposition No. 1 Emergency Medical Services Regular Property Tax Levy","No","","311","36.55","DOUGLAS-OKANOGAN FIRE DISTRICT 15"
"DOUGLAS-OKANOGAN FIRE DISTRICT 15 Proposition No. 2 Increase From Three to Five Commissioners","Yes","","475","58.35","DOUGLAS-OKANOGAN FIRE DISTRICT 15"
"DOUGLAS-OKANOGAN FIRE DISTRICT 15 Proposition No. 2 Increase From Three to Five Commissioners","No","","339","41.65","DOUGLAS-OKANOGAN FIRE DISTRICT 15"
