"Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Statewide Initiative Measure 985 concerns transportation","Yes","","4172","40.15","Statewide"
"Statewide Initiative Measure 985 concerns transportation","No","","6218","59.85","Statewide"
"Statewide Initiative Measure 1000 concerns allowing certain terminally ill competent adults to obtain lethal prescriptions","Yes","","6888","64.12","Statewide"
"Statewide Initiative Measure 1000 concerns allowing certain terminally ill competent adults to obtain lethal prescriptions","No","","3854","35.88","Statewide"
"Statewide Initiative Measure 1029 concerns long-term care services for the elderly and persons with disabilities","Yes","","7797","75.48","Statewide"
"Statewide Initiative Measure 1029 concerns long-term care services for the elderly and persons with disabilities","No","","2533","24.52","Statewide"
"United States President/Vice President","Barack Obama / Joe Biden","Democratic Party Nominees","6094","55.72","United States"
"United States President/Vice President","John McCain / Sarah Palin","Republican Party Nominees","4555","41.65","United States"
"United States President/Vice President","Ralph Nader / Matt Gonzalez","Independent Candidates","173","1.58","United States"
"United States President/Vice President","Gloria La Riva / Eugene Puryear","Socialism & Liberation Party Nominees","2","0.02","United States"
"United States President/Vice President","James E. Harris / Alyson Kennedy","Socialist Workers Party Nominees","4","0.04","United States"
"United States President/Vice President","Bob Barr / Wayne A. Root","Libertarian Party Nominees","43","0.39","United States"
"United States President/Vice President","Chuck Baldwin / Darrell L. Castle","Constitution Party Nominees","49","0.45","United States"
"United States President/Vice President","Cynthia McKinney / Rosa Clemente","Green Party Nominees","17","0.16","United States"
"U.S. Congressional District 3 Representative","Brian Baird","(Prefers Democratic Party)","7706","72.57","U.S. Congressional District 3"
"U.S. Congressional District 3 Representative","Michael Delavar","(Prefers Republican Party)","2913","27.43","U.S. Congressional District 3"
"Washington State Governor","Christine Gregoire","(Prefers Democratic Party)","5695","52.28","Washington State"
"Washington State Governor","Dino Rossi","(Prefers G.O.P. Party)","5198","47.72","Washington State"
"Washington State Lt. Governor","Brad Owen","(Prefers Democratic Party)","6708","65.04","Washington State"
"Washington State Lt. Governor","Marcia McCraw","(Prefers Republican Party)","3605","34.96","Washington State"
"Washington State Secretary of State","Sam Reed","(Prefers Republican Party)","5423","52.96","Washington State"
"Washington State Secretary of State","Jason Osgood","(Prefers Democratic Party)","4817","47.04","Washington State"
"Washington State State Treasurer","Allan Martin","(Prefers Republican Party)","4395","43.45","Washington State"
"Washington State State Treasurer","Jim McIntire","(Prefers Democratic Party)","5719","56.55","Washington State"
"Washington State State Auditor","Brian Sonntag","(Prefers Democratic Party)","6867","66.83","Washington State"
"Washington State State Auditor","J. Richard (Dick) McEntee","(Prefers Republican Party)","3409","33.17","Washington State"
"Washington State Attorney General","Rob McKenna","(Prefers Republican Party)","5460","53.67","Washington State"
"Washington State Attorney General","John Ladenburg","(Prefers Democratic Party)","4714","46.33","Washington State"
"Washington State Commissioner of Public Lands","Doug Sutherland","(Prefers Republican Party)","5685","55.04","Washington State"
"Washington State Commissioner of Public Lands","Peter J. Goldmark","(Prefers Democratic Party)","4643","44.96","Washington State"
"Washington State Superintendent of Public Instruction","Teresa (Terry) Bergeson","","4967","53.46","Washington State"
"Washington State Superintendent of Public Instruction","Randy Dorn","","4324","46.54","Washington State"
"Washington State Insurance Commissioner","Mike Kreidler","(Prefers Democratic Party)","6112","62.15","Washington State"
"Washington State Insurance Commissioner","John R. Adams","(Prefers Republican Party)","3722","37.85","Washington State"
"Legislative District 19 State Senator","Brian Hatfield","(Prefers Democratic Party)","8589","100","Legislative District 19"
"Legislative District 19 State Representative Pos. 1","Dean Takko","(Prefers Democratic Party)","8164","100","Legislative District 19"
"Legislative District 19 State Representative Pos. 2","Brian E. Blake","(Prefers Democratic Party)","8165","100","Legislative District 19"
"Pacific COUNTY COMMISSIONER #01","Jon C Kaino","(Prefers Democrat Party)","7835","100","Pacific"
"Pacific COUNTY COMMISSIONER #02","Norman (Bud) Cuffel","(Prefers Democrat Party)","5811","59.91","Pacific"
"Pacific COUNTY COMMISSIONER #02","Ray Bowman","(Prefers Independent Party)","3889","40.09","Pacific"
"Supreme Court Justice Position 3","Mary Fairhurst","","7303","100","Supreme Court"
"Supreme Court Justice Position 4","Charles W. Johnson","","7238","100","Supreme Court"
"Supreme Court Justice Position 7","Debra L. Stephens","","7211","100","Supreme Court"
"Pacific, Wahkiakum Superior Court Judge Position 1","Mike Sullivan","","8251","100","Pacific, Wahkiakum Superior Court"
"Public Utility District 2 PUBLIC UTILITY COMMISSIONER #01","Michael Swanson","","4407","53.54","Public Utility District 2"
"Public Utility District 2 PUBLIC UTILITY COMMISSIONER #01","Bruce Barker","","3824","46.46","Public Utility District 2"
"Emergency Med. Service 1 Proposition 1 EMS levy","YES","","2741","61.46","Emergency Med. Service 1"
"Emergency Med. Service 1 Proposition 1 EMS levy","NO","","1719","38.54","Emergency Med. Service 1"
