"Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Statewide Initiative Measure 985 concerns transportation","Yes","","1961","30.99","Statewide"
"Statewide Initiative Measure 985 concerns transportation","No","","4367","69.01","Statewide"
"Statewide Initiative Measure 1000 concerns allowing certain terminally ill competent adults to obtain lethal prescriptions","Yes","","3359","51.8","Statewide"
"Statewide Initiative Measure 1000 concerns allowing certain terminally ill competent adults to obtain lethal prescriptions","No","","3125","48.2","Statewide"
"Statewide Initiative Measure 1029 concerns long-term care services for the elderly and persons with disabilities","Yes","","4580","71.71","Statewide"
"Statewide Initiative Measure 1029 concerns long-term care services for the elderly and persons with disabilities","No","","1807","28.29","Statewide"
"United States President/Vice President","Barack Obama / Joe Biden","Democratic Party Nominees","2562","39.1","United States"
"United States President/Vice President","John McCain / Sarah Palin","Republican Party Nominees","3717","56.73","United States"
"United States President/Vice President","Ralph Nader / Matt Gonzalez","Independent Candidates","139","2.12","United States"
"United States President/Vice President","Gloria La Riva / Eugene Puryear","Socialism & Liberation Party Nominees","2","0.03","United States"
"United States President/Vice President","James E. Harris / Alyson Kennedy","Socialist Workers Party Nominees","4","0.06","United States"
"United States President/Vice President","Bob Barr / Wayne A. Root","Libertarian Party Nominees","40","0.61","United States"
"United States President/Vice President","Chuck Baldwin / Darrell L. Castle","Constitution Party Nominees","80","1.22","United States"
"United States President/Vice President","Cynthia McKinney / Rosa Clemente","Green Party Nominees","8","0.12","United States"
"U.S. Congressional District 5 Representative","Cathy McMorris Rodgers","(Prefers Republican Party)","4426","69.62","U.S. Congressional District 5"
"U.S. Congressional District 5 Representative","Mark Mays","(Prefers Democratic Party)","1931","30.38","U.S. Congressional District 5"
"Washington State Governor","Christine Gregoire","(Prefers Democratic Party)","2571","39.66","Washington State"
"Washington State Governor","Dino Rossi","(Prefers G.O.P. Party)","3912","60.34","Washington State"
"Washington State Lt. Governor","Brad Owen","(Prefers Democratic Party)","2984","48.32","Washington State"
"Washington State Lt. Governor","Marcia McCraw","(Prefers Republican Party)","3192","51.68","Washington State"
"Washington State Secretary of State","Sam Reed","(Prefers Republican Party)","4014","65.56","Washington State"
"Washington State Secretary of State","Jason Osgood","(Prefers Democratic Party)","2109","34.44","Washington State"
"Washington State State Treasurer","Allan Martin","(Prefers Republican Party)","3451","57.23","Washington State"
"Washington State State Treasurer","Jim McIntire","(Prefers Democratic Party)","2579","42.77","Washington State"
"Washington State State Auditor","Brian Sonntag","(Prefers Democratic Party)","2980","48.96","Washington State"
"Washington State State Auditor","J. Richard (Dick) McEntee","(Prefers Republican Party)","3107","51.04","Washington State"
"Washington State Attorney General","Rob McKenna","(Prefers Republican Party)","4179","67.67","Washington State"
"Washington State Attorney General","John Ladenburg","(Prefers Democratic Party)","1997","32.33","Washington State"
"Washington State Commissioner of Public Lands","Doug Sutherland","(Prefers Republican Party)","3666","59.14","Washington State"
"Washington State Commissioner of Public Lands","Peter J. Goldmark","(Prefers Democratic Party)","2533","40.86","Washington State"
"Washington State Superintendent of Public Instruction","Teresa (Terry) Bergeson","","2816","50.54","Washington State"
"Washington State Superintendent of Public Instruction","Randy Dorn","","2756","49.46","Washington State"
"Washington State Insurance Commissioner","Mike Kreidler","(Prefers Democratic Party)","2714","45.95","Washington State"
"Washington State Insurance Commissioner","John R. Adams","(Prefers Republican Party)","3192","54.05","Washington State"
"Legislative District 7 State Representative Pos. 1","Shelly Short","(Prefers Republican Party)","3200","58.85","Legislative District 7"
"Legislative District 7 State Representative Pos. 1","Sue Lani Madsen","(Prefers Republican Party)","2238","41.15","Legislative District 7"
"Legislative District 7 State Representative Pos. 2","Joel Kretz","(Prefers Republican Party)","4772","100","Legislative District 7"
"Pend Oreille COUNTY ASSESSOR","Sonya Gamalielson","(Prefers Democratic Party)","2450","40.34","Pend Oreille"
"Pend Oreille COUNTY ASSESSOR","James McCroskey","(Prefers Republican Party)","3623","59.66","Pend Oreille"
"Pend Oreille COUNTY COMMISSIONER #1","Anthony Newcomb","(Prefers Republican Party)","2965","47.74","Pend Oreille"
"Pend Oreille COUNTY COMMISSIONER #1","Diane Wear","(Prefers Democratic Party)","3246","52.26","Pend Oreille"
"Pend Oreille COUNTY COMMISSIONER #3","John Hankey","(Prefers Republican Party)","3483","63.28","Pend Oreille"
"Pend Oreille COUNTY COMMISSIONER #3","Ken Oliver Sr.","(Prefers Republican Party)","2021","36.72","Pend Oreille"
"Supreme Court Justice Position 3","Mary Fairhurst","","4232","100","Supreme Court"
"Supreme Court Justice Position 4","Charles W. Johnson","","4191","100","Supreme Court"
"Supreme Court Justice Position 7","Debra L. Stephens","","4206","100","Supreme Court"
"Court of Appeals, Division 3, District 1 Judge Position 2","Kevin M. Korsmo","","4168","100","Court of Appeals, Division 3, District 1"
"Ferry, Pend Oreille, Stevens Superior Court Judge Position 1","Rebecca M. Baker","","4312","100","Ferry, Pend Oreille, Stevens Superior Court"
"Ferry, Pend Oreille, Stevens Superior Court Judge Position 2","Allen C. Nielson","","4111","100","Ferry, Pend Oreille, Stevens Superior Court"
"Pend Oreille PUBLIC UTILITY COMMISSIONER #2","Curt Knapp","","3307","60.66","Pend Oreille"
