"Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Statewide Initiative Measure 985 concerns transportation","Yes","","19470","35.81","Statewide"
"Statewide Initiative Measure 985 concerns transportation","No","","34907","64.19","Statewide"
"Statewide Initiative Measure 1000 concerns allowing certain terminally ill competent adults to obtain lethal prescriptions","Yes","","31636","57.2","Statewide"
"Statewide Initiative Measure 1000 concerns allowing certain terminally ill competent adults to obtain lethal prescriptions","No","","23670","42.8","Statewide"
"Statewide Initiative Measure 1029 concerns long-term care services for the elderly and persons with disabilities","Yes","","38501","72.03","Statewide"
"Statewide Initiative Measure 1029 concerns long-term care services for the elderly and persons with disabilities","No","","14954","27.97","Statewide"
"United States President/Vice President","Barack Obama / Joe Biden","Democratic Party Nominees","30053","53.78","United States"
"United States President/Vice President","John McCain / Sarah Palin","Republican Party Nominees","24687","44.17","United States"
"United States President/Vice President","Ralph Nader / Matt Gonzalez","Independent Candidates","610","1.09","United States"
"United States President/Vice President","Gloria La Riva / Eugene Puryear","Socialism & Liberation Party Nominees","12","0.02","United States"
"United States President/Vice President","James E. Harris / Alyson Kennedy","Socialist Workers Party Nominees","11","0.02","United States"
"United States President/Vice President","Bob Barr / Wayne A. Root","Libertarian Party Nominees","244","0.44","United States"
"United States President/Vice President","Chuck Baldwin / Darrell L. Castle","Constitution Party Nominees","185","0.33","United States"
"United States President/Vice President","Cynthia McKinney / Rosa Clemente","Green Party Nominees","84","0.15","United States"
"U.S. Congressional District 2 Representative","Rick Larsen","(Prefers Democratic Party)","34641","64.52","U.S. Congressional District 2"
"U.S. Congressional District 2 Representative","Rick Bart","(Prefers Republican Party)","19051","35.48","U.S. Congressional District 2"
"Washington State Governor","Christine Gregoire","(Prefers Democratic Party)","27915","50.33","Washington State"
"Washington State Governor","Dino Rossi","(Prefers G.O.P. Party)","27545","49.67","Washington State"
"Washington State Lt. Governor","Brad Owen","(Prefers Democratic Party)","30861","58.81","Washington State"
"Washington State Lt. Governor","Marcia McCraw","(Prefers Republican Party)","21613","41.19","Washington State"
"Washington State Secretary of State","Sam Reed","(Prefers Republican Party)","32077","61.18","Washington State"
"Washington State Secretary of State","Jason Osgood","(Prefers Democratic Party)","20355","38.82","Washington State"
"Washington State State Treasurer","Allan Martin","(Prefers Republican Party)","26652","51.42","Washington State"
"Washington State State Treasurer","Jim McIntire","(Prefers Democratic Party)","25176","48.58","Washington State"
"Washington State State Auditor","Brian Sonntag","(Prefers Democratic Party)","31459","60.58","Washington State"
"Washington State State Auditor","J. Richard (Dick) McEntee","(Prefers Republican Party)","20475","39.43","Washington State"
"Washington State Attorney General","Rob McKenna","(Prefers Republican Party)","33530","63.34","Washington State"
"Washington State Attorney General","John Ladenburg","(Prefers Democratic Party)","19410","36.66","Washington State"
"Washington State Commissioner of Public Lands","Doug Sutherland","(Prefers Republican Party)","28222","54.01","Washington State"
"Washington State Commissioner of Public Lands","Peter J. Goldmark","(Prefers Democratic Party)","24032","45.99","Washington State"
"Washington State Superintendent of Public Instruction","Teresa (Terry) Bergeson","","21587","45.52","Washington State"
"Washington State Superintendent of Public Instruction","Randy Dorn","","25841","54.48","Washington State"
"Washington State Insurance Commissioner","Mike Kreidler","(Prefers Democratic Party)","29944","58.81","Washington State"
"Washington State Insurance Commissioner","John R. Adams","(Prefers Republican Party)","20970","41.19","Washington State"
"Legislative District 10 State Senator","Mary Margaret Haugen","(Prefers Democratic Party)","6142","54.47","Legislative District 10"
"Legislative District 10 State Senator","Linda Haddon","(Prefers Republican Party)","5134","45.53","Legislative District 10"
"Legislative District 10 State Representative Pos. 1","Norma  Smith","(Prefers G.O.P. Party)","5417","48.47","Legislative District 10"
"Legislative District 10 State Representative Pos. 1","Tim Knue","(Prefers Democratic Party)","5759","51.53","Legislative District 10"
"Legislative District 10 State Representative Pos. 2","Barbara Bailey","(Prefers Republican Party)","6181","56.26","Legislative District 10"
"Legislative District 10 State Representative Pos. 2","Patricia J. Terry","(Prefers Democratic Party)","4806","43.74","Legislative District 10"
"Legislative District 39 State Senator","Val Stevens","(Prefers Republican Party)","6820","56.67","Legislative District 39"
"Legislative District 39 State Senator","Fred Walser","(Prefers Democratic Party)","5214","43.33","Legislative District 39"
"Legislative District 39 State Representative Pos. 1","Dan Kristiansen","(Prefers R Party)","6566","55.1","Legislative District 39"
"Legislative District 39 State Representative Pos. 1","Scott Olson","(Prefers Democratic Party)","5350","44.9","Legislative District 39"
"Legislative District 39 State Representative Pos. 2","Kirk Pearson","(Prefers Republican Party)","7105","60.2","Legislative District 39"
"Legislative District 39 State Representative Pos. 2","David E. Personius","(Prefers Democratic Party)","4697","39.8","Legislative District 39"
"Legislative District 40 State Senator","Steve Van Luven","(Prefers Republican Party)","14178","48.57","Legislative District 40"
"Legislative District 40 State Senator","Kevin Ranker","(Prefers Democratic Party)","15011","51.43","Legislative District 40"
"Legislative District 40 State Representative Pos. 1","Dave Quall","(Prefers Democratic Party)","22880","100","Legislative District 40"
"Legislative District 40 State Representative Pos. 2","Jeff Morris","(Prefers Democratic Party)","19576","75.96","Legislative District 40"
"Legislative District 40 State Representative Pos. 2","Howard Pellett","(Prefers Green  Party)","6196","24.04","Legislative District 40"
"SKAGIT COUNTY Commissioner #1","Bill Turner","(Prefers Democrat Party)","23845","45.81","SKAGIT COUNTY"
"SKAGIT COUNTY Commissioner #1","Ron Wesen","(Prefers G.O.P. Party)","28209","54.19","SKAGIT COUNTY"
"SKAGIT COUNTY Commissioner #2","Don Gordon","(Prefers Republican Party)","23524","45.17","SKAGIT COUNTY"
"SKAGIT COUNTY Commissioner #2","Kenneth A. Dahlstedt","(Prefers Democratic Party)","28555","54.83","SKAGIT COUNTY"
"Supreme Court Justice Position 3","Mary Fairhurst","","36938","100","Supreme Court"
"Supreme Court Justice Position 4","Charles W. Johnson","","37003","100","Supreme Court"
"Supreme Court Justice Position 7","Debra L. Stephens","","36841","100","Supreme Court"
"SKAGIT COUNTY PUBLIC UTILITY DISTRICT Commissioner #1","Al Littlefield","","26500","61.04","SKAGIT COUNTY PUBLIC UTILITY DISTRICT"
"SKAGIT COUNTY PUBLIC UTILITY DISTRICT Commissioner #1","Ken Kukuk","","16911","38.96","SKAGIT COUNTY PUBLIC UTILITY DISTRICT"
