"Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Statewide Initiative Measure 985 concerns transportation","Yes","","1975","37.81","Statewide"
"Statewide Initiative Measure 985 concerns transportation","No","","3249","62.19","Statewide"
"Statewide Initiative Measure 1000 concerns allowing certain terminally ill competent adults to obtain lethal prescriptions","Yes","","3354","62.43","Statewide"
"Statewide Initiative Measure 1000 concerns allowing certain terminally ill competent adults to obtain lethal prescriptions","No","","2018","37.57","Statewide"
"Statewide Initiative Measure 1029 concerns long-term care services for the elderly and persons with disabilities","Yes","","3778","71.39","Statewide"
"Statewide Initiative Measure 1029 concerns long-term care services for the elderly and persons with disabilities","No","","1514","28.61","Statewide"
"United States President/Vice President","Barack Obama / Joe Biden","Democratic Party Nominees","2817","51.31","United States"
"United States President/Vice President","John McCain / Sarah Palin","Republican Party Nominees","2524","45.97","United States"
"United States President/Vice President","Ralph Nader / Matt Gonzalez","Independent Candidates","82","1.49","United States"
"United States President/Vice President","Gloria La Riva / Eugene Puryear","Socialism & Liberation Party Nominees","2","0.04","United States"
"United States President/Vice President","James E. Harris / Alyson Kennedy","Socialist Workers Party Nominees","1","0.02","United States"
"United States President/Vice President","Bob Barr / Wayne A. Root","Libertarian Party Nominees","18","0.33","United States"
"United States President/Vice President","Chuck Baldwin / Darrell L. Castle","Constitution Party Nominees","41","0.75","United States"
"United States President/Vice President","Cynthia McKinney / Rosa Clemente","Green Party Nominees","5","0.09","United States"
"U.S. Congressional District 3 Representative","Brian Baird","(Prefers Democratic Party)","2309","60.19","U.S. Congressional District 3"
"U.S. Congressional District 3 Representative","Michael Delavar","(Prefers Republican Party)","1527","39.81","U.S. Congressional District 3"
"U.S. Congressional District 4 Representative","Doc Hastings","(Prefers Republican Party)","717","52.11","U.S. Congressional District 4"
"U.S. Congressional District 4 Representative","George Fearing","(Prefers Democratic Party)","659","47.89","U.S. Congressional District 4"
"Washington State Governor","Christine Gregoire","(Prefers Democratic Party)","2564","47.68","Washington State"
"Washington State Governor","Dino Rossi","(Prefers G.O.P. Party)","2813","52.32","Washington State"
"Washington State Lt. Governor","Brad Owen","(Prefers Democratic Party)","2886","57.02","Washington State"
"Washington State Lt. Governor","Marcia McCraw","(Prefers Republican Party)","2175","42.98","Washington State"
"Washington State Secretary of State","Sam Reed","(Prefers Republican Party)","2833","55.79","Washington State"
"Washington State Secretary of State","Jason Osgood","(Prefers Democratic Party)","2245","44.21","Washington State"
"Washington State State Treasurer","Allan Martin","(Prefers Republican Party)","2535","50.48","Washington State"
"Washington State State Treasurer","Jim McIntire","(Prefers Democratic Party)","2487","49.52","Washington State"
"Washington State State Auditor","Brian Sonntag","(Prefers Democratic Party)","2851","56.6","Washington State"
"Washington State State Auditor","J. Richard (Dick) McEntee","(Prefers Republican Party)","2186","43.4","Washington State"
"Washington State Attorney General","Rob McKenna","(Prefers Republican Party)","2672","53.34","Washington State"
"Washington State Attorney General","John Ladenburg","(Prefers Democratic Party)","2337","46.66","Washington State"
"Washington State Commissioner of Public Lands","Doug Sutherland","(Prefers Republican Party)","2738","54.13","Washington State"
"Washington State Commissioner of Public Lands","Peter J. Goldmark","(Prefers Democratic Party)","2320","45.87","Washington State"
"Washington State Superintendent of Public Instruction","Teresa (Terry) Bergeson","","2426","55.14","Washington State"
"Washington State Superintendent of Public Instruction","Randy Dorn","","1974","44.86","Washington State"
"Washington State Insurance Commissioner","Mike Kreidler","(Prefers Democratic Party)","2690","54.88","Washington State"
"Washington State Insurance Commissioner","John R. Adams","(Prefers Republican Party)","2212","45.12","Washington State"
"Legislative District 15 State Representative Pos. 1","Bruce Chandler","(Prefers Republican Party)","2876","57.41","Legislative District 15"
"Legislative District 15 State Representative Pos. 1","John (Jobs) Gotts","(Prefers Democratic Party)","2134","42.59","Legislative District 15"
"Legislative District 15 State Representative Pos. 2","Dan Newhouse","(Prefers Republican Party)","2965","58.74","Legislative District 15"
"Legislative District 15 State Representative Pos. 2","Tao Berman","(Prefers Democratic Party)","2083","41.26","Legislative District 15"
"SKAMANIA COUNTY Commissioner #1","Honna T. Sheffield","(Prefers Democratic Party)","2407","46.47","SKAMANIA COUNTY"
"SKAMANIA COUNTY Commissioner #1","Paul J. Pearce","(Prefers G.O.P. Party)","2773","53.53","SKAMANIA COUNTY"
"SKAMANIA COUNTY Commissioner #2","Bruce Scherling","(Prefers Democratic Party)","2481","47.79","SKAMANIA COUNTY"
"SKAMANIA COUNTY Commissioner #2","Jim (JR) Richardson","(Prefers Republican Party)","2711","52.21","SKAMANIA COUNTY"
"Supreme Court Justice Position 3","Mary Fairhurst","","3570","100","Supreme Court"
"Supreme Court Justice Position 4","Charles W. Johnson","","3536","100","Supreme Court"
"Supreme Court Justice Position 7","Debra L. Stephens","","3537","100","Supreme Court"
"Klickitat, Skamania Superior Court Judge Position 1","E. Thompson (Tom) Reynolds","","3808","100","Klickitat, Skamania Superior Court"
"MT. PLEASANT SCHOOL Proposition No. 1 Maintenance and Operation Levy","Levy Yes","","79","38.54","MT. PLEASANT SCHOOL"
"MT. PLEASANT SCHOOL Proposition No. 1 Maintenance and Operation Levy","Levy No","","126","61.46","MT. PLEASANT SCHOOL"
"HOME VALLEY WATER Proposition No. 1 Maintenance and Capital Improvement Fund Levy","Levy Yes","","101","66.45","HOME VALLEY WATER"
"HOME VALLEY WATER Proposition No. 1 Maintenance and Capital Improvement Fund Levy","Levy No","","51","33.55","HOME VALLEY WATER"
"PUBLIC UTILITY DISTRICT Commissioner #3","Walt Loehrke","","1604","36.97","PUBLIC UTILITY DISTRICT"
"PUBLIC UTILITY DISTRICT Commissioner #3","Clyde D. Leach","","2735","63.03","PUBLIC UTILITY DISTRICT"
