"Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Statewide Initiative Measure 985 concerns transportation","Yes","","68568","32.19","Statewide"
"Statewide Initiative Measure 985 concerns transportation","No","","144416","67.81","Statewide"
"Statewide Initiative Measure 1000 concerns allowing certain terminally ill competent adults to obtain lethal prescriptions","Yes","","112164","51.7","Statewide"
"Statewide Initiative Measure 1000 concerns allowing certain terminally ill competent adults to obtain lethal prescriptions","No","","104796","48.3","Statewide"
"Statewide Initiative Measure 1029 concerns long-term care services for the elderly and persons with disabilities","Yes","","159886","74.24","Statewide"
"Statewide Initiative Measure 1029 concerns long-term care services for the elderly and persons with disabilities","No","","55465","25.76","Statewide"
"United States President/Vice President","Barack Obama / Joe Biden","Democratic Party Nominees","105786","48.19","United States"
"United States President/Vice President","John McCain / Sarah Palin","Republican Party Nominees","108314","49.34","United States"
"United States President/Vice President","Ralph Nader / Matt Gonzalez","Independent Candidates","2635","1.2","United States"
"United States President/Vice President","Gloria La Riva / Eugene Puryear","Socialism & Liberation Party Nominees","71","0.03","United States"
"United States President/Vice President","James E. Harris / Alyson Kennedy","Socialist Workers Party Nominees","37","0.02","United States"
"United States President/Vice President","Bob Barr / Wayne A. Root","Libertarian Party Nominees","870","0.4","United States"
"United States President/Vice President","Chuck Baldwin / Darrell L. Castle","Constitution Party Nominees","1499","0.68","United States"
"United States President/Vice President","Cynthia McKinney / Rosa Clemente","Green Party Nominees","299","0.14","United States"
"U.S. Congressional District 5 Representative","Cathy McMorris Rodgers","(Prefers Republican Party)","134228","62.79","U.S. Congressional District 5"
"U.S. Congressional District 5 Representative","Mark Mays","(Prefers Democratic Party)","79531","37.21","U.S. Congressional District 5"
"Washington State Governor","Christine Gregoire","(Prefers Democratic Party)","104369","48.11","Washington State"
"Washington State Governor","Dino Rossi","(Prefers G.O.P. Party)","112570","51.89","Washington State"
"Washington State Lt. Governor","Brad Owen","(Prefers Democratic Party)","114233","55.15","Washington State"
"Washington State Lt. Governor","Marcia McCraw","(Prefers Republican Party)","92910","44.85","Washington State"
"Washington State Secretary of State","Sam Reed","(Prefers Republican Party)","129876","62.62","Washington State"
"Washington State Secretary of State","Jason Osgood","(Prefers Democratic Party)","77532","37.38","Washington State"
"Washington State State Treasurer","Allan Martin","(Prefers Republican Party)","107422","52.99","Washington State"
"Washington State State Treasurer","Jim McIntire","(Prefers Democratic Party)","95304","47.01","Washington State"
"Washington State State Auditor","Brian Sonntag","(Prefers Democratic Party)","111063","54.83","Washington State"
"Washington State State Auditor","J. Richard (Dick) McEntee","(Prefers Republican Party)","91503","45.17","Washington State"
"Washington State Attorney General","Rob McKenna","(Prefers Republican Party)","134706","65.03","Washington State"
"Washington State Attorney General","John Ladenburg","(Prefers Democratic Party)","72439","34.97","Washington State"
"Washington State Commissioner of Public Lands","Doug Sutherland","(Prefers Republican Party)","106492","51.93","Washington State"
"Washington State Commissioner of Public Lands","Peter J. Goldmark","(Prefers Democratic Party)","98569","48.07","Washington State"
"Washington State Superintendent of Public Instruction","Teresa (Terry) Bergeson","","97095","51.33","Washington State"
"Washington State Superintendent of Public Instruction","Randy Dorn","","92080","48.67","Washington State"
"Washington State Insurance Commissioner","Mike Kreidler","(Prefers Democratic Party)","105917","52.94","Washington State"
