"Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Statewide Initiative Measure 985 concerns transportation","Yes","","6242","29","Statewide"
"Statewide Initiative Measure 985 concerns transportation","No","","15280","71","Statewide"
"Statewide Initiative Measure 1000 concerns allowing certain terminally ill competent adults to obtain lethal prescriptions","Yes","","10868","49.19","Statewide"
"Statewide Initiative Measure 1000 concerns allowing certain terminally ill competent adults to obtain lethal prescriptions","No","","11227","50.81","Statewide"
"Statewide Initiative Measure 1029 concerns long-term care services for the elderly and persons with disabilities","Yes","","14449","65.84","Statewide"
"Statewide Initiative Measure 1029 concerns long-term care services for the elderly and persons with disabilities","No","","7497","34.16","Statewide"
"United States President/Vice President","Barack Obama / Joe Biden","Democratic Party Nominees","8499","38.04","United States"
"United States President/Vice President","John McCain / Sarah Palin","Republican Party Nominees","13132","58.78","United States"
"United States President/Vice President","Ralph Nader / Matt Gonzalez","Independent Candidates","326","1.46","United States"
"United States President/Vice President","Gloria La Riva / Eugene Puryear","Socialism & Liberation Party Nominees","4","0.02","United States"
"United States President/Vice President","James E. Harris / Alyson Kennedy","Socialist Workers Party Nominees","1","0","United States"
"United States President/Vice President","Bob Barr / Wayne A. Root","Libertarian Party Nominees","96","0.43","United States"
"United States President/Vice President","Chuck Baldwin / Darrell L. Castle","Constitution Party Nominees","258","1.15","United States"
"United States President/Vice President","Cynthia McKinney / Rosa Clemente","Green Party Nominees","25","0.11","United States"
"U.S. Congressional District 5 Representative","Cathy McMorris Rodgers","(Prefers Republican Party)","16068","73.14","U.S. Congressional District 5"
"U.S. Congressional District 5 Representative","Mark Mays","(Prefers Democratic Party)","5902","26.86","U.S. Congressional District 5"
"Washington State Governor","Christine Gregoire","(Prefers Democratic Party)","7771","35.02","Washington State"
"Washington State Governor","Dino Rossi","(Prefers G.O.P. Party)","14418","64.98","Washington State"
"Washington State Lt. Governor","Brad Owen","(Prefers Democratic Party)","9327","44.64","Washington State"
"Washington State Lt. Governor","Marcia McCraw","(Prefers Republican Party)","11566","55.36","Washington State"
"Washington State Secretary of State","Sam Reed","(Prefers Republican Party)","14077","67.3","Washington State"
"Washington State Secretary of State","Jason Osgood","(Prefers Democratic Party)","6839","32.7","Washington State"
"Washington State State Treasurer","Allan Martin","(Prefers Republican Party)","12770","62.15","Washington State"
"Washington State State Treasurer","Jim McIntire","(Prefers Democratic Party)","7777","37.85","Washington State"
"Washington State State Auditor","Brian Sonntag","(Prefers Democratic Party)","9179","44.34","Washington State"
"Washington State State Auditor","J. Richard (Dick) McEntee","(Prefers Republican Party)","11521","55.66","Washington State"
"Washington State Attorney General","Rob McKenna","(Prefers Republican Party)","14841","70.3","Washington State"
"Washington State Attorney General","John Ladenburg","(Prefers Democratic Party)","6270","29.7","Washington State"
"Washington State Commissioner of Public Lands","Doug Sutherland","(Prefers Republican Party)","13064","61.66","Washington State"
"Washington State Commissioner of Public Lands","Peter J. Goldmark","(Prefers Democratic Party)","8123","38.34","Washington State"
"Washington State Superintendent of Public Instruction","Teresa (Terry) Bergeson","","8931","47.84","Washington State"
"Washington State Superintendent of Public Instruction","Randy Dorn","","9736","52.16","Washington State"
"Washington State Insurance Commissioner","Mike Kreidler","(Prefers Democratic Party)","8467","42.19","Washington State"
"Washington State Insurance Commissioner","John R. Adams","(Prefers Republican Party)","11604","57.81","Washington State"
"Legislative District 7 State Representative Pos. 1","Shelly Short","(Prefers Republican Party)","11122","57.14","Legislative District 7"
"Legislative District 7 State Representative Pos. 1","Sue Lani Madsen","(Prefers Republican Party)","8342","42.86","Legislative District 7"
"Legislative District 7 State Representative Pos. 2","Joel Kretz","(Prefers Republican Party)","16964","100","Legislative District 7"
"COUNTYWIDE Commissioner #1","Larry Guenther","(Prefers Republican Party)","13461","65.38","COUNTYWIDE"
"COUNTYWIDE Commissioner #1","Lela J Taylor","(Prefers Democratic Party)","7129","34.62","COUNTYWIDE"
"COUNTYWIDE Commissioner #3","Malcolm R. Friedman","(Prefers Republican Party)","13237","69.88","COUNTYWIDE"
"COUNTYWIDE Commissioner #3","Erica Breien","(Prefers Republican Party)","5706","30.12","COUNTYWIDE"
"Supreme Court Justice Position 3","Mary Fairhurst","","14269","100","Supreme Court"
"Supreme Court Justice Position 4","Charles W. Johnson","","14097","100","Supreme Court"
"Supreme Court Justice Position 7","Debra L. Stephens","","14171","100","Supreme Court"
"Court of Appeals, Division 3, District 1 Judge Position 2","Kevin M. Korsmo","","14031","100","Court of Appeals, Division 3, District 1"
"Ferry, Pend Oreille, Stevens Superior Court Judge Position 1","Rebecca M. Baker","","14459","100","Ferry, Pend Oreille, Stevens Superior Court"
"Ferry, Pend Oreille, Stevens Superior Court Judge Position 2","Allen C. Nielson","","14271","100","Ferry, Pend Oreille, Stevens Superior Court"
"LAKE SPOKANE PARK AND RECREATION DISTRICT Commissioner #1","Phil Aune","","2191","100","LAKE SPOKANE PARK AND RECREATION DISTRICT"
"LAKE SPOKANE PARK AND RECREATION DISTRICT Commissioner #2","Scott Chaney","","2206","100","LAKE SPOKANE PARK AND RECREATION DISTRICT"
"LAKE SPOKANE PARK AND RECREATION DISTRICT Commissioner #3","Gary Brown","","2237","100","LAKE SPOKANE PARK AND RECREATION DISTRICT"
"LAKE SPOKANE PARK AND RECREATION DISTRICT Commissioner #4","Write-In: G.L. Rocky Fortner","","273","79.13","LAKE SPOKANE PARK AND RECREATION DISTRICT"
"LAKE SPOKANE PARK AND RECREATION DISTRICT Commissioner #4","Write-In: Mike McWatters","","3","0.87","LAKE SPOKANE PARK AND RECREATION DISTRICT"
"LAKE SPOKANE PARK AND RECREATION DISTRICT Commissioner #4","Write-In: Robert T. Buckley","","16","4.64","LAKE SPOKANE PARK AND RECREATION DISTRICT"
"LAKE SPOKANE PARK AND RECREATION DISTRICT Commissioner #4","Write-In: Ted Hensold","","15","4.35","LAKE SPOKANE PARK AND RECREATION DISTRICT"
"LAKE SPOKANE PARK AND RECREATION DISTRICT Commissioner #4","Write-In: Teri Dring","","38","11.01","LAKE SPOKANE PARK AND RECREATION DISTRICT"
"LAKE SPOKANE PARK AND RECREATION DISTRICT Commissioner #5","Steven E Maggio","","2211","100","LAKE SPOKANE PARK AND RECREATION DISTRICT"
"LAKE SPOKANE PARK AND RECREATION DISTRICT Proposition No. 1 Authorizing Formation of Lake Spokane Park and Recreation District","Yes","","2330","70.8","LAKE SPOKANE PARK AND RECREATION DISTRICT"
"LAKE SPOKANE PARK AND RECREATION DISTRICT Proposition No. 1 Authorizing Formation of Lake Spokane Park and Recreation District","No","","961","29.2","LAKE SPOKANE PARK AND RECREATION DISTRICT"
"FIRE DISTRICT - 001 Proposition 2 Levy Lift for Fire Protection/Emergency Medical Services Staffing and Operational Expenses","Levy Yes","","2819","42.42","FIRE DISTRICT - 001"
"FIRE DISTRICT - 001 Proposition 2 Levy Lift for Fire Protection/Emergency Medical Services Staffing and Operational Expenses","Levy No","","3827","57.58","FIRE DISTRICT - 001"
"PUBLIC UTILITY DISTRICT - 001 Commissioner #2","Howie Kubik","","9875","55.57","PUBLIC UTILITY DISTRICT - 001"
"PUBLIC UTILITY DISTRICT - 001 Commissioner #2","Ken (K.O.) Rosenberg","","7895","44.43","PUBLIC UTILITY DISTRICT - 001"
