"Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Statewide Initiative Measure 985 concerns transportation","Yes","","51301","41.97","Statewide"
"Statewide Initiative Measure 985 concerns transportation","No","","70923","58.03","Statewide"
"Statewide Initiative Measure 1000 concerns allowing certain terminally ill competent adults to obtain lethal prescriptions","Yes","","76939","61.7","Statewide"
"Statewide Initiative Measure 1000 concerns allowing certain terminally ill competent adults to obtain lethal prescriptions","No","","47752","38.3","Statewide"
"Statewide Initiative Measure 1029 concerns long-term care services for the elderly and persons with disabilities","Yes","","89570","72.98","Statewide"
"Statewide Initiative Measure 1029 concerns long-term care services for the elderly and persons with disabilities","No","","33155","27.02","Statewide"
"United States President/Vice President","Barack Obama / Joe Biden","Democratic Party Nominees","75882","59.89","United States"
"United States President/Vice President","John McCain / Sarah Palin","Republican Party Nominees","48366","38.17","United States"
"United States President/Vice President","Ralph Nader / Matt Gonzalez","Independent Candidates","1265","1","United States"
"United States President/Vice President","Gloria La Riva / Eugene Puryear","Socialism & Liberation Party Nominees","48","0.04","United States"
"United States President/Vice President","James E. Harris / Alyson Kennedy","Socialist Workers Party Nominees","15","0.01","United States"
"United States President/Vice President","Bob Barr / Wayne A. Root","Libertarian Party Nominees","507","0.4","United States"
"United States President/Vice President","Chuck Baldwin / Darrell L. Castle","Constitution Party Nominees","308","0.24","United States"
"United States President/Vice President","Cynthia McKinney / Rosa Clemente","Green Party Nominees","318","0.25","United States"
"U.S. Congressional District 3 Representative","Brian Baird","(Prefers Democratic Party)","49456","70.5","U.S. Congressional District 3"
"U.S. Congressional District 3 Representative","Michael Delavar","(Prefers Republican Party)","20699","29.5","U.S. Congressional District 3"
"U.S. Congressional District 9 Representative","Adam Smith","(Prefers Democratic Party)","31479","65","U.S. Congressional District 9"
"U.S. Congressional District 9 Representative","James Postma","(Prefers Republican Party)","16949","35","U.S. Congressional District 9"
"Washington State Governor","Christine Gregoire","(Prefers Democratic Party)","72652","57.88","Washington State"
"Washington State Governor","Dino Rossi","(Prefers G.O.P. Party)","52880","42.12","Washington State"
"Washington State Lt. Governor","Brad Owen","(Prefers Democratic Party)","80063","67.25","Washington State"
"Washington State Lt. Governor","Marcia McCraw","(Prefers Republican Party)","38995","32.75","Washington State"
"Washington State Secretary of State","Sam Reed","(Prefers Republican Party)","79212","65.94","Washington State"
"Washington State Secretary of State","Jason Osgood","(Prefers Democratic Party)","40915","34.06","Washington State"
"Washington State State Treasurer","Allan Martin","(Prefers Republican Party)","56886","48.96","Washington State"
"Washington State State Treasurer","Jim McIntire","(Prefers Democratic Party)","59308","51.04","Washington State"
"Washington State State Auditor","Brian Sonntag","(Prefers Democratic Party)","80844","68.36","Washington State"
"Washington State State Auditor","J. Richard (Dick) McEntee","(Prefers Republican Party)","37410","31.64","Washington State"
"Washington State Attorney General","Rob McKenna","(Prefers Republican Party)","74734","62.41","Washington State"
"Washington State Attorney General","John Ladenburg","(Prefers Democratic Party)","45007","37.59","Washington State"
"Washington State Commissioner of Public Lands","Doug Sutherland","(Prefers Republican Party)","63028","53.4","Washington State"
"Washington State Commissioner of Public Lands","Peter J. Goldmark","(Prefers Democratic Party)","55008","46.6","Washington State"
"Washington State Superintendent of Public Instruction","Teresa (Terry) Bergeson","","50824","46.53","Washington State"
"Washington State Superintendent of Public Instruction","Randy Dorn","","58396","53.47","Washington State"
"Washington State Insurance Commissioner","Mike Kreidler","(Prefers Democratic Party)","78485","67.28","Washington State"
"Washington State Insurance Commissioner","John R. Adams","(Prefers Republican Party)","38175","32.72","Washington State"
"Legislative District 2 State Senator","Marilyn Rasmussen","(Prefers Democratic Party)","6148","52.43","Legislative District 2"
"Legislative District 2 State Senator","Randi Becker","(Prefers Republican Party)","5578","47.57","Legislative District 2"
"Legislative District 2 State Representative Pos. 1","Jim McCune","(Prefers G.O.P. Party)","6420","55.58","Legislative District 2"
"Legislative District 2 State Representative Pos. 1","JeanMarie Christenson","(Prefers Democratic Party)","5130","44.42","Legislative District 2"
"Legislative District 2 State Representative Pos. 2","Tom Campbell","(Prefers Republican Party)","6273","54.84","Legislative District 2"
"Legislative District 2 State Representative Pos. 2","Michael C. Powell","(Prefers Democratic Party)","5166","45.16","Legislative District 2"
"Legislative District 20 State Senator","Dan Swecker","(Prefers Republican Party)","17612","59.62","Legislative District 20"
"Legislative District 20 State Senator","Chuck Bojarski","(Prefers Democratic Party)","11927","40.38","Legislative District 20"
"Legislative District 20 State Representative Pos. 1","Richard DeBolt","(Prefers G.O.P. Party)","15112","51.58","Legislative District 20"
"Legislative District 20 State Representative Pos. 1","Mike Rechner","(Prefers Democratic Party)","14185","48.42","Legislative District 20"
"Legislative District 20 State Representative Pos. 2","Gary C. Alexander","(Prefers G.O.P. Party)","17324","59.08","Legislative District 20"
"Legislative District 20 State Representative Pos. 2","Jim Cutler","(Prefers Democratic Party)","11999","40.92","Legislative District 20"
"Legislative District 22 State Senator","Karen Fraser","(Prefers Democratic Party)","45062","73.48","Legislative District 22"
"Legislative District 22 State Senator","Erik Lee","(Prefers Democratic Party)","16266","26.52","Legislative District 22"
"Legislative District 22 State Representative Pos. 1","Brendan Williams","(Prefers Progressive Dem. Party)","49114","100","Legislative District 22"
"Legislative District 22 State Representative Pos. 2","Sam Hunt","(Prefers Democratic Party)","46440","70.5","Legislative District 22"
"Legislative District 22 State Representative Pos. 2","Don Crawford","(Prefers Republican Party)","19435","29.5","Legislative District 22"
"Legislative District 35 State Representative Pos. 1","Kathy Haigh","(Prefers Democratic Party)","5550","66.92","Legislative District 35"
"Legislative District 35 State Representative Pos. 1","Marco Brown","(Prefers Republican Party)","2743","33.08","Legislative District 35"
"Legislative District 35 State Representative Pos. 2","Fred Finn","(Prefers Democratic Party)","5418","65.15","Legislative District 35"
"Legislative District 35 State Representative Pos. 2","Randy Neatherlin","(Prefers (G.O.P.) Party)","2898","34.85","Legislative District 35"
"THURSTON COUNTY County Commissioner #1","Cathy Wolfe","(Prefers Democratic Party)","63909","56.45","THURSTON COUNTY"
"THURSTON COUNTY County Commissioner #1","Judy Wilson","(Prefers Republican Party)","49307","43.55","THURSTON COUNTY"
"THURSTON COUNTY County Commissioner #2","Robin Edmondson","(Prefers Republican Party)","45420","40.49","THURSTON COUNTY"
"THURSTON COUNTY County Commissioner #2","Sandra Romero","(Prefers Democratic Party)","66743","59.51","THURSTON COUNTY"
"Supreme Court Justice Position 3","Mary Fairhurst","","82329","100","Supreme Court"
"Supreme Court Justice Position 4","Charles W. Johnson","","80888","100","Supreme Court"
"Supreme Court Justice Position 7","Debra L. Stephens","","80727","100","Supreme Court"
"Court of Appeals, Division 2, District 2 Judge Position 1","(Joyce) Robin Hunt","","81779","100","Court of Appeals, Division 2, District 2"
"THURSTON COUNTY District Court Judge  #2","Bill Gilbert","","5973","6.42","THURSTON COUNTY"
"THURSTON COUNTY District Court Judge  #2","Greg Rosen","","7892","8.48","THURSTON COUNTY"
"THURSTON COUNTY District Court Judge  #2","Sans M. Gilmore","","2599","2.79","THURSTON COUNTY"
"THURSTON COUNTY District Court Judge  #2","Sam Meyer","","21357","22.96","THURSTON COUNTY"
"THURSTON COUNTY District Court Judge  #2","Laura M. Murphy","","12442","13.37","THURSTON COUNTY"
"THURSTON COUNTY District Court Judge  #2","Jamie M. Moore","","10464","11.25","THURSTON COUNTY"
"THURSTON COUNTY District Court Judge  #2","Lynn Kathryn Hayes","","4561","4.9","THURSTON COUNTY"
"THURSTON COUNTY District Court Judge  #2","Jodilyn (Jodi) Erikson-Muldrew","","9348","10.05","THURSTON COUNTY"
"THURSTON COUNTY District Court Judge  #2","Phil Kratz","","3424","3.68","THURSTON COUNTY"
"THURSTON COUNTY District Court Judge  #2","Ken Valz","","4450","4.78","THURSTON COUNTY"
"THURSTON COUNTY District Court Judge  #2","Jim Foley","","7346","7.9","THURSTON COUNTY"
"THURSTON COUNTY District Court Judge  #2","William R. Bayness","","3170","3.41","THURSTON COUNTY"
"GRIFFIN SCHOOL DISTRICT Proposition No. 1 Technology and Capital Projects Levy","Levy Yes","","2309","59.36","GRIFFIN SCHOOL DISTRICT"
"GRIFFIN SCHOOL DISTRICT Proposition No. 1 Technology and Capital Projects Levy","Levy No","","1581","40.64","GRIFFIN SCHOOL DISTRICT"
"FIRE DIST 3 - LACEY Proposition No. 1 Levy Lid Lift","Approved","","9719","48.04","FIRE DIST 3 - LACEY"
"FIRE DIST 3 - LACEY Proposition No. 1 Levy Lid Lift","Rejected","","10511","51.96","FIRE DIST 3 - LACEY"
"FIRE DIST 12 - TENINO Proposition No. 1 Levy Lid Lift","Approved","","1090","52.38","FIRE DIST 12 - TENINO"
"FIRE DIST 12 - TENINO Proposition No. 1 Levy Lid Lift","Rejected","","991","47.62","FIRE DIST 12 - TENINO"
"THURSTON PUBLIC UTILITY DISTRICT Commissioner #3","Chris Stearns","","50978","60.7","THURSTON PUBLIC UTILITY DISTRICT"
"THURSTON PUBLIC UTILITY DISTRICT Commissioner #3","Terence Artz","","33002","39.3","THURSTON PUBLIC UTILITY DISTRICT"
