"Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Statewide Initiative Measure 985 concerns transportation","Yes","","786","35.49","Statewide"
"Statewide Initiative Measure 985 concerns transportation","No","","1429","64.51","Statewide"
"Statewide Initiative Measure 1000 concerns allowing certain terminally ill competent adults to obtain lethal prescriptions","Yes","","1410","62.2","Statewide"
"Statewide Initiative Measure 1000 concerns allowing certain terminally ill competent adults to obtain lethal prescriptions","No","","857","37.8","Statewide"
"Statewide Initiative Measure 1029 concerns long-term care services for the elderly and persons with disabilities","Yes","","1565","70.18","Statewide"
"Statewide Initiative Measure 1029 concerns long-term care services for the elderly and persons with disabilities","No","","665","29.82","Statewide"
"United States President/Vice President","Barack Obama / Joe Biden","Democratic Party Nominees","1121","48.87","United States"
"United States President/Vice President","John McCain / Sarah Palin","Republican Party Nominees","1105","48.17","United States"
"United States President/Vice President","Ralph Nader / Matt Gonzalez","Independent Candidates","44","1.92","United States"
"United States President/Vice President","Gloria La Riva / Eugene Puryear","Socialism & Liberation Party Nominees","1","0.04","United States"
"United States President/Vice President","James E. Harris / Alyson Kennedy","Socialist Workers Party Nominees","2","0.09","United States"
"United States President/Vice President","Bob Barr / Wayne A. Root","Libertarian Party Nominees","10","0.44","United States"
"United States President/Vice President","Chuck Baldwin / Darrell L. Castle","Constitution Party Nominees","9","0.39","United States"
"United States President/Vice President","Cynthia McKinney / Rosa Clemente","Green Party Nominees","2","0.09","United States"
"U.S. Congressional District 3 Representative","Brian Baird","(Prefers Democratic Party)","1505","67.4","U.S. Congressional District 3"
"U.S. Congressional District 3 Representative","Michael Delavar","(Prefers Republican Party)","728","32.6","U.S. Congressional District 3"
"Washington State Governor","Christine Gregoire","(Prefers Democratic Party)","960","41.92","Washington State"
"Washington State Governor","Dino Rossi","(Prefers G.O.P. Party)","1330","58.08","Washington State"
"Washington State Lt. Governor","Brad Owen","(Prefers Democratic Party)","1185","56.03","Washington State"
"Washington State Lt. Governor","Marcia McCraw","(Prefers Republican Party)","930","43.97","Washington State"
"Washington State Secretary of State","Sam Reed","(Prefers Republican Party)","1260","59.1","Washington State"
"Washington State Secretary of State","Jason Osgood","(Prefers Democratic Party)","872","40.9","Washington State"
"Washington State State Treasurer","Allan Martin","(Prefers Republican Party)","1033","49.52","Washington State"
"Washington State State Treasurer","Jim McIntire","(Prefers Democratic Party)","1053","50.48","Washington State"
"Washington State State Auditor","Brian Sonntag","(Prefers Democratic Party)","1274","60.26","Washington State"
"Washington State State Auditor","J. Richard (Dick) McEntee","(Prefers Republican Party)","840","39.74","Washington State"
"Washington State Attorney General","Rob McKenna","(Prefers Republican Party)","1203","57.7","Washington State"
"Washington State Attorney General","John Ladenburg","(Prefers Democratic Party)","882","42.3","Washington State"
"Washington State Commissioner of Public Lands","Doug Sutherland","(Prefers Republican Party)","1242","58.78","Washington State"
"Washington State Commissioner of Public Lands","Peter J. Goldmark","(Prefers Democratic Party)","871","41.22","Washington State"
"Washington State Superintendent of Public Instruction","Teresa (Terry) Bergeson","","1061","58.65","Washington State"
"Washington State Superintendent of Public Instruction","Randy Dorn","","748","41.35","Washington State"
"Washington State Insurance Commissioner","Mike Kreidler","(Prefers Democratic Party)","1095","54.8","Washington State"
"Washington State Insurance Commissioner","John R. Adams","(Prefers Republican Party)","903","45.2","Washington State"
"Legislative District 19 State Senator","Brian Hatfield","(Prefers Democratic Party)","1680","100","Legislative District 19"
"Legislative District 19 State Representative Pos. 1","Dean Takko","(Prefers Democratic Party)","1639","100","Legislative District 19"
"Legislative District 19 State Representative Pos. 2","Brian E. Blake","(Prefers Democratic Party)","1606","100","Legislative District 19"
"Wahkiakum Commissioner #1","Lisa Marsyla","(Prefers Democratic Party)","1285","56.73","Wahkiakum"
"Wahkiakum Commissioner #1","Wally Wright","(Prefers Republican Party)","980","43.27","Wahkiakum"
"Wahkiakum Commissioner #2","Dan Cothren","(Prefers Independent  Party)","1251","56.66","Wahkiakum"
"Wahkiakum Commissioner #2","Wayne Flohr","(Prefers Democratic Party)","957","43.34","Wahkiakum"
"Supreme Court Justice Position 3","Mary Fairhurst","","1402","100","Supreme Court"
"Supreme Court Justice Position 4","Charles W. Johnson","","1416","100","Supreme Court"
"Supreme Court Justice Position 7","Debra L. Stephens","","1375","100","Supreme Court"
"Pacific, Wahkiakum Superior Court Judge Position 1","Mike Sullivan","","1589","100","Pacific, Wahkiakum Superior Court"
"Public Utility District #1 Commissioner #1","Larry Reese","","1577","100","Public Utility District #1"
