"Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Statewide Initiative Measure 985 concerns transportation","Yes","","7372","31.44","Statewide"
"Statewide Initiative Measure 985 concerns transportation","No","","16076","68.56","Statewide"
"Statewide Initiative Measure 1000 concerns allowing certain terminally ill competent adults to obtain lethal prescriptions","Yes","","12349","50.8","Statewide"
"Statewide Initiative Measure 1000 concerns allowing certain terminally ill competent adults to obtain lethal prescriptions","No","","11958","49.2","Statewide"
"Statewide Initiative Measure 1029 concerns long-term care services for the elderly and persons with disabilities","Yes","","16370","68.57","Statewide"
"Statewide Initiative Measure 1029 concerns long-term care services for the elderly and persons with disabilities","No","","7503","31.43","Statewide"
"United States President/Vice President","Barack Obama / Joe Biden","Democratic Party Nominees","10081","40.77","United States"
"United States President/Vice President","John McCain / Sarah Palin","Republican Party Nominees","14182","57.35","United States"
"United States President/Vice President","Ralph Nader / Matt Gonzalez","Independent Candidates","255","1.03","United States"
"United States President/Vice President","Gloria La Riva / Eugene Puryear","Socialism & Liberation Party Nominees","7","0.03","United States"
"United States President/Vice President","James E. Harris / Alyson Kennedy","Socialist Workers Party Nominees","8","0.03","United States"
"United States President/Vice President","Bob Barr / Wayne A. Root","Libertarian Party Nominees","82","0.33","United States"
"United States President/Vice President","Chuck Baldwin / Darrell L. Castle","Constitution Party Nominees","84","0.34","United States"
"United States President/Vice President","Cynthia McKinney / Rosa Clemente","Green Party Nominees","28","0.11","United States"
"U.S. Congressional District 5 Representative","Cathy McMorris Rodgers","(Prefers Republican Party)","16713","70.62","U.S. Congressional District 5"
"U.S. Congressional District 5 Representative","Mark Mays","(Prefers Democratic Party)","6954","29.38","U.S. Congressional District 5"
"Washington State Governor","Christine Gregoire","(Prefers Democratic Party)","9405","38.32","Washington State"
"Washington State Governor","Dino Rossi","(Prefers G.O.P. Party)","15137","61.68","Washington State"
"Washington State Lt. Governor","Brad Owen","(Prefers Democratic Party)","11657","50.56","Washington State"
"Washington State Lt. Governor","Marcia McCraw","(Prefers Republican Party)","11401","49.44","Washington State"
"Washington State Secretary of State","Sam Reed","(Prefers Republican Party)","16195","70.24","Washington State"
"Washington State Secretary of State","Jason Osgood","(Prefers Democratic Party)","6863","29.76","Washington State"
"Washington State State Treasurer","Allan Martin","(Prefers Republican Party)","14180","62.34","Washington State"
"Washington State State Treasurer","Jim McIntire","(Prefers Democratic Party)","8565","37.66","Washington State"
"Washington State State Auditor","Brian Sonntag","(Prefers Democratic Party)","11402","50.43","Washington State"
"Washington State State Auditor","J. Richard (Dick) McEntee","(Prefers Republican Party)","11209","49.57","Washington State"
"Washington State Attorney General","Rob McKenna","(Prefers Republican Party)","15911","69.65","Washington State"
"Washington State Attorney General","John Ladenburg","(Prefers Democratic Party)","6934","30.35","Washington State"
"Washington State Commissioner of Public Lands","Doug Sutherland","(Prefers Republican Party)","14152","62.72","Washington State"
"Washington State Commissioner of Public Lands","Peter J. Goldmark","(Prefers Democratic Party)","8412","37.28","Washington State"
"Washington State Superintendent of Public Instruction","Teresa (Terry) Bergeson","","11881","56.64","Washington State"
"Washington State Superintendent of Public Instruction","Randy Dorn","","9095","43.36","Washington State"
"Washington State Insurance Commissioner","Mike Kreidler","(Prefers Democratic Party)","10173","46.12","Washington State"
"Washington State Insurance Commissioner","John R. Adams","(Prefers Republican Party)","11885","53.88","Washington State"
"Legislative District 16 State Senator","Mike Hewitt","(Prefers Republican Party)","19150","100","Legislative District 16"
"Legislative District 16 State Representative Pos. 1","Maureen Walsh","(Prefers Republican Party)","17777","76.88","Legislative District 16"
"Legislative District 16 State Representative Pos. 1","Dante Lee Montoya","(Prefers Democratic Party)","5346","23.12","Legislative District 16"
"Legislative District 16 State Representative Pos. 2","Bill Grant","(Prefers Democratic Party)","13766","58.71","Legislative District 16"
"Legislative District 16 State Representative Pos. 2","Terry R. Nealey","(Prefers Republican Party)","9682","41.29","Legislative District 16"
"Supreme Court Justice Position 3","Mary Fairhurst","","16859","100","Supreme Court"
"Supreme Court Justice Position 4","Charles W. Johnson","","16786","100","Supreme Court"
"Supreme Court Justice Position 7","Debra L. Stephens","","16891","100","Supreme Court"
"Walla Walla  Superior Court Judge Position 2","Donald W. Schacht","","17191","100","Walla Walla  Superior Court"
""Parks and Rec., Prsctt" Proposition No 1 One Year Maintenance & Operation Excess Levy","Levy Yes","","202","61.21",""Parks and Rec., Prsctt""
""Parks and Rec., Prsctt" Proposition No 1 One Year Maintenance & Operation Excess Levy","Levy No","","128","38.79",""Parks and Rec., Prsctt""
