"Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Statewide Initiative Measure 985 concerns transportation","Yes","","36256","37.99","Statewide"
"Statewide Initiative Measure 985 concerns transportation","No","","59179","62.01","Statewide"
"Statewide Initiative Measure 1000 concerns allowing certain terminally ill competent adults to obtain lethal prescriptions","Yes","","56354","57.62","Statewide"
"Statewide Initiative Measure 1000 concerns allowing certain terminally ill competent adults to obtain lethal prescriptions","No","","41452","42.38","Statewide"
"Statewide Initiative Measure 1029 concerns long-term care services for the elderly and persons with disabilities","Yes","","64255","67.66","Statewide"
"Statewide Initiative Measure 1029 concerns long-term care services for the elderly and persons with disabilities","No","","30717","32.34","Statewide"
"United States President/Vice President","Barack Obama / Joe Biden","Democratic Party Nominees","58236","58.04","United States"
"United States President/Vice President","John McCain / Sarah Palin","Republican Party Nominees","40205","40.07","United States"
"United States President/Vice President","Ralph Nader / Matt Gonzalez","Independent Candidates","1005","1","United States"
"United States President/Vice President","Gloria La Riva / Eugene Puryear","Socialism & Liberation Party Nominees","17","0.02","United States"
"United States President/Vice President","James E. Harris / Alyson Kennedy","Socialist Workers Party Nominees","23","0.02","United States"
"United States President/Vice President","Bob Barr / Wayne A. Root","Libertarian Party Nominees","327","0.33","United States"
"United States President/Vice President","Chuck Baldwin / Darrell L. Castle","Constitution Party Nominees","316","0.31","United States"
"United States President/Vice President","Cynthia McKinney / Rosa Clemente","Green Party Nominees","210","0.21","United States"
"U.S. Congressional District 2 Representative","Rick Larsen","(Prefers Democratic Party)","62864","65.68","U.S. Congressional District 2"
"U.S. Congressional District 2 Representative","Rick Bart","(Prefers Republican Party)","32848","34.32","U.S. Congressional District 2"
"Washington State Governor","Christine Gregoire","(Prefers Democratic Party)","54249","54.67","Washington State"
"Washington State Governor","Dino Rossi","(Prefers G.O.P. Party)","44975","45.33","Washington State"
"Washington State Lt. Governor","Brad Owen","(Prefers Democratic Party)","56318","59.79","Washington State"
"Washington State Lt. Governor","Marcia McCraw","(Prefers Republican Party)","37879","40.21","Washington State"
"Washington State Secretary of State","Sam Reed","(Prefers Republican Party)","53006","56.49","Washington State"
"Washington State Secretary of State","Jason Osgood","(Prefers Democratic Party)","40820","43.51","Washington State"
"Washington State State Treasurer","Allan Martin","(Prefers Republican Party)","43218","46.97","Washington State"
"Washington State State Treasurer","Jim McIntire","(Prefers Democratic Party)","48798","53.03","Washington State"
"Washington State State Auditor","Brian Sonntag","(Prefers Democratic Party)","56309","61.19","Washington State"
"Washington State State Auditor","J. Richard (Dick) McEntee","(Prefers Republican Party)","35712","38.81","Washington State"
"Washington State Attorney General","Rob McKenna","(Prefers Republican Party)","53466","56.95","Washington State"
"Washington State Attorney General","John Ladenburg","(Prefers Democratic Party)","40419","43.05","Washington State"
"Washington State Commissioner of Public Lands","Doug Sutherland","(Prefers Republican Party)","45234","48.53","Washington State"
"Washington State Commissioner of Public Lands","Peter J. Goldmark","(Prefers Democratic Party)","47978","51.47","Washington State"
"Washington State Superintendent of Public Instruction","Teresa (Terry) Bergeson","","39859","48.47","Washington State"
"Washington State Superintendent of Public Instruction","Randy Dorn","","42375","51.53","Washington State"
"Washington State Insurance Commissioner","Mike Kreidler","(Prefers Democratic Party)","55309","61.24","Washington State"
"Washington State Insurance Commissioner","John R. Adams","(Prefers Republican Party)","35006","38.76","Washington State"
"Legislative District 39 State Senator","Val Stevens","(Prefers Republican Party)","15","53.57","Legislative District 39"
"Legislative District 39 State Senator","Fred Walser","(Prefers Democratic Party)","13","46.43","Legislative District 39"
"Legislative District 39 State Representative Pos. 1","Dan Kristiansen","(Prefers R Party)","13","50","Legislative District 39"
"Legislative District 39 State Representative Pos. 1","Scott Olson","(Prefers Democratic Party)","13","50","Legislative District 39"
"Legislative District 39 State Representative Pos. 2","Kirk Pearson","(Prefers Republican Party)","13","50","Legislative District 39"
"Legislative District 39 State Representative Pos. 2","David E. Personius","(Prefers Democratic Party)","13","50","Legislative District 39"
"Legislative District 40 State Senator","Steve Van Luven","(Prefers Republican Party)","9471","36.35","Legislative District 40"
"Legislative District 40 State Senator","Kevin Ranker","(Prefers Democratic Party)","16587","63.65","Legislative District 40"
"Legislative District 40 State Representative Pos. 1","Dave Quall","(Prefers Democratic Party)","21099","100","Legislative District 40"
"Legislative District 40 State Representative Pos. 2","Jeff Morris","(Prefers Democratic Party)","18003","77.17","Legislative District 40"
"Legislative District 40 State Representative Pos. 2","Howard Pellett","(Prefers Green  Party)","5325","22.83","Legislative District 40"
"Legislative District 42 State Representative Pos. 1","Doug Ericksen","(Prefers Republican Party)","39155","58.43","Legislative District 42"
"Legislative District 42 State Representative Pos. 1","Mark Flanders","(Prefers Democratic Party)","27855","41.57","Legislative District 42"
"Legislative District 42 State Representative Pos. 2","Kelli Linville","(Prefers Democratic Party)","40348","59.9","Legislative District 42"
"Legislative District 42 State Representative Pos. 2","Jere Hawn","(Prefers Republican Party)","27011","40.1","Legislative District 42"
"Supreme Court Justice Position 3","Mary Fairhurst","","66431","100","Supreme Court"
"Supreme Court Justice Position 4","Charles W. Johnson","","67005","100","Supreme Court"
"Supreme Court Justice Position 7","Debra L. Stephens","","66298","100","Supreme Court"
