"Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Statewide Initiative Measure 985 concerns transportation","Yes","","4844","28.82","Statewide"
"Statewide Initiative Measure 985 concerns transportation","No","","11965","71.18","Statewide"
"Statewide Initiative Measure 1000 concerns allowing certain terminally ill competent adults to obtain lethal prescriptions","Yes","","9664","56","Statewide"
"Statewide Initiative Measure 1000 concerns allowing certain terminally ill competent adults to obtain lethal prescriptions","No","","7593","44","Statewide"
"Statewide Initiative Measure 1029 concerns long-term care services for the elderly and persons with disabilities","Yes","","11626","68.56","Statewide"
"Statewide Initiative Measure 1029 concerns long-term care services for the elderly and persons with disabilities","No","","5332","31.44","Statewide"
"United States President/Vice President","Barack Obama / Joe Biden","Democratic Party Nominees","9070","51.57","United States"
"United States President/Vice President","John McCain / Sarah Palin","Republican Party Nominees","8104","46.07","United States"
"United States President/Vice President","Ralph Nader / Matt Gonzalez","Independent Candidates","205","1.17","United States"
"United States President/Vice President","Gloria La Riva / Eugene Puryear","Socialism & Liberation Party Nominees","8","0.05","United States"
"United States President/Vice President","James E. Harris / Alyson Kennedy","Socialist Workers Party Nominees","6","0.03","United States"
"United States President/Vice President","Bob Barr / Wayne A. Root","Libertarian Party Nominees","104","0.59","United States"
"United States President/Vice President","Chuck Baldwin / Darrell L. Castle","Constitution Party Nominees","66","0.38","United States"
"United States President/Vice President","Cynthia McKinney / Rosa Clemente","Green Party Nominees","26","0.15","United States"
"U.S. Congressional District 5 Representative","Cathy McMorris Rodgers","(Prefers Republican Party)","10492","62.34","U.S. Congressional District 5"
"U.S. Congressional District 5 Representative","Mark Mays","(Prefers Democratic Party)","6339","37.66","U.S. Congressional District 5"
"Washington State Governor","Christine Gregoire","(Prefers Democratic Party)","8363","48.46","Washington State"
"Washington State Governor","Dino Rossi","(Prefers G.O.P. Party)","8896","51.54","Washington State"
"Washington State Lt. Governor","Brad Owen","(Prefers Democratic Party)","9034","56.01","Washington State"
"Washington State Lt. Governor","Marcia McCraw","(Prefers Republican Party)","7096","43.99","Washington State"
"Washington State Secretary of State","Sam Reed","(Prefers Republican Party)","10058","62.04","Washington State"
"Washington State Secretary of State","Jason Osgood","(Prefers Democratic Party)","6154","37.96","Washington State"
"Washington State State Treasurer","Allan Martin","(Prefers Republican Party)","8695","54.43","Washington State"
"Washington State State Treasurer","Jim McIntire","(Prefers Democratic Party)","7281","45.57","Washington State"
"Washington State State Auditor","Brian Sonntag","(Prefers Democratic Party)","9060","56.63","Washington State"
"Washington State State Auditor","J. Richard (Dick) McEntee","(Prefers Republican Party)","6939","43.37","Washington State"
"Washington State Attorney General","Rob McKenna","(Prefers Republican Party)","10085","62.42","Washington State"
"Washington State Attorney General","John Ladenburg","(Prefers Democratic Party)","6071","37.58","Washington State"
"Washington State Commissioner of Public Lands","Doug Sutherland","(Prefers Republican Party)","8377","52.01","Washington State"
"Washington State Commissioner of Public Lands","Peter J. Goldmark","(Prefers Democratic Party)","7731","47.99","Washington State"
"Washington State Superintendent of Public Instruction","Teresa (Terry) Bergeson","","7383","50.7","Washington State"
"Washington State Superintendent of Public Instruction","Randy Dorn","","7180","49.3","Washington State"
"Washington State Insurance Commissioner","Mike Kreidler","(Prefers Democratic Party)","8259","53.46","Washington State"
"Washington State Insurance Commissioner","John R. Adams","(Prefers Republican Party)","7189","46.54","Washington State"
"Legislative District 9 State Senator","Mark G. Schoesler","(Prefers G.O.P. Party)","12551","100","Legislative District 9"
"Legislative District 9 State Representative Pos. 1","Steve Hailey","(Prefers G.O.P. Party)","9347","59.66","Legislative District 9"
"Legislative District 9 State Representative Pos. 1","Kenneth E. Caylor","(Prefers Democratic Party)","6319","40.34","Legislative District 9"
"Legislative District 9 State Representative Pos. 2","Joe Schmick","(Prefers Republican Party)","9463","59.19","Legislative District 9"
"Legislative District 9 State Representative Pos. 2","Tyana Kelley","(Prefers Democratic Party)","6525","40.81","Legislative District 9"
"COUNTYWIDE Commissioner #1","Greg Partch","(Prefers Republican Party)","11383","100","COUNTYWIDE"
"COUNTYWIDE Commissioner #2","Pat ONeill","(Prefers Democrat Party)","8125","52.39","COUNTYWIDE"
"COUNTYWIDE Commissioner #2","Gerald R "Jerry" Finch","(Prefers G.O.P. Party)","7385","47.61","COUNTYWIDE"
"Supreme Court Justice Position 3","Mary Fairhurst","","11716","100","Supreme Court"
"Supreme Court Justice Position 4","Charles W. Johnson","","11655","100","Supreme Court"
"Supreme Court Justice Position 7","Debra L. Stephens","","11710","100","Supreme Court"
"Whitman Superior Court Judge Position 1","David Frazier","","12789","100","Whitman Superior Court"
"CITY OF PALOUSE Proposition No. 1 Operation and Maintenance of the Swimming Pool","Yes","","419","72.12","CITY OF PALOUSE"
"CITY OF PALOUSE Proposition No. 1 Operation and Maintenance of the Swimming Pool","No","","162","27.88","CITY OF PALOUSE"
"CITY OF PALOUSE Proposition No. 2 Street Oiling and Street Improvements","Yes","","393","67.76","CITY OF PALOUSE"
"CITY OF PALOUSE Proposition No. 2 Street Oiling and Street Improvements","No","","187","32.24","CITY OF PALOUSE"
"CITY OF TEKOA Proposition No. 1 Operation and Maintenance for the Street Department","Yes","","236","63.78","CITY OF TEKOA"
"CITY OF TEKOA Proposition No. 1 Operation and Maintenance for the Street Department","No","","134","36.22","CITY OF TEKOA"
"ENDICOTT TOWN Proposition No. 1 Street Work and Maintenance","Yes","","125","71.02","ENDICOTT TOWN"
"ENDICOTT TOWN Proposition No. 1 Street Work and Maintenance","No","","51","28.98","ENDICOTT TOWN"
"ENDICOTT TOWN Proposition No. 2 Library Maintenance Fee","Yes","","120","67.42","ENDICOTT TOWN"
"ENDICOTT TOWN Proposition No. 2 Library Maintenance Fee","No","","58","32.58","ENDICOTT TOWN"
"ENDICOTT TOWN Proposition No. 3 City Park Maintenance","Yes","","108","61.36","ENDICOTT TOWN"
"ENDICOTT TOWN Proposition No. 3 City Park Maintenance","No","","68","38.64","ENDICOTT TOWN"
"FARMINGTON TOWN Proposition No. 1 City Street Maintenance","Yes","","47","59.49","FARMINGTON TOWN"
"FARMINGTON TOWN Proposition No. 1 City Street Maintenance","No","","32","40.51","FARMINGTON TOWN"
"FARMINGTON TOWN Proposition No. 2 Special Equipment Fund","Yes","","47","58.75","FARMINGTON TOWN"
"FARMINGTON TOWN Proposition No. 2 Special Equipment Fund","No","","33","41.25","FARMINGTON TOWN"
"GARFIELD TOWN Proposition No. 1 Annexing to Whitman County Library","Yes","","216","73.47","GARFIELD TOWN"
"GARFIELD TOWN Proposition No. 1 Annexing to Whitman County Library","No","","78","26.53","GARFIELD TOWN"
"GARFIELD TOWN Proposition 2 Street Maintenance and Repair","Yes","","167","55.12","GARFIELD TOWN"
"GARFIELD TOWN Proposition 2 Street Maintenance and Repair","No","","136","44.88","GARFIELD TOWN"
"OAKESDALE TOWN Proposition No. 1 Law Enforcement & Fire Protection","Yes","","183","68.03","OAKESDALE TOWN"
"OAKESDALE TOWN Proposition No. 1 Law Enforcement & Fire Protection","No","","86","31.97","OAKESDALE TOWN"
