"Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Statewide Initiative Measure 985 concerns transportation","Yes","","25208","33.99","Statewide"
"Statewide Initiative Measure 985 concerns transportation","No","","48950","66.01","Statewide"
"Statewide Initiative Measure 1000 concerns allowing certain terminally ill competent adults to obtain lethal prescriptions","Yes","","32037","42.3","Statewide"
"Statewide Initiative Measure 1000 concerns allowing certain terminally ill competent adults to obtain lethal prescriptions","No","","43699","57.7","Statewide"
"Statewide Initiative Measure 1029 concerns long-term care services for the elderly and persons with disabilities","Yes","","52352","70.17","Statewide"
"Statewide Initiative Measure 1029 concerns long-term care services for the elderly and persons with disabilities","No","","22258","29.83","Statewide"
"United States President/Vice President","Barack Obama / Joe Biden","Democratic Party Nominees","33792","43.85","United States"
"United States President/Vice President","John McCain / Sarah Palin","Republican Party Nominees","41946","54.43","United States"
"United States President/Vice President","Ralph Nader / Matt Gonzalez","Independent Candidates","683","0.89","United States"
"United States President/Vice President","Gloria La Riva / Eugene Puryear","Socialism & Liberation Party Nominees","23","0.03","United States"
"United States President/Vice President","James E. Harris / Alyson Kennedy","Socialist Workers Party Nominees","22","0.03","United States"
"United States President/Vice President","Bob Barr / Wayne A. Root","Libertarian Party Nominees","208","0.27","United States"
"United States President/Vice President","Chuck Baldwin / Darrell L. Castle","Constitution Party Nominees","327","0.42","United States"
"United States President/Vice President","Cynthia McKinney / Rosa Clemente","Green Party Nominees","61","0.08","United States"
"U.S. Congressional District 4 Representative","Doc Hastings","(Prefers Republican Party)","44154","58.48","U.S. Congressional District 4"
"U.S. Congressional District 4 Representative","George Fearing","(Prefers Democratic Party)","31348","41.52","U.S. Congressional District 4"
"Washington State Governor","Christine Gregoire","(Prefers Democratic Party)","30172","39.27","Washington State"
"Washington State Governor","Dino Rossi","(Prefers G.O.P. Party)","46667","60.73","Washington State"
"Washington State Lt. Governor","Brad Owen","(Prefers Democratic Party)","39316","53.4","Washington State"
"Washington State Lt. Governor","Marcia McCraw","(Prefers Republican Party)","34304","46.6","Washington State"
"Washington State Secretary of State","Sam Reed","(Prefers Republican Party)","48086","65.18","Washington State"
"Washington State Secretary of State","Jason Osgood","(Prefers Democratic Party)","25686","34.82","Washington State"
"Washington State State Treasurer","Allan Martin","(Prefers Republican Party)","40356","55.56","Washington State"
"Washington State State Treasurer","Jim McIntire","(Prefers Democratic Party)","32283","44.44","Washington State"
"Washington State State Auditor","Brian Sonntag","(Prefers Democratic Party)","37853","52.18","Washington State"
"Washington State State Auditor","J. Richard (Dick) McEntee","(Prefers Republican Party)","34684","47.82","Washington State"
"Washington State Attorney General","Rob McKenna","(Prefers Republican Party)","51260","68.97","Washington State"
"Washington State Attorney General","John Ladenburg","(Prefers Democratic Party)","23061","31.03","Washington State"
"Washington State Commissioner of Public Lands","Doug Sutherland","(Prefers Republican Party)","43261","59.69","Washington State"
"Washington State Commissioner of Public Lands","Peter J. Goldmark","(Prefers Democratic Party)","29216","40.31","Washington State"
"Washington State Superintendent of Public Instruction","Teresa (Terry) Bergeson","","36157","52.16","Washington State"
"Washington State Superintendent of Public Instruction","Randy Dorn","","33161","47.84","Washington State"
"Washington State Insurance Commissioner","Mike Kreidler","(Prefers Democratic Party)","35235","48.85","Washington State"
"Washington State Insurance Commissioner","John R. Adams","(Prefers Republican Party)","36901","51.15","Washington State"
"Legislative District 13 State Representative Pos. 1","Judith (Judy) Warnick","(Prefers Republican Party)","7137","100","Legislative District 13"
"Legislative District 13 State Representative Pos. 2","Bill Hinkle","(Prefers G.O.P. Party)","7052","100","Legislative District 13"
"Legislative District 14 State Senator","Curtis King","(Prefers Republican Party)","36984","100","Legislative District 14"
"Legislative District 14 State Representative Pos. 1","Vickie Ybarra","(Prefers Democratic Party)","20895","46.76","Legislative District 14"
"Legislative District 14 State Representative Pos. 1","Norm Johnson","(Prefers Republican Party)","23790","53.24","Legislative District 14"
"Legislative District 14 State Representative Pos. 2","Charles Ross","(Prefers Republican Party)","31175","71.19","Legislative District 14"
"Legislative District 14 State Representative Pos. 2","Christopher Ramirez","(Prefers Democratic Party)","12618","28.81","Legislative District 14"
"Legislative District 15 State Representative Pos. 1","Bruce Chandler","(Prefers Republican Party)","12600","60.21","Legislative District 15"
"Legislative District 15 State Representative Pos. 1","John (Jobs) Gotts","(Prefers Democratic Party)","8327","39.79","Legislative District 15"
"Legislative District 15 State Representative Pos. 2","Dan Newhouse","(Prefers Republican Party)","13352","63.54","Legislative District 15"
"Legislative District 15 State Representative Pos. 2","Tao Berman","(Prefers Democratic Party)","7662","36.46","Legislative District 15"
"Supreme Court Justice Position 3","Mary Fairhurst","","56667","100","Supreme Court"
"Supreme Court Justice Position 4","Charles W. Johnson","","56663","100","Supreme Court"
"Supreme Court Justice Position 7","Debra L. Stephens","","56430","100","Supreme Court"
"Court of Appeals, Division 3, District 3 Judge Position 1","Stephen M. Brown","","56721","100","Court of Appeals, Division 3, District 3"
