"","","","Number of Voters and Percents","","","",""
"","","","P r e c i n c t","A b s e n t e e","","%  o f","%  o f"
"C o u n t y","Precincts","Eligible","R e g i s t e r e d
V o t e r s","V o t e r s","B a l l o t s  C a s t","R e g i s t e r e d","Eligible"
"A l a m e d a","1,120","9 7 5 , 0 7 8","6 6 9 , 9 1 8            407,593","94,452","502,045","74.94%","5 1 . 4 9 %"
"","5","961","771                     -","597","597","77.43%","6 2 . 1 2 %"
"A l p i n e","","","","","","",""
"A m a d o r","57","2 2 , 9 5 0","1 8 , 8 5 6              10,685","4,931","15,616","82.82%","6 8 . 0 4 %"
"B u t t e","184","1 5 0 , 8 2 3","1 1 3 , 5 7 6              59,616","24,632","84,248","74.18%","5 5 . 8 6 %"
"C a l a v e r a s","36","2 9 , 8 9 1","2 4 , 7 9 1              11,921","7,076","18,997","76.63%","6 3 . 5 5 %"
"C o l u s a","18","1 0 , 5 9 2","7,504               4,158","1,614","5,772","76.92%","5 4 . 4 9 %"
"","1,078","6 5 4 , 0 9 6","4 9 4 , 9 5 4            275,662","108,638","384,300","77.64%","5 8 . 7 5 %"
"C o n t r a  C o s t a","","","","","","",""
"","18","1 6 , 2 0 3","1 2 , 7 7 3                5,712","2,671","8,383","65.63%","5 1 . 7 4 %"
"D e l  N o r t e","","","","","","",""
"E l  D o r a d o","208","1 1 2 , 6 0 6","9 4 , 2 7 8              52,454","20,139","72,593","77.00%","6 4 . 4 7 %"
"F r e s n o","574","4 7 3 , 1 4 5","3 2 9 , 1 1 5            153,180","69,227","222,407","67.58%","4 7 . 0 1 %"
"G l e n n","22","1 7 , 1 8 2","1 1 , 6 2 2                6,443","2,377","8,820","75.89%","5 1 . 3 3 %"
"","121","9 4 , 2 6 1","7 7 , 8 3 0              44,070","12,323","56,393","72.46%","5 9 . 8 3 %"
"H u m b o l d t","","","","","","",""
"","76","6 7 , 4 1 6","5 0 , 0 3 0              24,935","4,513","29,448","58.86%","4 3 . 6 8 %"
"I m p e r i a l","","","","","","",""
"I n y o","31","1 3 , 4 0 3","1 0 , 2 8 5                5,811","2,095","7,906","76.87%","5 8 . 9 9 %"
"Kern","561","4 0 4 , 5 5 8","2 7 1 , 7 3 0            145,490","38,547","184,037","67.73%","4 5 . 4 9 %"
"K i n g s","211","7 0 , 1 7 7","4 4 , 9 1 2              23,437","5,341","28,778","64.08%","4 1 . 0 1 %"
"L a k e","59","4 2 , 7 9 3","3 0 , 8 5 4              15,343","6,231","21,574","69.92%","5 0 . 4 1 %"
"","37","1 4 , 9 4 1","1 3 , 5 3 9                8,304","2,351","10,655","78.70%","7 1 . 3 1 %"
"L a s s e n","","","","","","",""
"L o s  A n g e l e s","4,963","5,367,115","4,075,037        2,226,784","543,143","2,769,927","67.97%","5 1 . 6 1 %"
"M a d e r a","89","6 5 , 2 8 4","4 6 , 4 9 5              22,949","10,780","33,729","72.54%","5 1 . 6 7 %"
"M a r i n","208","1 8 5 , 2 9 8","1 4 6 , 1 5 2              94,242","29,439","123,681","84.62%","6 6 . 7 5 %"
"M a r i p o s a","21","1 2 , 3 4 8","1 0 , 6 7 1                5,794","2,407","8,201","76.85%","6 6 . 4 2 %"
"","93","6 0 , 8 5 6","4 9 , 1 4 5              27,252","7,701","34,953","71.12%","5 7 . 4 4 %"
"M e n d o c i n o","","","","","","",""
"M e r c e d","91","1 1 1 , 4 7 8","8 3 , 3 0 9              39,881","11,214","51,095","61.33%","4 5 . 8 3 %"
"M o d o c","20","7 , 0 0 9","5,442               3,334","855","4,189","76.98%","5 9 . 7 7 %"
"M o n o","13","7 , 7 2 8","6,017               3,429","1,041","4,470","74.29%","5 7 . 8 4 %"
"","188","2 4 3 , 6 1 3","1 6 0 , 3 4 2              73,628","45,091","118,719","74.04%","4 8 . 7 3 %"
"M o n t e r e y","","","","","","",""
"","113","9 1 , 9 6 6","6 7 , 2 7 7              38,937","13,233","52,170","77.55%","5 6 . 7 3 %"
"N a p a","","","","","","",""
"N e v a d a","119","7 0 , 8 8 9","5 9 , 7 2 5              33,934","14,044","47,978","80.33%","6 7 . 6 8 %"
"O r a n g e","2,039","1,786,038","1,342,746           727,128","251,157","978,285","72.86%","5 4 . 7 7 %"
"P l a c e r","331","1 7 4 , 9 4 2","1 4 5 , 5 0 9              83,009","35,422","118,431","81.39%","6 7 . 7 0 %"
"","29","1 5 , 3 6 0","1 2 , 7 8 9                6,910","3,633","10,543","82.44%","6 8 . 6 4 %"
"P l u m a s","","","","","","",""
"","1,093","1,007,246","6 3 4 , 1 2 6            340,408","114,669","455,077","71.76%","4 5 . 1 8 %"
"R i v e r s i d e","","","","","","",""
"S a c r a m e n t o","1,033","8 4 9 , 3 7 2","6 1 1 , 0 1 4            336,835","102,049","438,884","71.83%","5 1 . 6 7 %"
"S a n  B e n i t o","64","3 1 , 0 0 9","2 6 , 5 3 4              13,909","3,056","16,965","63.94%","5 4 . 7 1 %"
"S a n  B e r n a r d i n o","796","1,088,398","6 9 1 , 5 4 8            369,045","95,357","464,402","67.15%","4 2 . 6 7 %"
"S a n  D i e g o","3,568","1,975,413","1,411,672           691,903","286,666","978,569","69.32%","4 9 . 5 4 %"
"","647","5 3 3 , 1 5 3","4 8 6 , 6 3 6            241,193","82,838","324,031","66.59%","6 0 . 7 8 %"
"S a n  F r a n c i s c o","","","","","","",""
"S a n  J o a q u i n","475","3 4 5 , 2 5 7","2 3 3 , 9 8 9            124,589","44,254","168,843","72.16%","4 8 . 9 0 %"
"S a n  L u i s  O b i s p o","195","1 7 8 , 7 0 7","1 4 2 , 6 3 3              65,738","44,023","109,761","76.95%","6 1 . 4 2 %"
"S a n  M a t e o","522","4 8 8 , 3 7 2","3 3 8 , 6 0 8            177,545","83,752","261,297","77.17%","5 3 . 5 0 %"
"S a n t a  B a r b a r a","417","2 8 0 , 3 9 3","2 2 0 , 2 7 4            105,529","50,601","156,130","70.88%","5 5 . 6 8 %"
"","1,341","1,115,840","7 8 9 , 3 3 2            442,734","115,225","557,959","70.69%","5 0 . 0 0 %"
"Santa Clara","","","","","","",""
"S a n t a  C r u z","269","1 7 3 , 0 3 3","1 4 5 , 2 1 4              78,878","30,388","109,266","75.24%","6 3 . 1 5 %"
"Shasta","149","1 2 1 , 7 1 2","8 6 , 9 2 4              45,289","22,116","67,405","77.54%","5 5 . 3 8 %"
