"","","","Precinct","Absentee","","% of","% of"
"County","Precincts","Eligible","Registered
Voters","Voters","Ballots Cast","Registered","Eligible"
"","5 9","5 0 , 4 8 9","3 7 , 5 7 0              1 7 , 9 0 9","9 , 1 1 6","2 7 , 0 2 5","7 1 . 9 3 %","5 3 . 5 3 %"
"S u t t e r","","","","","","",""
"","4 7","3 9 , 5 6 8","2 7 , 2 8 8              1 6 , 0 9 5","4 , 9 8 7","2 1 , 0 8 2","7 7 . 2 6 %","5 3 . 2 8 %"
"T e h a m a","","","","","","",""
"T r i n i t y","2 6","9 , 7 3 3","7 , 8 5 8                3 , 4 3 6","2 , 4 2 3","5 , 8 5 9","7 4 . 5 6 %","6 0 . 2 0 %"
"T u l a r e","2 4 1","2 1 3 , 3 1 4","1 2 9 , 8 1 6              7 1 , 8 3 2","1 8 , 6 5 0","9 0 , 4 8 2","6 9 . 7 0 %","4 2 . 4 2 %"
"T u o l u m n e","7 1","3 3 , 6 9 5","3 1 , 2 4 0              1 7 , 7 9 0","6 , 1 2 8","2 3 , 9 1 8","7 6 . 5 6 %","7 0 . 9 8 %"
"V e n t u r a","6 2 5","4 9 1 , 1 3 5","3 8 7 , 0 7 5            2 0 0 , 3 0 3","8 4 , 7 3 5","2 8 5 , 0 3 8","7 3 . 6 4 %","5 8 . 0 4 %"
"Y o l o","1 3 7","1 1 3 , 1 5 9","8 3 , 3 8 5              4 6 , 2 8 2","1 5 , 6 6 8","6 1 , 9 5 0","7 4 . 2 9 %","5 4 . 7 5 %"
"Y u b a","4 3","3 9 , 9 4 7","2 5 , 2 1 3              1 1 , 9 3 9","4 , 3 6 3","1 6 , 3 0 2","6 4 . 6 6 %","4 0 . 8 1 %"
"S t a t e   T o t a l","2 5 , 7 0 2","2 1 , 4 6 1 , 2 7 5","1 5 , 7 0 7 , 3 0 7  
       8 , 4 0 3 , 6 8 8","2 , 7 3 9 , 1 5 5","1 1 , 1 4 2 , 8 4 3","7 0 . 9 4 %","5 1 . 9 2 %"
"","","","7 5 . 4 2 %","2 4 . 5 8 %","","",""
