"","","","VOTER PARTICIPATION STATISTICS BY COUNTY","","","","","",""
"County","Number of","Eligible to","Registered","Precinct","Vote-By-Mail","Total","Percent of","Turnout","Turnout"
"","Precincts","Register","Voters","Voters","Voters","","Voters Vote-By-Mail  Registered","","Eligible"
"","","","","","","","Voters","",""
"Alameda","1,100","1,004,357","810,836","269,030","333,449","602,479","55.35%","74.30%","59.99%"
"Alpine","5","869","773","0","656","656","100.00%","84.86%","75.49%"
"Amador","59","27,395","21,503","6,943","10,943","17,886","61.18%","83.18%","65.29%"
"Butte","155","166,679","122,554","34,944","56,778","91,722","61.90%","74.84%","55.03%"
"Calaveras","36","35,672","29,014","7,274","14,803","22,077","67.05%","76.09%","61.89%"
"Colusa","18","12,364","7,765","2,692","3,400","6,092","55.81%","78.45%","49.27%"
"Contra Costa","834","703,217","556,351","196,190","245,953","442,143","55.63%","79.47%","62.87%"
"Del Norte","18","18,250","12,516","3,620","5,259","8,879","59.23%","70.94%","48.65%"
"El Dorado","158","134,289","110,634","25,607","63,994","89,601","71.42%","80.99%","66.72%"
"Fresno","611","559,268","410,188","119,543","142,109","261,652","54.31%","63.79%","46.78%"
"Glenn","34","18,059","12,542","2,417","6,917","9,334","74.11%","74.42%","51.69%"
"Humboldt","129","104,544","80,038","27,915","30,177","58,092","51.95%","72.58%","55.57%"
"Imperial","159","92,947","61,086","19,785","19,750","39,535","49.96%","64.72%","42.53%"
"Inyo","24","13,583","9,956","2,967","5,179","8,146","63.58%","81.82%","59.97%"
"Kern","583","485,910","332,864","97,670","126,328","223,998","56.40%","67.29%","46.10%"
"Kings","182","77,937","47,655","7,747","24,294","32,041","75.82%","67.24%","41.11%"
"Lake","70","47,135","34,936","8,987","14,698","23,685","62.06%","67.80%","50.25%"
"Lassen","55","18,671","14,130","2,707","8,103","10,810","74.96%","76.50%","57.90%"
"Los Angeles","4,993","5,976,156","4,758,437","2,260,876","975,828","3,236,704","30.15%","68.02%","54.16%"
"Madera","96","86,894","53,779","15,658","24,667","40,325","61.17%","74.98%","46.41%"
"Marin","194","176,604","155,025","47,329","88,109","135,438","65.05%","87.37%","76.69%"
"Mariposa","25","14,443","10,792","3,816","5,286","9,102","58.08%","84.34%","63.02%"
"Mendocino","247","62,910","49,765","7,046","29,034","36,080","80.47%","72.50%","57.35%"
"Merced","126","147,138","98,890","29,727","33,077","62,804","52.67%","63.51%","42.68%"
"Modoc","21","7,301","5,359","1,225","2,836","4,061","69.84%","75.78%","55.62%"
"Mono","13","9,917","5,983","2,096","3,127","5,223","59.87%","87.30%","52.67%"
"Monterey","189","232,233","166,290","37,078","87,824","124,902","70.31%","75.11%","53.78%"
"Napa","167","91,138","72,592","6,251","51,421","57,672","89.16%","79.45%","63.28%"
"Nevada","140","76,187","62,853","13,798","38,375","52,173","73.55%","83.01%","68.48%"
