"","","VOTER PARTICIPATION STATISTICS BY COUNTY","","","","","","",""
"County","Number of","Eligible to","Registered","Precinct","Vote-By-Mail","Total","Percent of","Turnout","Turnout"
"","Precincts","Register","Voters","Voters","Voters","Voters","Vote-By-Mail","Registered","Eligible"
"","","","","","","","Voters","",""
"Alameda","1,118","1,065,162","833,803","147,663","263,684","411,347","64.10%","49.33%","38.62%"
"Alpine","5","950","717","0","525","525","100.00%","73.22%","55.26%"
"Amador","29","28,117","21,266","4,154","8,682","12,836","67.64%","60.36%","45.65%"
"Butte","140","168,838","124,771","18,659","47,919","66,578","71.97%","53.36%","39.43%"
"Calaveras","29","36,122","27,532","4,101","11,528","15,629","73.76%","56.77%","43.27%"
"Colusa","18","12,479","8,019","1,531","2,798","4,329","64.63%","53.98%","34.69%"
"Contra Costa","656","740,367","556,570","99,485","178,642","278,127","64.23%","49.97%","37.57%"
"Del Norte","18","18,073","13,585","2,184","4,001","6,185","64.69%","45.53%","34.22%"
"El Dorado","102","136,827","109,479","13,601","50,678","64,279","78.84%","58.71%","46.98%"
"Fresno","510","580,678","414,976","67,266","102,067","169,333","60.28%","40.81%","29.16%"
"Glenn","34","18,440","12,195","1,153","5,018","6,171","81.32%","50.60%","33.47%"
"Humboldt","121","105,117","79,037","21,301","20,692","41,993","49.27%","53.13%","39.95%"
"Imperial","169","97,235","63,185","9,450","14,447","23,897","60.46%","37.82%","24.58%"
"Inyo","21","13,760","9,697","1,686","3,965","5,651","70.16%","58.28%","41.07%"
"Kern","500","505,400","340,603","47,579","91,314","138,893","65.74%","40.78%","27.48%"
"Kings","182","79,835","48,504","3,687","16,074","19,761","81.34%","40.74%","24.75%"
"Lake","70","48,604","32,796","5,042","11,670","16,712","69.83%","50.96%","34.38%"
"Lassen","51","16,785","13,434","4,090","3,089","7,179","43.03%","53.44%","42.77%"
"Los Angeles","4,698","6,199,606","4,909,904","1,303,989","722,079","2,026,068","35.64%","41.26%","32.68%"
"Madera","77","87,117","54,017","8,278","18,663","26,941","69.27%","49.88%","30.93%"
"Marin","176","181,022","151,874","31,287","71,725","103,012","69.63%","67.83%","56.91%"
"Mariposa","25","14,962","10,519","1,751","4,679","6,430","72.77%","61.13%","42.98%"
"Mendocino","250","63,670","48,935","4,249","23,807","28,056","84.86%","57.33%","44.06%"
"Merced","266","154,443","92,296","18,575","20,292","38,867","52.21%","42.11%","25.17%"
"Modoc","21","7,386","5,076","704","1,919","2,623","73.16%","51.67%","35.51%"
"Mono","12","9,424","5,883","1,456","2,212","3,668","60.31%","62.35%","38.92%"
"Monterey","192","241,516","174,674","22,004","65,017","87,021","74.71%","49.82%","36.03%"
"Napa","167","93,331","72,461","2,150","41,300","43,450","95.05%","59.96%","46.55%"
"Nevada","80","77,440","66,149","10,572","34,595","45,167","76.59%","68.28%","58.33%"
"Orange","1,597","2,000,797","1,395,380","283,619","408,183","691,802","59.00%","49.58%","34.58%"
