"","","","VOTER PARTICIPATION STATISTICS BY COUNTY","","","","","",""
"County","Number of","Eligible to","Registered","Precinct","Vote-By-Mail","Total","Percent of","Turnout","Turnout"
"","Precincts","Register","Voters","Voters*","Voters","Voters","Vote-By-Mail","Registered","Eligible"
"","","","","","","","Voters","",""
"Alameda","1,156","1,085,364","854,217","89,588","250,039","339,627","73.62%","39.76%","31.29%"
"Alpine","5","939","735","0**","416","416","100.00%","56.60%","44.30%"
"Amador","30","27,103","21,875","3,755","9,413","13,168","71.48%","60.20%","48.59%"
"Butte","121","171,386","116,743","12,586","43,360","55,946","77.50%","47.92%","32.64%"
"Calaveras","29","36,104","28,449","4,019","11,975","15,994","74.87%","56.22%","44.30%"
"Colusa","18","12,540","8,433","1,517","2,121","3,638","58.30%","43.14%","29.01%"
"Contra Costa","702","756,827","602,219","67,773","171,855","239,628","71.72%","39.79%","31.66%"
"Del Norte","18","17,889","14,141","1,796","3,676","5,472","67.18%","38.70%","30.59%"
"El Dorado","94","140,569","115,431","10,740","46,724","57,464","81.31%","49.78%","40.88%"
"Fresno","481","594,711","440,617","47,937","88,451","136,388","64.85%","30.95%","22.93%"
"Glenn","34","18,497","12,299","922","4,202","5,124","82.01%","41.66%","27.70%"
"Humboldt","126","105,676","75,978","11,475","20,653","32,128","64.28%","42.29%","30.40%"
"Imperial","216","100,364","68,147","6,616","12,827","19,443","65.97%","28.53%","19.37%"
"Inyo","22","13,695","9,683","1,634","4,285","5,919","72.39%","61.13%","43.22%"
"Kern","527","516,274","364,280","35,817","81,547","117,364","69.48%","32.22%","22.73%"
"Kings","86","79,873","51,546","2,707","14,092","16,799","83.89%","32.59%","21.03%"
"Lake","70","49,352","32,805","3,917","10,202","14,119","72.26%","43.04%","28.61%"
"Lassen","51","16,695","14,156","3,506","2,880","6,386","45.10%","45.11%","38.25%"
"Los Angeles","4,357","6,216,686","5,149,461","825,427","665,075","1,490,502","44.62%","28.94%","23.98%"
"Madera","69","89,532","54,848","1,995","22,216","24,211","91.76%","44.14%","27.04%"
"Marin","147","182,555","155,591","23,044","63,927","86,971","73.50%","55.90%","47.64%"
"Mariposa","25","14,937","10,584","1,671","4,519","6,190","73.00%","58.48%","41.44%"
"Mendocino","250","64,340","47,487","3,066","19,830","22,896","86.61%","48.22%","35.59%"
"Merced","268","159,750","91,970","13,979","18,818","32,797","57.38%","35.66%","20.53%"
"Modoc","21","7,374","5,134","757","2,211","2,968","74.49%","57.81%","40.25%"
"Mono","12","9,522","6,169","1,244","2,214","3,458","64.03%","56.05%","36.32%"
"Monterey","179","244,592","180,266","14,662","52,338","67,000","78.12%","37.17%","27.39%"
"Napa","170","92,519","76,211","4","37,521","37,525","99.99%","49.24%","40.56%"
"Nevada","39","78,420","68,126","1,761","37,031","38,792","95.46%","56.94%","49.47%"
"Orange","1,561","2,022,355","1,482,036","226,848","408,376","635,224","64.29%","42.86%","31.41%"
