state	county	assigned to	bc16	bc_dem16	pres16	pres_dem16	early16	early_dem16	vbm16	vbm_dem16	bc20	bc_dem20	pres20	pres_dem20	vbm20	vbm_dem20	early20	early_dem20	still_processing	statement_of_vote	contact_name	email_address	phone_number	contact_status	website	contact_status2
il	adams		17946	3599																						
il	alexander		2021	1480																						
il	bond		4479	1638																						
il	boone		14691	4790																						
il	brown		1357	349																						
il	bureau		9107	3467																						
il	calhoun		1810	1122																						
il	carroll		4980	1296																						
il	cass		2724	1120																						
il	champaign		59003	32352																						
il	christian		8533	3086																						
il	clark		4954	1295																						
il	clay		3588	883																						
il	clinton		8072	2233																						
il	coles		12890	4321																						
il	cook		1512348	1197073																						
il	crawford		4875	1232																						
il	cumberland		3756	959																						
il	dekalb		26517	12571																						
il	dewitt		5205	1254																						
il	douglas		5344	1166																						
il	dupage		289589	126761																						
il	edgar		4728	961																						
il	edwards		2326	316																						
il	effingham		10166	2185																						
il	fayette		5363	1326																						
il	ford		4198	742																						
il	franklin		11660	5764																						
il	fulton		9445	4852																						
il	gallatin		2393	1821																						
il	greene		3394	1188																						
il	grundy		13115	5286																						
il	hamilton		2821	1157																						
il	hancock		4773	1127																						
il	hardin		1395	444																						
il	henderson		1890	665																						
il	henry		13142	4301																						
il	iroquois		8210	1469																						
il	jackson		13587	7674																						
il	jasper		3082	867																						
il	jefferson		11047	3755																						
il	jersey		6078	2010																						
il	jodaviess		6963	2600																						
il	johnson		4091	825																						
il	kane		114192	54501																						
il	kankakee		25982	10821																						
il	kendall		31079	13551																						
il	knox		13345	6401																						
il	lake		182851	95950																						
il	lasalle		27728	12317																						
il	lawrence		3631	923																						
il	lee		9742	3315																						
il	livingston		11100	1933																						
il	logan		7949	1745																						
il	macon		27774	11171																						
il	macoupin		14730	6826																						
il	madison		72740	35853																						
il	marion		9710	3544																						
il	marshall		4399	1176																						
il	mason		3617	1434																						
il	massac		4139	1087																						
il	mcdonough		6973	2572																						
il	mchenry		88950	34172																						
il	mclean		52686	20906																						
il	menard		3746	908																						
il	mercer		4583	1882																						
il	monroe		11259	3314																						
il	montgomery		8486	2668																						
il	morgan		8763	2285																						
il	moultrie		3834	1068																						
il	ogle		15757	4481																						
il	peoria		48014	22232																						
il	perry		5120	1896																						
il	piatt		6780	1850																						
il	pike		4401	1029																						
il	pope		1336	309																						
il	pulaski		1642	645																						
il	putnam		1929	1066																						
il	randolph		7329	3124																						
il	richland		4118	1053																						
il	rock island		34567	20159																						
il	saline		6891	2611																						
il	sangamon		55764	19971																						
il	schuyler		2270	695																						
il	scott		1488	335																						
il	shelby		6753	1844																						
il	st. clair		70138	41081																						
il	stark		1597	423																						
il	stephenson		12854	4085																						
il	tazewell		40896	13318																						
il	union		5360	2268																						
il	vermilion		17506	6095																						
il	wabash		3078	752																						
il	warren		4585	1493																						
il	washington		4354	1059																						
il	wayne		5613	806																						
il	white		4015	1211																						
il	whiteside		13056	6071																						
il	will		177799	91491																						
il	williamson		18560	7612																						
il	winnebago		71089	32272																						
il	woodford		13657	2950																						
ca	alameda	dan	411347			320421	0	0	263684		469968			370116	334875		0	0								done
ca	alpine	dan	525			252	0	0	525		510			307	510		0	0					530-694-2281	answered call, all-mail election		done
ca	amador	dan	12836			4990	0	0	8682		15703			5652	15029		0	0								done
ca	butte	dan	66578			31820	0	0	47919		67539				66351		0	0				elections@buttecounty.net	(530)552-3400, Option 1	spoke w someone, very confusing answer		done
ca	calaveras	dan	15629			6008	0	0	11528		19089			6450	17634		0	0				https://calaverasgov.us/Feedback/Elections	(209) 754-6376	got answer over phone		done
ca	colusa	dan	4329			1692	0	0	2798		4883			1610	3638		0	0			Rose Gallo-Vasquez, Yvonne Mayberry, Jackie Olivares, Celia Su	ccclerk@countyofcolusa.org; ymayberry@countyofcolusa.com; jolivares@countyofcolusa.org; csu@countyofcolusa.org	(530) 458-0500	found on site		done
ca	contra costa	dan	278127			182277	0	0	178642		330514			215713	246041		0	0				voter.services@vote.cccounty.us	(925) 335-7800	answer over phone		done
ca	del norte	dan	6185			2772	0	0	4001		7125			2923	5253		0	0			Alissia Northrup		(707) 464-7216	answered call and question		done
ca	el dorado	dan	64279			25425	0	0	50678		75708			29087	70764		0	0				elections@edcgov.us	(530) 621-7480	email sent		done
ca	fresno	dan	169333			81097	0	0	102067		199118			89215	172603		0	0				Clerk-Elections@fresnocountyca.gov	(559) 600-8683	email sent		done
ca	glenn	dan	6171			1948	0	0	5018		6986			2068	2715		0	0								done
ca	humboldt	dan	41993			28303	0	0	20692		43152			24646	26515		0	0								done
