"","","","Michael","","","",""
"Bruce","Chris","Donald","J.","Kitty K.","Randall","Leavitt &","Orton &"
"Bangerter","Cannon","Dunn","Lehman","Burton","Tolpinrud","Walker","Hale"
"""IA""","""R""","""D""","""IA""","""L""","""NL""","""R""","""D"""
"","","","","","","1396","798"
"","","","","","","9910","5107"
"","","","","","","23949","8264"
"","2711","4337","103","82","25","2566","4630"
"","237","146","3","2","2","246","175"
"","","","","","","54324","30972"
"","2996","1367","60","81","7","2597","1857"
"","2610","1670","101","41","6","2493","1867"
"","1470","391","36","19","7","1224","629"
"","1754","1439","94","128","80","1630","1771"
"","","","","","","8472","3450"
"","","","","","","1524","1134"
"","2034","573","75","29","14","1881","760"
"","","","","","","2862","1733"
"","1940","1054","63","37","9","1862","1243"
"","505","191","2","5","0","536","211"
"","","","","","","553","341"
"4704","18461","24949","1120","974","173","141698","157564"
"","2522","1986","125","68","22","2213","2424"
"","4588","2292","293","94","19","4498","2596"
"","4833","1862","147","75","19","4858","1971"
"","4646","6672","188","209","92","4914","6819"
"","","","","","","6318","5804"
"","5633","2210","173","116","23","5026","3018"
"","78138","34771","2763","1519","324","79626","36202"
"","3070","2332","87","88","22","2895","2662"
"","","","","","","21693","9059"
"","795","305","3","3","8","733","450"
"","","","","","","32340","28468"
"4704","138943","88547","5436","3570","852","424837","321979"
"0.02","0.59","0.37","0.02","0.02","0","0.56","0.42"
