"","","","","","Gore &","Browne &","Phillips &"
"","REGISTERED","NUMBER","Bush & Cheney","","Lieberman","Oliver","Frazier"
"COUNTY","VOTERS","VOTING","""R""","","""D""","""L""","""IA"""
"Beaver","3296","2331","","1653","541","2","3"
"Box Elder","25875","15848","","12288","2555","66","44"
"Cache","53237","33880","","25920","5170","121","92"
"Carbon","12209","7570","","3758","3298","19","27"
"Daggett","641","442","","317","104","1","0"
"Davis","132770","89127","","64375","18845","353","295"
"Duchesne","7209","4786","","3622","779","12","12"
"Emery","6198","4533","","3243","958","12","13"
"Garfield","2893","2075","","1719","178","5","8"
"Grand","6584","3718","","1822","1158","30","12"
"Iron","18515","12760","","10106","1789","58","82"
"Juab","4265","2883","","2023","619","5","21"
"Kane","4136","2868","","2254","387","14","9"
"Millard","7748","4942","","3850","696","14","37"
"Morgan","4860","3381","","2464","553","7","12"
"Piute","964","798","","626","133","1","2"
"Rich","1297","920","","736","152","0","0"
"Salt Lake","444186","312098","","171585","107576","1699","896"
"San Juan","8500","4836","","2721","1838","12","20"
"Sanpete","11898","7776","","5781","1211","20","115"
"Sevier","9388","7261","","5763","1046","17","43"
"Summit","19633","12276","","6168","4601","61","14"
"Tooele","20137","12743","","7807","4001","53","42"
"Uintah","12516","8558","","6733","1387","25","28"
"Utah","157182","122209","","98255","16445","521","540"
"Wasatch","10423","5822","","3819","1476","28","17"
"Washingto","","","","","","",""
"n","47602","32760","","25481","5465","214","148"
"Wayne","1785","1288","","953","202","4","0"
"Weber","87291","64093","","39254","19890","242","177"
"TOTAL","1123238","784582","","515096","203053","3616","2709"
"PERCEN","","","","","","",""
"TAGE","1","0.6985","","0.6683","0.2634","0.0047","0.0035"
