"","2006 General Election- U.S. Senate","","","","","","U.S. Senate","","","",""
"","","","","Pete","Scott N.","Julian","Orrin G.","Roger I.","","",""
"","REGISTERED","BALLOTS","","","","","","","","",""
"","","","","Ashdown","Bradley","Hatch","Hatch","Price","Dave","S. Toney",""
"COUNTY","VOTERS","CAST","PERCENT","""D""","""C""","""DG""","""R""","""PC""","Seely   ""L""","Write-in",""
"Beaver","3,962","2,345","59.19%","435","81","6","1,688","66","17","","0"
"Box Elder","25,424","13,004","51.15%","2374","620","56","9,422","222","67","","0"
"Cache","67,563","21,588","31.95%","4,412","1,692","126","14,611","227","127","","0"
"Carbon","15,095","5,005","33.16%","2,255","73","27","2,408","83","29","","0"
"Daggett","769","597","77.63%","127","16","4","402","8","1","","0"
"Davis","146,774","61,947","42.21%","14,632","2,268","186","43,023","480","420","","0"
"Duchesne","9,684","4,074","42.00%","574","132","22","3,098","113","23","","0"
"Emery","7,128","3,917","54.54%","780","62","14","2,764","145","40","","0"
"Garfield","2,844","1,715","60.30%","253","36","11","1,324","26","8","","0"
"Grand","7,887","3,013","38.20%","1,272","42","70","1,425","68","44","","0"
"Iron","21,808","10,128","46.44%","1,701","593","62","7,274","170","58","","0"
"Juab","6,620","3,403","51.40%","729","213","9","2,200","80","29","","0"
"Kane","4,230","2,429","57.42%","518","54","15","1,701","37","28","","0"
"Millard","6,580","3,971","60.35%","626","438","7","2,667","130","19","","0"
"Morgan","6,102","3,468","56.83%","577","103","20","2,558","128","17","","0"
"Piute","982","752","76.58%","99","25","5","595","8","2","","0"
"Rich","1,481","857","57.86%","86","15","4","702","28","0","","0"
"Salt Lake","491,108","226,939","46.21%","96,779","5,705","1,021","113,359","4,076","1,883","","0"
"San Juan","6,831","4,052","59.32%","1,220","91","50","2,529","46","41","","0"
"Sanpete","12,170","6,677","54.86%","1,094","560","25","4,726","140","22","","0"
"Sevier","11,383","5,899","51.82%","830","254","19","4,324","253","39","","0"
"Summit","24,558","11,229","45.72%","5,322","152","69","4,980","397","123","","0"
"Tooele","30,856","12,387","40.14%","3,438","545","61","7,794","250","90","","0"
"Uintah","17,804","6,141","34.49%","815","321","30","4,690","85","34","","0"
"Utah","199,622","87,271","43.72%","14,464","4,734","237","65,413","444","551","","0"
"Wasatch","13,929","6,102","43.81%","1,587","178","19","4,062","129","31","","0"
"Washington","61,089","29,963","49.05%","6,220","1,160","127","20,746","338","387","","0"
"Wayne","1,766","1,192","67.50%","210","29","15","890","16","7","","0"
"Weber","96,356","42,496","44.10%","14,030","1,334","195","24,863","896","291","","0"
"TOTAL","1,302,405","582,561","44.73%","177,459","21,526","2,512","356,238","9,089","4,428","","0"
