county	year	prim_or_gen	registered	ballots_cast	vote_pres_dem	vote_pres_rep	vote_pres_other	vote_gov_rep	vote_gov_dem	vote_gov_other	vote_sen_dem	vote_sen_rep	vote_sen_other
Beaver	2018	general	3,079	2,177							298	1,620	
Box Elder	2018	general	25,648	19,254							2,603	14,803	
Cache	2018	general	56,211	40,622							8,854	28,344	
Carbon	2018	general	9,949	7,085							1,879	4,387	
Daggett	2018	general	584	444							80	335	
Davis	2018	general	165,974	126,856							29,249	86,840	
Duchesne	2018	general	8,575	5,868							569	4,522	
Emery	2018	general	5,265	3,972							509	3,033	
Garfield	2018	general	2,720	2,198							388	1,626	
Grand	2018	general	5,208	4,401							2,138	1,935	
Iron	2018	general	21,693	16,067							2,846	11,286	
Juab	2018	general	5,930	4,262							492	3,320	
Kane	2018	general	3,990	3,172							746	2,135	
Millard	2018	general	5,967	4,699							512	3,672	
Morgan	2018	general	6,362	5,179							600	4,144	
Piute	2018	general	922	709							77	524	
Rich	2018	general	1,350	1,121							124	911	
Salt Lake	2018	general	533,924	423,948							186,856	207,719	
San Juan	2018	general	7,232	5,566							2,096	2,934	
Sanpete	2018	general	12,035	9,370							1,139	7,367	
Sevier	2018	general	9,839	7,450							771	5,810	
Summit	2018	general	25,798	20,471							10,229	9,170	
Tooele	2018	general	31,289	22,380							5,491	14,407	
Uintah	2018	general	14,536	10,519							1,135	7,946	
Utah	2018	general	264,845	178,119							28,856	135,240	
Wasatch	2018	general	16,351	12,375							3,467	8,126	
Washington	2018	general	80,787	61,468							11,757	42,602	
Wayne	2018	general	1,666	1,394							267	999	
Weber	2018	general	105,769	81,826							24,513	49,458	
Beaver	2016	general	3,120	2,532	264	1,838	389	2,033	324	109	295	2,075	
Box Elder	2016	general	27,025	20,014	2,282	12,230	5,223	16,084	2,564	992	2,328	16,240	
Cache	2016	general	55,126	47,110	8,563	21,139	16,445	34,553	9,025	2269	8,378	35,209	
Carbon	2016	general	11,421	8,093	1,717	5,275	960	5,574	2,034	322	1,882	5,607	
Daggett	2016	general	639	484	77	331	66	351	104	17	95	340	
