County ,Registered,Cast,TurnoutPct,AccessibleVotingUnitVotes,AbsenteeCast,AbsenteePct,Year,VBMOnly
Adams,6591,5056,0.7671,0,2694,0.5328,2000,0
Asotin,13228,8166,0.6173,0,2057,0.2519,2000,0
Benton,79583,60607,0.7616,0,29100,0.4801,2000,0
Chelan,32665,26837,0.8216,0,20475,0.7629,2000,0
Clallam,40285,33013,0.8195,0,25700,0.7785,2000,0
Clark,183249,137339,0.7495,0,82927,0.6038,2000,0
Columbia,2594,2133,0.8223,0,1070,0.5016,2000,0
Cowlitz,50737,37347,0.7361,0,26793,0.7174,2000,0
Douglas,17762,12225,0.6883,0,8025,0.6564,2000,0
Ferry,4015,3084,0.7681,0,3084,1.0000,2000,1
Franklin,17805,14305,0.8034,0,2834,0.1981,2000,0
Garfield,1699,1351,0.7952,0,524,0.3879,2000,0
Grant,30922,24084,0.7789,0,10850,0.4505,2000,0
Grays Harbor,35434,26583,0.7502,0,12373,0.4654,2000,0
Island,39863,33550,0.8416,0,18136,0.5406,2000,0
Jefferson,18891,15976,0.8457,0,9061,0.5672,2000,0
King,1073280,799163,0.7446,0,400691,0.5014,2000,0
Kitsap,131950,104235,0.7900,0,72758,0.6980,2000,0
Kittitas,18491,14223,0.7692,0,5674,0.3989,2000,0
Klickitat,11753,8255,0.7024,0,2032,0.2462,2000,0
Lewis,42308,30596,0.7232,0,19008,0.6213,2000,0
Lincoln,6614,5361,0.8106,0,1456,0.2716,2000,0
Mason,28777,22923,0.7966,0,12551,0.5475,2000,0
Okanogan,19500,15066,0.7726,0,6310,0.4188,2000,0
Pacific,12711,9708,0.7637,0,4063,0.4185,2000,0
Pend Oreille,7095,5482,0.7727,0,1122,0.2047,2000,0
Pierce,360463,270898,0.7515,0,199013,0.7346,2000,0
San Juan,9730,8475,0.8710,0,4786,0.5647,2000,0
Skagit,59756,45835,0.7670,0,23379,0.5101,2000,0
Skamania,5997,4328,0.7217,0,2874,0.6640,2000,0
Snohomish,338163,253423,0.7494,0,127662,0.5038,2000,0
Spokane,230244,175041,0.7602,0,54566,0.3117,2000,0
Stevens,26803,18376,0.6856,0,6333,0.3446,2000,0
Thurston,126680,98644,0.7787,0,69308,0.7026,2000,0
Wahkiakum,2553,2013,0.7885,0,1342,0.6667,2000,0
Walla Walla,29883,21642,0.7242,0,10174,0.4701,2000,0
Whatcom,98352,74671,0.7592,0,42494,0.5691,2000,0
Whitman,26280,16408,0.6244,0,4562,0.2780,2000,0
Yakima,93008,70606,0.7591,0,39830,0.5641,2000,0
Adams,6644,3236,0.4871,0,2013,0.6221,2001,0
Asotin,13869,5527,0.3985,0,1842,0.3333,2001,0
Benton,75195,30423,0.4046,0,20213,0.6644,2001,0
Chelan,32393,18028,0.5565,0,15504,0.8600,2001,0
Clallam,40316,22227,0.5513,0,19174,0.8626,2001,0
Clark,179182,63277,0.3531,0,52704,0.8329,2001,0
Columbia,2605,1544,0.5927,0,1129,0.7312,2001,0
Cowlitz,50011,22752,0.4549,0,19548,0.8592,2001,0
Douglas,16405,7773,0.4738,0,5791,0.7450,2001,0
Ferry,4036,2320,0.5748,0,2320,1.0000,2001,1
Franklin,17864,8904,0.4984,0,2102,0.2361,2001,0
Garfield,1682,957,0.5690,0,384,0.4013,2001,0
Grant,31526,14265,0.4525,0,9154,0.6417,2001,0
Grays Harbor,33193,16612,0.5005,0,10158,0.6115,2001,0
Island,40706,20496,0.5035,0,14194,0.6925,2001,0
Jefferson,18506,11306,0.6109,0,8078,0.7145,2001,0
King,1076966,459930,0.4271,0,288997,0.6283,2001,0
Kitsap,126724,66103,0.5216,0,53978,0.8166,2001,0
Kittitas,18785,8282,0.4409,0,4301,0.5193,2001,0
Klickitat,11353,4384,0.3862,0,1557,0.3552,2001,0
Lewis,42349,18997,0.4486,0,13784,0.7256,2001,0
Lincoln,6625,3927,0.5928,0,1204,0.3066,2001,0
Mason,27693,14612,0.5276,0,9878,0.6760,2001,0
Okanogan,19629,10709,0.5456,0,5002,0.4671,2001,0
Pacific,12694,6403,0.5044,0,3243,0.5065,2001,0
Pend Oreille,7041,3920,0.5567,0,994,0.2536,2001,0
Pierce,351206,158702,0.4519,0,131935,0.8313,2001,0
San Juan,9535,5877,0.6164,0,4025,0.6849,2001,0
Skagit,63261,26362,0.4167,0,14675,0.5567,2001,0
Skamania,5949,2344,0.3940,0,1863,0.7948,2001,0
Snohomish,323927,151575,0.4679,0,99516,0.6565,2001,0
Spokane,217272,94421,0.4346,0,40693,0.4310,2001,0
Stevens,26116,10687,0.4092,0,4800,0.4491,2001,0
Thurston,132072,58131,0.4401,0,47566,0.8183,2001,0
Wahkiakum,2563,1451,0.5661,0,1083,0.7464,2001,0
Walla Walla,28118,11265,0.4006,0,7093,0.6296,2001,0
Whatcom,97828,44163,0.4514,0,29647,0.6713,2001,0
Whitman,24617,10028,0.4074,0,3228,0.3219,2001,0
Yakima,94647,42971,0.4540,0,31580,0.7349,2001,0
Adams,6088,3651,0.5997,0,2357,0.6456,2002,0
Asotin,11907,6247,0.5246,0,2567,0.4109,2002,0
Benton,77043,41345,0.5366,0,24299,0.5877,2002,0
