County by County Vote Results
for President
Al Gore George W.    Howard     Ralph       Harry     John     Patrick J. Rev. William
"Bush     Phillips   Nader     Browne    Hagelin   Buchanan M. Kenyon,"
Sr.


DEM        REP         AI      GRN         LIB       NL         REF        IND (W/I)
"Alameda         342,889    119,279     1,237    27,499      1,910      492        1,026              0"
Percent           69.4%     24.2%      0.2%      5.6%       0.4%      0.0%         0.2%          0.0%

Alpine              265       281          1         25        6         0             8             0
Percent           45.3%     48.0%      0.1%      4.3%       1.0%      0.0%         1.3%          0.0%

"Amador            5,906      8,766        24        584       81         9           94              0"
Percent           38.2%     56.7%      0.1%      3.8%       0.5%      0.0%         0.7%          0.0%

"Butte            31,338     45,584       125     5,727       381        80          486              0"
Percent           37.5%     54.5%      0.1%      6.9%       0.4%      0.0%         0.6%          0.0%

"Calaveras         7,093     10,599        57        863      140        16          108              0"
Percent           37.6%     56.2%      0.3%      4.6%       0.8%      0.0%         0.5%          0.0%

"Colusa            1,745      3,629        12        151       12         3           38              0"
Percent           31.3%     65.0%      0.2%      2.7%       0.2%      0.0%         0.6%          0.0%

"Contra Costa    224,338    141,373       346    13,067      1,290      286          778              0"
Percent           58.9%     37.1%      0.0%      3.5%       0.3%      0.0%         0.2%          0.0%

"Del Norte         3,117      4,526        36        485       52        13           65              0"
Percent           37.6%     54.6%      0.4%      5.9%       0.6%      0.1%         0.8%          0.0%

"El Dorado        26,220     42,045       115     3,013       334        72          337              0"
Percent           36.4%     58.3%      0.1%      4.2%       0.5%      0.0%         0.5%          0.0%

"Fresno           95,059    117,342       207     6,541       440       126        1,120              0"
Percent           43.1%     53.2%      0.0%      3.0%       0.1%      0.0%         0.6%          0.0%

"Glenn             2,498      5,795        13        268       38         3           96              0"
Percent           28.7%     66.6%      0.1%      3.1%       0.4%      0.0%         1.1%          0.0%

"Humboldt         24,851     23,219        82     7,100       324        67          329              0"
Percent           44.4%     41.5%      0.1%     12.7%       0.6%      0.1%         0.6%          0.0%

"Imperial         15,489     12,524        55        608       78        47          136              0"
Percent           53.6%     43.3%      0.1%      2.2%       0.2%      0.1%         0.5%          0.0%

"Inyo              2,652      4,713        18        344       35         5           48              0"
Percent           34.0%     60.4%      0.2%      4.4%       0.4%      0.0%         0.6%          0.0%

"Kern             66,003    110,663       293     3,474       568       113        1,194              0"
Percent           36.3%     60.8%      0.1%      1.9%       0.3%      0.0%         0.6%          0.0%

"Kings            11,041     16,377        44        567       83        11          212              0"
Percent           39.0%     57.8%      0.1%      2.1%       0.2%      0.0%         0.8%          0.0%

"Lake             10,717      8,699        27     1,265        95        17           99              0"
Percent           51.3%     41.6%      0.1%      6.1%       0.4%      0.0%         0.5%          0.0%

"Lassen            2,982      7,080        36        339       58        13           78              0"
Percent           28.2%     66.9%      0.3%      3.3%       0.5%      0.1%         0.7%          0.0%

"Los Angeles    1,710,505   871,930     3,744    83,731     11,122    2,593       11,526              0"
Percent           63.5%     32.4%      0.1%      3.2%       0.4%      0.0%         0.4%          0.0%

"Madera           11,650     20,283        52     1,080        86        17          227              0"
Percent           34.9%     60.8%      0.1%      3.3%       0.2%      0.0%         0.7%          0.0%

"Marin            79,135     34,872        54     8,289       506       113          186              0"
Percent           64.3%     28.4%      0.0%      6.8%       0.4%      0.0%         0.1%          0.0%


1
                                 County by County Vote Results
for President
David     Votes not
McReynolds       Cast in
Race


IND (W/I)
"Alameda                  4       7,709"
Percent              0.0%         1.5%

Alpine                   0          11
Percent              0.0%         1.8%

Amador                   0         152
Percent              0.0%         1.0%

Butte                    0         527
Percent              0.0%         0.6%

Calaveras                0         121
Percent              0.0%         0.6%

Colusa                   0         182
Percent              0.0%         3.2%

"Contra Costa             0       2,822"
Percent              0.0%         0.7%

Del Norte                0          89
Percent              0.0%         1.1%

El Dorado                0         457
Percent              0.0%         0.6%

"Fresno                   0       1,572"
Percent              0.0%         0.7%

Glenn                    0         109
Percent              0.0%         1.2%

Humboldt                 0         421
Percent              0.0%         0.7%

Imperial                 0         511
Percent              0.0%         1.7%

Inyo                     0          91
Percent              0.0%         1.2%

"Kern                     0       1,729"
Percent              0.0%         0.9%

Kings                    0         443
Percent              0.0%         1.5%

Lake                     0         655
Percent              0.0%         3.0%

Lassen                   0          69
Percent              0.0%         0.6%

"Los Angeles              3      74,773"
Percent              0.0%         2.7%

Madera                   0         334
Percent              0.0%         1.0%

Marin                    0         526
Percent              0.0%         0.4%

2
                               County by County Vote Results
for President
Al Gore George W.   Howard     Ralph       Harry     John     Patrick J. Rev. William
"Bush    Phillips   Nader     Browne    Hagelin   Buchanan M. Kenyon,"
Sr.


DEM        REP         AI      GRN        LIB        NL          REF       IND (W/I)
"Mariposa            2,816     4,727        30        379       48        10           64              0"
Percent            34.9%      58.6%     0.3%      4.7%       0.6%      0.1%         0.8%          0.0%

"Mendocino          16,634    12,272        60     5,051       235        32          126              0"
Percent            48.4%      35.7%     0.1%     14.7%       0.7%      0.0%         0.4%          0.0%

"Merced             22,726    26,102        66     1,166        95        15          248              0"
Percent            45.1%      51.8%     0.1%      2.4%       0.1%      0.0%         0.5%          0.0%

"Modoc                945      2,969        14        122       30         4           23              0"
Percent            23.1%      72.3%     0.3%      3.0%       0.8%      0.0%         0.5%          0.0%

"Mono                1,788     2,296         6        230       35         2           14              0"
Percent            41.0%      52.6%     0.1%      5.2%       0.8%      0.0%         0.3%          0.0%

"Monterey           67,618    43,761       234     5,059       429        93          340              0"
Percent            57.6%      37.3%     0.1%      4.4%       0.4%      0.0%         0.2%          0.0%

"Napa               28,097    20,633        87     2,471       218        39          179              0"
Percent            54.4%      39.9%     0.1%      4.8%       0.5%      0.0%         0.3%          0.0%

"Nevada             17,670    25,998        56     3,287       208        56          204              0"
Percent            37.3%      54.8%     0.1%      6.9%       0.4%      0.1%         0.4%          0.0%

"Orange            391,819   541,299       950    26,833      4,839      864        4,301              0"
Percent            40.4%      55.8%     0.0%      2.8%       0.5%      0.0%         0.5%          0.0%

"Placer             42,449    69,835       106     4,449       423        83          454              0"
Percent            36.1%      59.3%     0.0%      3.8%       0.4%      0.0%         0.4%          0.0%

"Plumas              3,458     6,343        18        456       53         6           67              0"
Percent            33.3%      61.0%     0.1%      4.4%       0.5%      0.0%         0.7%          0.0%

"Riverside         202,576   231,955       749    11,678      1,493      432        2,244              0"
Percent            45.0%      51.5%     0.1%      2.6%       0.3%      0.0%         0.5%          0.0%

"Sacramento        212,792   195,619     1,175    17,659      1,607      674        2,022              0"
Percent            49.4%      45.4%     0.2%      4.1%       0.3%      0.1%         0.5%          0.0%

