,John F. Kerry ,George W. Bush* ,Michael Anthony Peroutka ,David Cobb ,Michael Badnarik,Leonard Peltier ,Ralph Nader,Anthony Jabin,John Joseph Kennedy,John Parker,James Alexander-Pace,Votes not Cast
,DEM,REP,AI,GRN,LIB,PF,(W/I), (W/I), (W/I), (W/I), (W/I),
Alameda,"422,585","130,911",819,"2,637","2,149","1,641","1,344",0,3,1,0,"5,825"
  Percent,75.2% ,23.3% ,0.1% ,0.5% ,0.4% ,0.3% ,0.2% ,0.0% ,0.0% ,0.0% ,0.0% ,1.0% 
,,,,,,,,,,,,
Alpine,373,311,2,7,1,5,2,0,0,0,0,13
  Percent,53.3% ,44.4% ,0.2% ,1.0% ,0.1% ,0.8% ,0.2% ,0.0% ,0.0% ,0.0% ,0.0% ,1.8% 
,,,,,,,,,,,,
Amador,"6,541","11,107",56,47,70,28,42,0,0,0,0,197
  Percent,36.6% ,62.1% ,0.4% ,0.2% ,0.4% ,0.1% ,0.2% ,0.0% ,0.0% ,0.0% ,0.0% ,1.1% 
,,,,,,,,,,,,
Butte,"42,448","51,662",312,506,518,289,422,0,0,0,0,810
  Percent,44.2% ,53.8% ,0.3% ,0.5% ,0.5% ,0.3% ,0.4% ,0.0% ,0.0% ,0.0% ,0.0% ,0.8% 
,,,,,,,,,,,,
Calaveras,"8,286","13,601",98,110,152,59,37,0,0,0,0,178
  Percent,37.1% ,60.9% ,0.5% ,0.5% ,0.7% ,0.2% ,0.1% ,0.0% ,0.0% ,0.0% ,0.0% ,0.8% 
,,,,,,,,,,,,
Colusa,"1,947","4,142",15,29,8,25,0,0,0,0,0,114
  Percent,31.6% ,67.2% ,0.2% ,0.5% ,0.1% ,0.4% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,1.8% 
,,,,,,,,,,,,
Contra Costa,"257,254","150,608",760,"1,229","1,606",682,885,0,3,1,0,"5,307"
  Percent,62.3% ,36.5% ,0.1% ,0.3% ,0.4% ,0.1% ,0.3% ,0.0% ,0.0% ,0.0% ,0.0% ,1.3% 
,,,,,,,,,,,,
Del Norte,"3,892","5,356",47,30,55,41,0,0,0,0,0,70
  Percent,41.4% ,56.9% ,0.4% ,0.3% ,0.6% ,0.4% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.7% 
,,,,,,,,,,,,
El Dorado,"32,242","52,878",220,358,406,174,86,0,0,0,0,950
  Percent,37.4% ,61.3% ,0.2% ,0.4% ,0.5% ,0.2% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,1.1% 
,,,,,,,,,,,,
Fresno,"103,154","141,988",424,601,634,359,300,0,3,0,0,"2,442"
  Percent,41.7% ,57.4% ,0.1% ,0.3% ,0.3% ,0.1% ,0.1% ,0.0% ,0.0% ,0.0% ,0.0% ,1.0% 
,,,,,,,,,,,,
Glenn,"2,995","6,308",27,31,47,27,17,0,2,0,0,69
  Percent,31.7% ,66.8% ,0.3% ,0.4% ,0.5% ,0.2% ,0.1% ,0.0% ,0.0% ,0.0% ,0.0% ,0.7% 
,,,,,,,,,,,,
Humboldt,"37,988","25,714",191,832,381,404,373,0,3,0,0,549
  Percent,57.7% ,39.1% ,0.2% ,1.3% ,0.5% ,0.7% ,0.5% ,0.0% ,0.0% ,0.0% ,0.0% ,0.8% 
,,,,,,,,,,,,
Imperial,"17,964","15,890",77,109,73,161,0,0,0,0,0,497
  Percent,52.5% ,46.4% ,0.2% ,0.3% ,0.2% ,0.4% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,1.4% 
,,,,,,,,,,,,
Inyo,"3,350","5,091",35,36,51,37,16,0,0,0,0,110
  Percent,38.9% ,59.1% ,0.4% ,0.4% ,0.6% ,0.5% ,0.1% ,0.0% ,0.0% ,0.0% ,0.0% ,1.3% 
,,,,,,,,,,,,
Kern,"68,603","140,417",499,308,634,397,283,0,3,29,1,"3,257"
  Percent,32.6% ,66.6% ,0.2% ,0.1% ,0.4% ,0.1% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,1.7% 
,,,,,,,,,,,,
Kings,"10,833","21,003",71,55,69,62,17,0,0,0,0,873
  Percent,33.8% ,65.5% ,0.3% ,0.1% ,0.2% ,0.1% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,2.6% 
,,,,,,,,,,,,
