,Barack Obama,John McCain,Alan Keyes,Cynthia McKinney,Bob Barr,Ralph Nader,Frank Moore,Ron Paul,James Harris,Chuck Baldwin
,DEM,REP,AI,GRN,LIB,PF,IND (W/I),IND (W/I),IND (W/I),IND (W/I)
Alameda,"489,106","119,555","1,205","2,536","2,426","5,557",10,513,5,116
  Percent,78.8%,19.3%,0.1%,0.5%,0.4%,0.9%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,
Alpine,422,252,5,5,2,5,0,1,0,0
  Percent,61.0%,36.5%,0.7%,0.7%,0.2%,0.8%,0.0%,0.1%,0.0%,0.0%
,,,,,,,,,,
Amador,"7,813","10,561",103,43,92,157,0,36,0,5
  Percent,41.6%,56.2%,0.6%,0.2%,0.4%,0.9%,0.0%,0.1%,0.0%,0.0%
,,,,,,,,,,
Butte,"49,013","46,706",473,335,526,"1,028",0,223,0,21
  Percent,49.9%,47.6%,0.4%,0.3%,0.5%,1.1%,0.0%,0.2%,0.0%,0.0%
,,,,,,,,,,
Calaveras,"9,813","12,835",118,83,170,229,0,44,0,14
  Percent,42.2%,55.1%,0.5%,0.3%,0.8%,1.0%,0.0%,0.1%,0.0%,0.0%
,,,,,,,,,,
Colusa,"2,569","3,733",18,19,30,48,0,12,0,0
  Percent,40.0%,58.1%,0.2%,0.3%,0.5%,0.8%,0.0%,0.1%,0.0%,0.0%
,,,,,,,,,,
Contra Costa,"306,983","136,436","1,356","1,112","1,868","3,353",3,464,4,71
  Percent,68.0%,30.3%,0.3%,0.2%,0.4%,0.7%,0.0%,0.1%,0.0%,0.0%
,,,,,,,,,,
Del Norte,"4,323","4,967",47,36,42,116,0,0,0,0
  Percent,45.4%,52.2%,0.4%,0.3%,0.4%,1.3%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,
El Dorado,"40,529","50,314",358,211,502,806,1,167,0,38
  Percent,43.7%,54.2%,0.3%,0.2%,0.6%,0.9%,0.0%,0.1%,0.0%,0.0%
,,,,,,,,,,
Fresno,"136,706","131,015",812,609,911,"1,910",1,283,0,42
  Percent,50.3%,48.2%,0.2%,0.2%,0.3%,0.7%,0.0%,0.1%,0.0%,0.0%
,,,,,,,,,,
Glenn,"3,734","5,910",50,26,52,97,0,8,0,2
  Percent,37.8%,59.9%,0.5%,0.2%,0.6%,1.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,
Humboldt,"39,692","21,713",204,646,320,925,0,203,0,24
  Percent,62.3%,34.1%,0.3%,1.0%,0.5%,1.5%,0.0%,0.3%,0.0%,0.0%
,,,,,,,,,,
Imperial,"24,162","14,008",80,146,134,271,0,15,0,4
  Percent,62.3%,36.1%,0.2%,0.4%,0.3%,0.7%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,
Inyo,"3,743","4,523",51,32,53,107,0,23,0,1
  Percent,43.9%,53.1%,0.5%,0.3%,0.7%,1.3%,0.0%,0.2%,0.0%,0.0%
,,,,,,,,,,
Kern,"93,457","134,793",938,535,"1,068","1,570",0,366,0,123
  Percent,40.2%,57.9%,0.4%,0.2%,0.5%,0.7%,0.0%,0.1%,0.0%,0.0%
,,,,,,,,,,
Kings,"14,747","19,710",111,72,173,262,0,22,0,11
  Percent,42.1%,56.2%,0.3%,0.2%,0.4%,0.8%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,
Lake,"14,854","9,935",113,137,153,287,0,49,0,14
  Percent,58.2%,38.9%,0.4%,0.6%,0.6%,1.2%,0.0%,0.1%,0.0%,0.0%
,,,,,,,,,,
Lassen,"3,586","7,483",93,23,54,107,0,35,0,6
  Percent,31.5%,65.8%,0.8%,0.2%,0.4%,1.0%,0.0%,0.3%,0.0%,0.0%
,,,,,,,,,,
Los Angeles,"2,295,853","956,425","9,201","11,238","16,967","26,946",3,"1,290",17,308
  Percent,69.2%,28.9%,0.2%,0.3%,0.5%,0.9%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,
Madera,"17,952","23,583",157,87,169,339,0,48,0,20
  Percent,42.4%,55.7%,0.3%,0.2%,0.4%,0.9%,0.0%,0.1%,0.0%,0.0%
,,,,,,,,,,
Marin,"109,320","28,384",246,359,715,983,0,164,1,25
  Percent,78.0%,20.3%,0.1%,0.2%,0.5%,0.8%,0.0%,0.1%,0.0%,0.0%
,,,,,,,,,,
Mariposa,"4,100","5,298",41,28,51,101,0,23,0,9
  Percent,42.5%,54.9%,0.5%,0.2%,0.6%,1.1%,0.0%,0.2%,0.0%,0.0%
,,,,,,,,,,
Mendocino,"27,843","10,721",143,341,236,646,0,60,0,26
  Percent,69.6%,26.8%,0.3%,0.9%,0.6%,1.7%,0.0%,0.1%,0.0%,0.0%
,,,,,,,,,,
Merced,"34,031","28,704",207,127,229,444,0,58,0,8
  Percent,53.4%,45.0%,0.4%,0.1%,0.4%,0.7%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,
Modoc,"1,313","2,981",24,10,28,33,0,28,0,3
  Percent,29.8%,67.5%,0.5%,0.2%,0.6%,0.8%,0.0%,0.6%,0.0%,0.0%
,,,,,,,,,,
Mono,"3,093","2,354",16,15,42,51,0,0,0,0
  Percent,55.6%,42.3%,0.2%,0.2%,0.7%,1.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,
Monterey,"88,453","38,797",376,323,586,"1,059",0,150,1,38
  Percent,68.2%,29.9%,0.2%,0.2%,0.5%,0.9%,0.0%,0.1%,0.0%,0.0%
,,,,,,,,,,
Napa,"38,849","19,484",190,178,314,532,0,75,0,20
  Percent,65.2%,32.7%,0.3%,0.2%,0.6%,0.9%,0.0%,0.1%,0.0%,0.0%
,,,,,,,,,,
Nevada,"28,617","25,663",141,161,355,481,0,198,0,31
  Percent,51.5%,46.2%,0.2%,0.2%,0.7%,0.9%,0.0%,0.3%,0.0%,0.0%
,,,,,,,,,,
Orange,"549,558","579,064","3,562","2,454","7,867","7,689",1,"3,118",1,373
  Percent,47.7%,50.2%,0.3%,0.2%,0.7%,0.7%,0.0%,0.2%,0.0%,0.0%
,,,,,,,,,,
Placer,"75,112","94,647",582,316,848,"1,258",0,312,0,32
