,Barack Obama*,Mitt Romney,Thomas Hoefling,"Jill 
Stein",Gary Johnson,Roseanne Barr,"Ross C. ""Rocky"" Anderson","Shelia ""Samm"" Tittle",Stephen Durham,"Ron 
Paul",James Harris,Virgil Goode,"Jerry 
White",Stewart Alexander
,DEM,REP,AI,GRN,LIB,PF,NPP (W/I),NPP (W/I),NPP (W/I),NPP (W/I),NPP (W/I),NPP (W/I),NPP (W/I),NPP (W/I)
,,,,,,,,,,,,,,
Alameda,"469,684","108,182","1,212","7,502","5,471","2,890",69,0,1,602,5,15,7,2
  Percent,78.9%,18.2%,0.2%,1.3%,0.9%,0.5%,0.0%,0.0%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,
Alpine,389,236,1,8,8,5,2,0,0,4,0,0,0,0
  Percent,59.6%,36.1%,0.2%,1.2%,1.2%,0.8%,0.3%,0.0%,0.0%,0.6%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,
Amador,"6,830","10,281",79,88,242,75,0,0,0,54,0,0,0,0
  Percent,38.7%,58.3%,0.4%,0.5%,1.4%,0.4%,0.0%,0.0%,0.0%,0.3%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,
Butte,"42,669","44,479",454,840,"1,334",562,21,0,0,385,0,3,1,4
  Percent,47.0%,49.0%,0.5%,0.9%,1.5%,0.6%,0.0%,0.0%,0.0%,0.4%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,
Calaveras,"8,670","12,365",110,122,327,100,6,0,0,86,0,0,0,0
  Percent,39.8%,56.8%,0.5%,0.6%,1.5%,0.5%,0.0%,0.0%,0.0%,0.4%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,
Colusa,"2,314","3,601",17,17,47,18,2,0,0,18,0,0,0,0
  Percent,38.3%,59.7%,0.3%,0.3%,0.8%,0.3%,0.0%,0.0%,0.0%,0.3%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,
Contra Costa,"290,824","136,517","1,391","2,879","4,372","1,543",43,0,3,627,6,20,0,1
  Percent,66.4%,31.2%,0.3%,0.7%,1.0%,0.4%,0.0%,0.0%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,
Del Norte,"3,791","4,614",70,90,109,62,3,0,0,31,0,0,0,0
  Percent,43.2%,52.6%,0.8%,1.0%,1.2%,0.7%,0.0%,0.0%,0.0%,0.4%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,
El Dorado,"35,166","50,973",336,410,"1,278",312,8,0,0,284,0,7,0,0
  Percent,39.6%,57.4%,0.4%,0.5%,1.4%,0.4%,0.0%,0.0%,0.0%,0.3%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,
Fresno,"129,129","124,490",434,"1,101","2,262",898,8,3,0,485,0,16,0,1
  Percent,49.9%,48.1%,0.2%,0.4%,0.9%,0.3%,0.0%,0.0%,0.0%,0.2%,0.0%,0.0%,0.0%,0.0%
