,Hillary Clinton,Donald J. Trump,"Jill 
Stein",Gary Johnson,"Gloria Estela
 La Riva",Laurence Kotlikoff,Mike Maturen,Evan McMullin,"Bernard ""Bernie"" Sanders","Jerry
 White"
,DEM,"REP, AI",GRN,LIB,PF,(W/I),(W/I),(W/I),(W/I),(W/I)
Alameda,"514,842","95,922","17,830","16,906","3,162",27,71,"1,291","4,206",9
  Percent,78.7%,14.7%,2.7%,2.6%,0.5%,0.0%,0.0%,0.2%,0.6%,0.0%
,,,,,,,,,,
Alpine,334,217,21,25,3,0,0,1,1,0
  Percent,55.5%,36.0%,3.5%,4.2%,0.5%,0.0%,0.0%,0.2%,0.2%,0.0%
,,,,,,,,,,
Amador,"6,004","10,485",227,804,55,0,0,59,100,0
  Percent,33.9%,59.1%,1.3%,4.5%,0.3%,0.0%,0.0%,0.3%,0.6%,0.0%
,,,,,,,,,,
Butte,"41,567","45,144","2,594","4,625",501,0,10,340,782,1
  Percent,43.5%,47.2%,2.7%,4.8%,0.5%,0.0%,0.0%,0.4%,0.8%,0.0%
,,,,,,,,,,
Calaveras,"7,944","13,511",424,"1,104",56,0,0,22,75,0
  Percent,34.3%,58.4%,1.8%,4.8%,0.2%,0.0%,0.0%,0.1%,0.3%,0.0%
,,,,,,,,,,
Colusa,"2,661","3,551",85,260,39,0,0,12,24,0
  Percent,40.1%,53.5%,1.3%,3.9%,0.6%,0.0%,0.0%,0.2%,0.4%,0.0%
,,,,,,,,,,
Contra Costa,"319,287","115,956","8,637","16,123","1,566",11,36,"1,355","3,204",0
  Percent,68.5%,24.9%,1.9%,3.5%,0.3%,0.0%,0.0%,0.3%,0.7%,0.0%
,,,,,,,,,,
Del Norte,"3,485","5,134",245,416,81,0,0,58,139,0
  Percent,36.5%,53.7%,2.6%,4.4%,0.8%,0.0%,0.0%,0.6%,1.5%,0.0%
,,,,,,,,,,
El Dorado,"36,404","49,247","1,425","5,027",190,3,4,578,713,0
  Percent,38.9%,52.6%,1.5%,5.4%,0.2%,0.0%,0.0%,0.6%,0.8%,0.0%
,,,,,,,,,,
Fresno,"141,341","124,049","4,300","9,246",875,3,17,"1,070","1,417",1
  Percent,50.1%,43.9%,1.5%,3.3%,0.3%,0.0%,0.0%,0.4%,0.5%,0.0%
,,,,,,,,,,
